,BTC,ETH,XRP,BCH,EOS,LTC,BNB,BSV,XLM,ADA,TRX,XMR,DASH,MIOTA,XTZ,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.050154467715964,0.0179132352187464,0,0.140904545124582,0,0,0,0,0,0.0994400154884925,0,0,0.0404073859055959,0,0,0,0,0
ETH,0,0,0.00707900891577036,0,0,0.0544712671249525,0,0.0013599283151627,0,0.0974416201788416,0.0644744539700157,0.12399534900098,0,0.0749819736804122,0.102009155523311,0,0,0,0,0
XRP,0,0,0,0,0,0.052336893590875,0,0.0115659558476798,0,0,0.117067527215556,0.140815546757444,0,0.090872503479704,0.0831412746301889,0,0,0,0,0
BCH,0.294575934196833,0,0,0,0.0517127390879708,0.167925457272239,0,0.0570832700472767,0,0.115084057840853,0,0,0,0,0.00112925463617933,0,0,0,0,0
EOS,0,0.0503960290761383,0,0.207962072865796,0,0.141820136393995,0,0,0,0,0.232589760441342,0.0306700292872371,0,0,0.0829797764497164,0,0,0,0,0
LTC,0,0,0,0.19900757235755,0.125044297470316,0,0,0.0259167384453803,0,0.200807611293982,0,0.170620719022261,0,0,0.0306605191339476,0,0,0,0,0
BNB,0,0,0,0,0,0,0,0.0536793476957709,0,0,0,0,0.223625133039814,0,0.0237381645740727,0,-0.199589111437569,0,0,-0.0181152998659153
BSV,0,0,0,0.0730549540498621,0,0.325635136423889,0,0,0,0,0.137032221420073,0.116535233499258,0,0.0868853361451068,0,0,0,0,0,0
XLM,0,0,0,0.0489937291517155,0,0.0207172067545194,0,0,0,0.0472493996232262,0.100863057818161,0.0636692454138992,0.0219180255865551,0.0532810877704306,0.0941242160762043,0,0,0,0,0
ADA,0,0,0.325116613540201,0.190262079260321,0.18186754759183,0.0771080483546545,0,0,0,0,0.0759583600233777,0,0,0,0.0629207181611885,0,0,0,0,0
TRX,0,0,0.232588322573977,0,0,0,0.0831059348434681,0,0,0.103993881885243,0,0.217160451519049,0.0522499191816592,0,0.0465188923172779,0,0,0,0,0
XMR,0,0,0.0302110274936513,0,0,0.0897766849319417,0,0.00386892816375907,0,0,0.397697039109921,0,0,0.0166569647271493,0.050721524982366,0,0,0,0,0
DASH,0,0.0327837017206676,0,0,0,0.00649920800693606,0,0,0.239757261408239,0,0.160626451508572,0.080845807616396,0,0.0021732502121119,0,0,0,0,0,0
MIOTA,0,0,0.224856425621583,0,0,0,0,0.0690396641594142,0.00566727820325633,0,0,0.286241014357364,0,0,0.0261116511000507,0,0,0,0,0
XTZ,0,0.301863916763457,0.0368829454021078,0,0,0,0.118503342897866,0.0248289632592356,0,0,0,0.261756006077654,0,0,0,0,0,0,0,0
BV010082.Index,0.0285518663033741,0,0,0.0183281776563631,0,0,0,0,-0.159659071527275,-0.0555094985979676,0.131688136813424,0,0,0,0.0266581212663735,0,-0.124793641342016,0,0,-0.0660377211349084
CVIX.Index,0,0,0,0,0,0,0,-0.0210364349865847,0,0,0,0,0,0,-0.0791553924242266,0,0,0,0,0.117198657809581
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,-0.00859430663233819,-0.00104697443957285,-0.0183915352982188,0,0.00691054487780339,0,0,0,0,0,0,0,0,-0.0729484874496239
VIX.Index,0,-6.93889390390723e-18,0.729045342832652,0.124966924132061,0,0,-0.0937709543536677,0.080214743834876,-0.957413503579402,-0.191529306170866,0.266263803512955,0,0,0,0,-0.970790274077625,0.0640671235477823,0,-1.70338128292848,0
