,BTC,XRP,ETH,XLM,EOS,LTC,BCH,BSV,TRX,ADA,XMR,MIOTA,BNB,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.140244101888633,-6.93889390390723e-18,0,8.67361737988404e-19,0.0212430179283093,0.0394106956815556,0,0.30578044551223,0,0.07429430433953,0,0,0,0,0,0,0
XRP,0,0,0,0.129809186881941,0.158313734411146,0,0.0711526381311757,0,0,0.105237982101814,0,0,0,0,0.0489341033014883,0,0,0,0,0
ETH,0,0,0,0.062017614678237,0,0,0.21814817083531,0,0,0,0.121467830589602,0,0.0473445389322771,0.165541652787982,0,0,0,0,0,0
XLM,0,0,0,0,0.131726834056742,0,0.236372997748232,0,0,0,0.0520868938468724,0.0166523766393275,0.0456470925556368,0.072706703321068,0,0,0,0,0,0
EOS,0,0,0,0.284384485188186,0,0,0.1038653404533,0,0,0.0580111946881003,0,0,0,0.252760272518482,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0.0646266226592696,0,0,0.142454021343249,0.200180402257843,0.0959356704415213,0.0310311847249534,0.0344886420042247,0,0,0,0,0,0
BCH,0,0,0.227640373929611,0.26625460912014,0.178149877488603,0,0,0.0205439414834318,0,2.77555756156289e-17,0,0.210447116648665,0,0,0,0,0,0,0,0
BSV,0,0,0,0,0,0,0.724890551272654,0,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0.0177031195550455,0,0,0,0.0410738224724411,0,0,0.353193608755849,0.03065505332467,0.128827277093081,0.0675736936070286,0,0,0,0,0,0,0
ADA,0,0,0,0.211291492191718,0,0,0.208691400125172,0,0,0,0.076428806996389,0.119936796545053,0,0.0722582524641612,0,0,0,0,0,0
XMR,0,0,0.372054461056359,0.109960216060107,0,0,0,0.000116214833714714,0,0,0,0,0,0.288754504842163,0.0135669479067962,0,0,0,0,0
MIOTA,0,0,0,0.11166774929569,0,0,0.149985779121462,0.0370415416247936,0.284309473126556,0.0331806380999486,0.160046205325681,0,0,0,0,0,0,0,0,0
BNB,0.18395206099998,0,0.102988284159376,0,0,0,0.182000446595559,0.000429233248418695,0.16014610063284,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.148387589635225,0,0.0778327984793342,0.0151187753921739,0,0,0.419302874379026,0,0,0,0,0,0,0,0,0
XEM,0,0,0,0.170659868323035,0,0,0.0981332600179178,0.00488589807358958,0,0.00978098391759154,0.249019436546508,0.0772121156069489,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0222781946206749,0,0.0016711215438323,-0.0364513484249113,0.0056925292887071,-0.0653386010513241,0,0.0907271017489927,0.0256751810566284,0.0984693968149475,-0.099182533846996,0.0326727420416668,0,0,0,0,-0.0431729911670858
CVIX.Index,0,0,0,0,0,0,0.0368299786726109,0.0101882931117372,0,0,-0.0122833449241611,0.0395519662634197,-0.0968062376215126,0,0,0,0,0,0,0.100555641112049
DXY.Curncy,0,0,0,-0.0317325437445901,0.0222174636289376,0,0.0105217797498213,0.00402861365498487,0,0,0,-0.00641999320774017,0,0,0,0.0667196080510674,0,0,0,0.00938685432505127
SPX.Index,0,0,0,0,-0.0223986107428362,0,0,0.00851287869091491,0,0,0,0,0,0,0.0146517797414399,0,0,0,0,-0.132329371726347
VIX.Index,0,0,0,0,0,0,0,0.058780372294804,0,0,-0.105780283634836,0,-0.0265530656078589,0.0741699387449533,0,0,0.707159719419505,0,-3.36656713042396,0
