,BTC,XRP,ETH,XEM,LTC,ETC,DASH,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0353807352383514,0,0,0,0,0,0,0,0.0057647809505913,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.41242619304077,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0.0733936641852819,0,-0.04580735954189,0.17678896254288,0.0400644012832445,-0.121139127637225,0.00293521669514242,0,0,0,0,0,0
XEM,0,-0.0995752162732593,-0.247441366842792,0,-0.0619005086314914,0,0,0,0.692634888815868,0.0928544668395642,0.0919135179868929,-0.0150547209629898,0.0585589484083042,0,0,0,0,-0.161808609947596
LTC,0,-0.0436985775813467,0,0,0,0,0,0.0246782189964554,0,0.288455805440203,0,-0.0229092956227435,0,0,0,0,0,0
ETC,0,-0.00957562264179087,0.279895533527392,0.00764586211923096,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,-0.104097550595237,0,0.045669545759839,0,0,0,0.0523612564184013,0,0,0.305559795981552,0,0,0,0,0,0,0
XLM,0,0.41726971117553,0,0,0.0819723481817945,0.184033534524933,0,0,0,0,0,0.0692224968031002,0,0,0,0,0,0
XMR,0.215313600094244,-0.0148375746891926,0.212869063211896,0.119376233784342,0,-0.109607007311901,0.190976962913149,0.0472692398373328,0,0,0,-0.0041629668101451,0,0,0.0826050931321085,0,0,0
DOGE,0,0.0571942889595311,0.0680052367013188,0,0.203522142003435,0,0,0.189059609215794,0,0,0.16072965980127,0,0.0718143047260797,0,0,0,0,0
ZEC,0,0.00515435255061311,0,0.0803552796428655,-0.0694600958008369,0,0.244176748468338,0,0,0.177895808301052,0,0.0193869101144676,0.074939086777365,0,0,0,0,-0.075227514044749
DGB,0,0,0,0,-0.0901028424185879,0,0,0.0660256478104597,0,0,0,0,0.16350851604024,0,0,0,0,0
NEO,-0.207614459949771,0,0,-0.0236619667842643,0,0,0.146824063606593,0,0,0.0298344361332265,0.423659942929774,0.0323304615065237,0,0,0,0,0,0
BV010082.Index,0.00466561987946342,-0.00425587082045816,0.000882743485770375,0.00777055304387757,-0.00794056476265925,0,-0.0308284468169908,0.00722480194475381,0,0,-0.00987921097107576,0.00721899819990665,0,0,0,0,0,-0.123883560221217
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0.0196802479414535,0,0,0,0,0,0
DXY.Curncy,0,0,0,-0.00770718959385476,0,0,0,0,0,0,0,-0.00274472517478897,0,0,0,0,0,0
SPX.Index,0,0.00046816491709304,0,0,0,0,0,0,0,0,0,0.00315023333437478,0,0,0,0,0,-0.0222582071733337
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
