,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0154008245552025,0,0.501844373998689,0,0,0.0339577692796381,0.120721185310494,0.0621791859930778,0,0.00706739848151937,0,0,0,0,0
ETH,0,0,0,0,-0.138756004099445,0,0.0499731591045573,0,0,0,0.0838793733552026,0,0,0,0,0
XRP,0,0,0,0,-0.00850977293666346,0,0.010325845489147,0,-0.01672214296521,0.0203187182364801,0.0565337721872543,-0.203288973451971,0.148429278212806,0,0,-0.0883040381694647
LTC,0.60724268248162,0,0,0,-0.00392231506863545,0,-2.71050543121376e-20,0,0,0,0,0,0,0,0,-0.0132366816908898
ETC,0,-0.104058906745128,0,0,0,0,0,-0.191231755921027,0,0,0,0,0,0,0,0
DASH,0,0,0,0,-0.000899570161237028,0,0,0.107138226871185,0,0.0775853927964875,0,0,0,0,0,-0.048591757087709
XEM,1.07442026675353,0,0,1.38777878078145e-17,0.0181746138424039,0.281971387007189,0,0.255989441435646,0,0.329578777463514,0,0,0,0,0,0.133364222449328
XMR,0.860679628980128,0,-0.0527624530868775,0,-0.0192793962657955,0,-0.0349975596383196,0,0,-0.00172124865019467,0.0793824953400306,0,0.063120890253992,0,0,-0.0124348348831725
DOGE,0.399833515392473,0.0173544872124157,0,0.166213596589658,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0
XLM,0,0,0,0.388451088034369,-0.0501369741468024,0,0.126212858937145,0,0,0,0,0.165967037176631,0,0,0,0.106676395258595
DGB,0,0.326041434453857,0,0,1.35525271560688e-20,0,0.0747758784935772,0,0,0,0,0,0,0,0,0.020454734069849
BV010082.Index,0,0,-0.067407731327251,0,0.0190629240229252,0,0,0,0,0.022469920681095,0,0,0,0,0,-0.0567298072037864
CVIX.Index,0,-0.207546203901809,0.121178432776137,-0.149369272253562,-0.0239411107221229,0.0263414026093693,0.0501305177634566,0.177116067003032,0.103989221589012,-0.0388562249097858,0.00906410207914876,0,0,0,0,0.234573212103581
DXY.Curncy,-0.00633151627590719,-0.0109718323483957,0.00253361908786944,0,-0.00157841582802769,0,0.00222982116654784,0,0,-0.0020259254474127,0,0,0.0205507677599908,0,0,0
SPX.Index,0,-0.00332628351209739,0,0,0,0,0,0,0,0,-0.00129225831892997,0,0,0,0,-0.0692477639823113
VIX.Index,0,0.153963393292588,-0.312339621334321,-0.225814019922035,0.0970295925255495,0,-0.0605763324700539,0,-0.0670473029494378,0.233200733125272,0.101467447347553,0,1.0399542269006,0,0,0
