,BTC,ETH,XRP,BCH,EOS,LTC,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,XTZ,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0326503566207167,0,0.1364003631179,0,0,0,0,0,0.164603017289592,0,0,0.0339773553788184,0,0,0,0,0
ETH,0,0,0,0,0.0118254151832257,0.0405327911706507,0,0,0.0994077501580547,0.0297420340170743,0.0360909599324317,0.139217182830668,0,0.0818121543050068,0.108078365302982,0,0,0,0,0
XRP,0,0,0,0.00949085225453828,0,0,0,0,0.0386461656739194,0.127695256687463,0.0115166030400207,0.205213978333476,0,0,0.0751197127616633,0,0,0,0,0
BCH,0,0,0,0,0.161055897610359,0.133905816186996,0,0,0.0882916541544871,0,0,0.0889614024980481,0,0,0.0339682441658616,0,0,0,0,0
EOS,0,0.0319013687426712,0,0.213551093357799,0,0.119061002846963,0,0,0,0.229919659669209,0.0206767655421268,0.0215305799863188,0,0,0.0949216696924426,0,0,0,0,0
LTC,0,0,0.00906953040244213,0.13762471100356,0.254644336086262,0,0,0,0.181523803201977,0,0.0277930479181142,0.063602929390747,0,0,0.0323898713909817,0,0,0,0,0
BNB,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0.264090151127011,0,0.0118695680353205,0,-0.222015084916976,0,0,-0.0181393698761541
XLM,0,0,0,0.0479013812758321,0.102784342520585,0.0067501062995024,0,0,0.0324090568697311,0,0.00801769955059514,0,0.0743773569085554,0.0486689837834922,0.0877406068849887,0,0,0,0,0
ADA,0,0,0.295955567333541,0.253901749203273,0.204608536363123,0.0824099007323009,0,0,0,0.0457022517771084,0.0303918649480505,0,0,0,0.0519448686445301,0,0,0,0,0
TRX,0,0,0.193155621185709,0,0.115592985910477,0,0.0289621805963628,0,0.0595328200120915,0,0.0406498226631667,0.0772788011231074,0.117292640624806,0,0.0289228537838353,0,0,0,0,0
BSV,0,0,0,0.0730549540498622,0,0.325635136423888,0,0,-2.16840434497101e-19,0.137032221420073,0,0.116535233499258,0,0.0868853361451067,0,0,0,0,0,0
XMR,0.144960273604371,0,0,0.0131360496372354,0,0.103263746207096,0,0,0,0.220350448600686,0.0433923040005628,0,0.112051181325444,0.138094678326912,0.0483120232965512,0,0,0,0,0
DASH,0,0,0,0,0,0.00482916520016822,0,0.27601567573343,0,0.155462910023886,0,0.0660205674062189,0,0,0,0,0,0,0,0
MIOTA,0,0,0.068390821033789,0,0,0,0,0,0,0,0.0731634653296852,0.281222805250867,0,0,0.0436570479094776,0,0,0,0,0
XTZ,0,0.19999433951642,0,-0.0405960799982765,-1.73472347597681e-18,0,0.0251915503501531,0.233388451615039,0,0,0,0.293342073568562,0,0.0625272236835502,0,0,0,0,0,0
BV010082.Index,0,0,0,0.0338934673180522,0,0,0,0,-0.166318443262758,0.07351431880677,0.0339169413527717,0,0,0,0.0210524493611673,0,-0.107935373559117,0,0,-0.0742816626848836
CVIX.Index,0,0,0,0,0,0,0,0,0,0,-0.0213448990368656,0,0,0,-0.0816987065919006,0,0,0,0,0.125530239155251
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,-0.00683665177665646,0,0,0.000592405776834528,0,0,0,0,0,0.0209941960802794,0,0,0,-0.0709672453718884
VIX.Index,0.219381908390915,3.46944695195361e-18,0.637637652795123,0.0625800761409729,-0.145234103999546,0,-0.102115841325995,-0.776610920495215,-0.222595560919034,0.41477042056574,0,0,0,0,0,-0.837167683926009,0.222237391053284,0,0,0
