,BTC,ETH,XRP,LTC,ETC,DASH,XEM,XMR,MIOTA,EOS,ZEC,NEO,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.196525177404247,0,0.0198819205575011,0,0.0652012737347851,0,0.0261223663287537,0,0.00111179401596016,0,0.0219180111600719,0.0271517163825336,0,0,0,0,0
ETH,0,0,0,0,0.152993674985932,0.0932135854719211,0.0205189002170881,0,0.0500434416639137,0.0277134109875484,0.195514407336405,0,0.00890108553712935,0,0.0124446209013034,0,0,0,0,0
XRP,0,-0.0432300417752402,0,0,-0.121313422211054,0.0667887736530698,0,0,0.046822869554149,0.0261979346141891,0,0.0432885973506658,0,0.44801436785397,-1.0842021724855e-19,0,0,0,0,0
LTC,0,0,0,0,0,0,0.0281398921624707,0.112650217745114,0,0,0,0.165129930834472,-1.73472347597681e-18,0,0,0,0,0,0,0
ETC,0,0.346616593095598,-0.075841591316863,0.165459377581219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.352967079796879,0,0,0,0.0753774266005032,0,0,0,0,0,0,0,0
XEM,0,0,0.0540520138178517,0.162899223361916,0,0,0,0,0,0.105725008028261,0,0.02206369393649,0.272607189486079,0.126933399909868,-0.0450358113867093,0,0,0,0,0
XMR,0,0,0,0.143018474113304,0,0.327974871643111,0.0840729824361365,0,0,0,0,-0.0213258518529412,0,0.132889302282478,0,0,0,0,0,0
MIOTA,0,0.00375531722393217,0,0,0,0,0.0568020591870439,0,0,0,0.0725411017275003,0,0,0.0545022312803524,0.0249399222757598,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.112749024161911,0,0,0,0,0.0471361617562085,0.0468533210466486,0,0,0,0.0552924344985031,0.137008770742998,0.140568620179435,0,0,0,0,0,0
NEO,0,0,0,0.269261495523776,0.0576975155332358,0,0,0,0,0.0274679101307856,0.264757200583052,0,0,0.0656986323288848,0.00317705213238869,0,0,0,0,0
DOGE,0,0,0,0.179191079942475,0,0.155722229671855,0.24190910440922,0,0,0,0.0361522087636245,0.0273222145853115,0,0,0.0184012438150241,0,0,0,0,0
XLM,0,0,0.556436119589048,0,0,0,0.0369596388209235,0.25004867332481,0,0.073453532424128,0,0.0557690462337931,0,0,0.043932362988759,0,0,0,0,0
DGB,0,0,0,0,-0.0713372830965295,0,0,0,0,0.078796003855025,0,0,0.259429196134616,0.550318573781684,0,0,0,0,0,0
BV010082.Index,0,0,0.0288344969572726,0,0.0045269423813328,0,-0.0296745478915237,0,0,0.000951813576816198,0.00964670173277718,0.00172365442006247,0.00996613759320468,0,0,0,0,0,0,-0.030528714006176
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.00327680886225816,-0.00640945959921706,-0.0076739340380977,0.00410877300497032,0,-0.00503116555288255,-0.000657237566877181,0,0.00154123674327093,0.00583686333492424,0.00199527126050638,-0.00788267708272257,0.0102461815362615,-0.00214504233484518,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0444744506578468
VIX.Index,0,0,0.0898964643445818,-0.112805144813259,0,0.0925387023716251,0.225065140445835,-0.142273981449571,-0.151597375639005,0.00784949051569752,0,-0.0202953608242329,0,0,-0.0106259738016047,0,0,0,0,0
