,BTC,ETH,XRP,LTC,ETC,XEM,DASH,MIOTA,XMR,ZEC,XLM,DOGE,NEO,DGB,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.11117143464742,0,0.0373521031866293,0,0,0.121747745873726,0,0,0,0.00532864738795565,0.0314419297793486,0.0173182894534871,0,0,0,0,0
ETH,0,0,-0.0119616676928171,0,0.137694969787435,0,0,0,0.0773570666790451,0,-0.0380017090495626,0.0233081419661406,0.0103755399631467,0,0,0,0,0,0,0
XRP,0,-0.0303545869177844,0,0,-0.201382574619052,0,0.280927399369256,0.0519297489470447,0,0,0.391081422178745,-0.0146348937445912,0.0797648560663467,0,0,0,0,0,0,-0.0434864448859424
LTC,0,0,0,0,0,0.0767853065240622,0,0,0.225742213162182,0,0,0.0275630572636713,0.0996942142686109,0,0,0,0,0,0,0
ETC,0,0.255711407370581,-0.141986252652918,0,0,0.199835513259059,0.126818871969978,0,0,0,0,0,0.0750992681731771,-0.0015996991085951,0,0,0,0,0,0.0132780152430864
XEM,0,0,0.103616256481994,0.0345171477747043,0,0,0,0,0.0828059306969045,0,-6.93889390390723e-18,0.307018074763428,0.0583609319116691,-0.0411184303175009,0,0,0,0,0,0
DASH,0,0,0,0,0.0578828258372798,0,0,0,0.297639605090452,0.0327549557211934,0.0436436666694641,-4.33680868994202e-19,0.0730110346255569,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.10177272633458,0,0.0574723998474216,0.344638770573043,0,0,0,0.0514181686096915,0,0,0,0,0,0,0,0,0
ZEC,0,0,0.0545837745049208,0,0,0.0424690518416974,0.0810163191620723,0,0.00432557137686796,0,0.0145468384212803,0.160120344893684,0.0255107019935439,-0.00293943965734218,0.0731047023319262,0,0,0,0,0
XLM,0,0,0.677512757440599,0,0.120623976501852,0,0,0,0.205879297528747,0,0,0.0592134544246952,0,0.0103389403806601,0,0,0,0,0,0
DOGE,0,0,0,0.10808132191436,0,0.249571850245221,0,0,0.0518480893069896,0,0.0931967136056772,0,0.112761498546253,0,0,0,0,0,0,0
NEO,0,0.306817194922444,0,0.48779342551124,0.133536405063685,-0.0202137919352057,0,0,0,0.260106327481001,0,0,0,0.0812401929953668,0,0,0,0,0,0
DGB,0,0,0.160000146709859,0,-0.017594849847495,-0.13591902220806,0,0,0.188872402434021,-0.210057256055951,0.209926088180644,0.343526187153554,0,0,0.167766726394848,0,0,0,0,-0.0429355371932607
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.00789969682995406,0,0,0,0,0,0,0,0.0201738915777122,0,0,0,0,0,0,-0.0395618230851284
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.00736329223956778,0,0,0.00458224007043975,-0.0117254356019729,0,0,0,0,0.00258416846525518,0,0,-0.00607470290472878,0.000663393905671566,0,0,0,0,0.0038381168932253
SPX.Index,0,0,0,-0.000375500930684049,0,-0.00178847598769991,0,0,0,0,0,0,-0.000751580511772239,0.00292280781192055,0,0,0,0,0,-0.0280417825864309
VIX.Index,0,0,0.0682851748617846,-0.0852564599099051,0,0,0.173522664323439,0,-0.137721331043992,0,0.0148221212899204,0.0693644280596708,0,-0.0236535661429217,0.0662578099070512,0,0,0,0,0
