,BTC,ETH,XRP,BCH,LTC,ADA,EOS,XLM,MIOTA,NEO,XEM,XMR,DASH,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.197591998702475,0,0,0,0,0.0524717767208336,0,0.0576287341151042,0.166844587735078,0.0594421312415946,0.0254246921969168,0,0,0,0,0,0
ETH,0,0,0,0.0678892785377638,0.0203817905886218,0.00740238865867993,0,0.0457935174507427,0,0.298482778818221,0,0.0561961653652942,0,0,0,0,0,0,0,0
XRP,0,0,0,0.0671005526284648,0.0443043596529411,0.067290318048952,0,0,0,0.139670278176824,0.0808795777395328,0.142494573054419,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.0266866548883684,0,0.0736176409128174,0.00798526663558345,0.338815417864645,3.46944695195361e-18,0,0,0.127031475786292,0,0,0,0,0,0,0
LTC,0,0,0,0.242101748578421,0,0.0677831241207267,0,0.105460066955265,0.114896684681883,0.0564257130972624,0,0,0,0,0.0561569994308091,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.218413854605542,0,0.274786592809825,8.67361737988404e-19,0.102221260107742,0,0,0,0,0,0,0,0
EOS,0,0,0,0,0.078274447602554,0,0,0,0,0.21623916987044,0.0637173510899618,0.039669949649145,0,0,0.133193135178969,0,0,0,0,0
XLM,0,0,0,0.0337374409457797,0,0.140592538300934,0,0,0,0.182956391544637,0.165458197435588,0.170728283501841,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.118987133519484,0,0,0,0.2641976633332,0.0732317651493675,0.108766275308668,0.0754346135107494,0.0998168564610915,0.0759850384465375,0,0,0,0,0
NEO,0,0,0,0,0.0704193413341255,0,0,0.142265937516088,0.205636646664239,0,0,0.0585871560404145,0,0,0.140285663630291,0,0,0,0,0
XEM,0,0.131615624552207,0,0,0,0.13100144597896,0,0.263853325016945,0,0.221791295630194,0,0,0,0.115224553024605,0,0,0,0,0,0
XMR,0,0,0,0,0.253860323521473,0.0612568751851171,0,0,0.0954036281424852,0.0757544361760621,0,0,0.151488542637691,0.0892039930788153,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0,0.145467368738737,0.00554256760118214,0.102692267101848,0.0116623392809783,0.089934398440504,0,0.141835566791295,0,0,0,0,0,0
TRX,0,0,0,0.274636094854354,0,0,0,0,0.259962611492256,0,0.0634856914907109,0,0.204415528059376,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0.104112308957036,0.162927534979229,0,0.165446651591123,0.139967312852969,0.0606616998796771,0,0,0.076092377183887,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010207090114914,0,0,0,0,0,-0.0316319721865505
CVIX.Index,0,-0.0350245008552739,0,0.0460826386195998,0,0.0385577668126088,-0.0418927869078656,0,0,0,0,-0.0660466071259039,0.097683025162242,0,-0.0407154661993106,0,0,0,0,0.0162389984715851
DXY.Curncy,0,0,0,-0.00739333226570873,-0.0172774681277117,0,0,-0.0256795501104628,0.0212053080404294,0,0,-0.00294136554450339,0.0263347438647154,-0.0166384318301161,0.00795695596604208,0,0,0,0,0.00608901521796899
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0117129089899023,0,0,0,0,0,-0.080089210274738
VIX.Index,0,0,0,0,0,0,0,0,-0.229846527650687,0.242766207370766,0.0316958856718049,0.0897945374590684,0,0.101422826633659,-0.0411166728213287,0,0,0,-4.08003665213394,0
