,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,DOGE,ZEC,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0244900489752067,0,0,0,0,0,0,0,0,0.083776143942159,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0.0663573714048108,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0.416253444055008,0,0,0,0,0,0,0,0,0
XEM,0,0,-0.101095446032717,0,-0.159215042331387,0,0,0.0688360736388767,0,0.118076194779015,0.122844261952147,-0.0163772596314644,0.173141107011128,0,0,0,0,0
ETC,0,0,-0.0213179621415167,0,0,0.048540226967752,0.126535680731396,0,0,0,0.0425652882978869,-0.0711340301096393,0.183924046028842,0,0,0,0,0.0582329681053999
LTC,0,0,0,0,0,0,0,0,0,0.0916208491467427,0,0,0.15532144610511,0,0,0,0,0
DASH,0,0.0164373777298699,-0.0702051499152104,0.0782627910746148,0,0,0,0.267054127509707,0.0447217636962296,0,0.342099573527204,0.020992455381946,0,0,0,0,0,0
XMR,0,0.0767837619642212,-0.0114264363983947,0.0742259151159042,-0.0706403009417842,0.0447214394667993,0.274544999477984,0,0.0541190439685223,-2.16840434497101e-19,0,-0.00342643353520332,0,0,0,0,0,0
XLM,0,0,0.392250665800837,0.00970839367575702,0,0,0,0,0,0.203467729359107,0,0.0673717051266485,0,0,0,0,0,0
DOGE,0,0,0.0503216838399067,0,0,0.193624731259745,0,0,0.206760757868207,0,0.281176264878407,0,0.118407223805566,0,0,0,0,0
ZEC,0,0,0,0.0381030642965335,0,-0.0398976474684164,0.231494591641781,0,0,0.182695584404053,0,0.0234097458655284,0.0268768574901467,0,0,0,0,0
DGB,0,0,-0.0769058201834585,0,-0.13384264211478,-0.0595013330976214,0,0.258081560410553,0.320396603097809,0,0,0,0.0853544100261533,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0.00334268473930229,0.214964033437316,0.0132770310873857,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0.00587583182063758,0,0,0,0.0117802867780105,0,0,0,0,-0.0753864613446483
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.0102311664832969,0,-0.0134185962378661,0.00607713051983646,0,0,-0.001606296687321,0.00226182866670216,-0.00116610545522749,0,-0.00626109268943563,0.000272097147265456,0,0,0,0,0.00377749589720481
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0.00288870453760273,0,0,0,0,0,-0.0243587166757171
VIX.Index,0,0,0.0169200183269364,0.0867092394172671,0,0,0,-0.0780403144737671,0,0.0554709533214398,0,0,0,0,0,0,0,0
