,BTC,XRP,ETH,LTC,DOGE,DASH,XLM,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.545536165333404,-0.012396973773998,0.0438174297290868,0,0.0904022711821711,0,0.0298939048303773,0,0,0,0,0.0127182149546622
XRP,0,0,0.0359648766609929,0,0,0,0.206129585712807,0,0.0267990767694716,0.0477610516043015,0,0,0,0,0
ETH,0,0,0,0,-0.12678673892652,0,0,0.0848670798321578,-0.0043553694769629,0.0438470802243228,0,0,0,0,0.113463456660593
LTC,0.519179391434251,0,0,0,0.0258442499503742,0,0,0,0.00919263695309062,0,0,0,0,0,0
DOGE,0,0,0,0.848227678647174,0,0,0.132841766010376,0,0,0,0,0,0,0,0.0164463154070171
DASH,0.46794387164052,0,-0.296987249408576,0,-0.126345569324685,0,0,-0.25498188331369,-0.0495511516833081,0,0,0,0,0,0
XLM,0,0.113982482447874,0,0.140042782023498,0.20892804543838,-0.0490474089341941,0,0,0.0456530303121196,0.0935386268331199,0,0,0,0,0
XMR,0.475486982092833,0,0,0,0.0830858930488455,-0.139693383099847,0.17819737131312,0,-0.0794821796009027,-3.46944695195361e-18,0,0,0,0,-0.0368020704303944
XEM,0,0.264948770864561,0,0,0,0,0,0.175956118378759,0,0,0,0,0,0,0
DGB,0.431499943765149,-0.176678922015724,0,0,-0.0201523475387163,0,0.291395437927353,0,-0.0104162163425455,0,0,0,0,0,0
BV010082.Index,0,0,0,0.0625271445987561,0.0363938801480112,0,0,0,0.0215704664599793,-0.0349028155785755,0,0,0,0,-0.0724774439779726
CVIX.Index,0,0,0,0,0,-0.0245873333311909,0,0,-0.0371014575677467,0,0,0,0,0,0.0778732963590912
DXY.Curncy,0,-0.00428124170189812,0,0,-6.7762635780344e-21,0.00567481727817607,0,0.0059921787149606,0,-0.00601721820954715,0,0,0,0,-0.00941314156864326
SPX.Index,0,0.0176334203591113,0,0,-0.0068186012641284,-0.0190993687485258,0,0,0,0,0,0,0,0,-0.105924147191336
VIX.Index,0,0.0320489414291184,0,-0.25228783975642,-0.00455096290245881,0.0654180544249764,0.14075322139578,0,-0.0114692028724846,0.0287961370699836,0,0.127753380860021,0,-4.61702036391301,0
