,BTC,XRP,ETH,XLM,BCH,EOS,BSV,LTC,TRX,ADA,XMR,MIOTA,XEM,DASH,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.140401486478215,0.0139425156397205,0,0.0050876833933604,0,0,0,0.298542851564407,8.67361737988404e-19,0,0,0.0161338219280321,0,0,0,0,0
XRP,0,0,0,0.156517315295266,0.0571319180001384,0.134549598700492,0,0,0,0.103663179263661,0,0,0.0827443990443981,0,0,0,0,0,0,0
ETH,0,0,0,0.085039607310651,0.212500939505886,0,0,0,0.0415755775161357,0,0.0681214500208354,0.0288531056402265,0,0.207978468127143,0,0,0,0,0,0
XLM,0,0.245738627077574,0,0,0.147242185304943,0.141833647067619,-0.0113317029129819,0,0.0283376646760993,0.257750808432434,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0,0.589178475322177,0.0154036075268331,0,0,0.27832051290398,0,0.126979880181594,0,0,0,0,0,0,0,0
EOS,0,0.146119165945015,0,0.323015543866668,0.119105253526878,0,0,0,0,0,0,0,0,0.223266959489447,0,0,0,0,0,0
BSV,0,0,0,0,0.365999553886928,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0.0596897213387461,0.0524197996447383,0,0,0,0.116206397442101,0.143329549176671,0.242587908874412,0,0,0,0,0,0,0,0
TRX,0,0,0,0.011255804651397,0.0692719361837174,0,0,0,0,0.317449169144608,0,0.183326287760054,0,0,0.028714177862023,0,0,0,0,0
ADA,0,0,0,0.197313248129781,0.172484171612808,0.0241518545339149,0,0,0,0,0.0261268117964973,0.245124366915001,0,0.031840656345403,0,0,0,0,0,0
XMR,0,0,0.422606022047118,0,0.0054045901819299,0,0,0,0,0.00427993989796051,0,0.0235636208981198,0,0.209511915030375,0,0,0,0,0,0
MIOTA,0,0,0,0.0266101343520412,0.143128124213512,0,0.0426457042751,0,0.217502908238268,0.185227510908822,0.12938611199925,0,0,0,0,0,0,0,0,0
XEM,0,0.0406574867583787,0.0479806218687076,0,0,0,0,0,0,0.177023487742014,0,0.264160332336848,0,0.123412441651334,0,0,0,0,0,0
DASH,0,0,0.238965574121551,0,0.151681357014245,0,0,0,0.0343369917373808,0.13477006336926,0.113936120190684,1.73472347597681e-18,0,0,0,0,0,0,0,0
BNB,0.193140555788215,0,0.0562499506493961,0,0.172407244359987,0,0.00503298745783097,0,0.188666323253529,0,0,0.0522874961369502,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0487909748361303,0,0,0.00670652844925942,0,-0.0219440977102232,0,0.0347908738851146,0,0.00910939705642612,0,0.0546124661675196,0,-0.0196859131837298,0,0,-0.0252417111371201
CVIX.Index,0,0.06107139304683,0.0489610475463692,0,0,0,0.0141673168127291,0,0,0,-0.0675669834385828,0,0,0.0307862417131062,-0.0820287049774047,0,0,0,0,0.0715051214794194
DXY.Curncy,0,0,0,-0.017180111026632,0,0.0147137823964985,0.00365425740769325,0,-0.0135315722264567,0,0,0.0129622970998106,0.00646590736479613,0,0,0.0665996270562531,0.0191774714661643,0,0,0.00458833588187521
SPX.Index,0,-0.0360323086765428,0,0,0,0,0.00791055638026668,0,0,0,0,0,0.0152576617786745,0,0,0,0,0,0,-0.12934371588126
VIX.Index,0,-0.1035393947552,0,-0.197887260215509,0,0,0.0230460935497116,0,0,0,0,0.270526779378732,0,0,0,0,0.499066833098065,0,-5.46104401001918,0
