,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,ETC,NEO,ZEC,EOS,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.138494815048471,0,0,0.102419176647113,0,0,0.0211937173400599,0,0,0.0913511043954306,0.0155199635645938,0,0,0,0,0
ETH,0,0,0.0528128991549029,0,0.100894542541423,0,0,0.124600795778045,0,0,0.0368096102518913,0.0865183881038521,0,0.0605346014752386,0.0925483627532525,0,0,0,0,0
BCH,0,0,0,0,0.294947780455186,0,0.400100682997142,0,0,-8.67361737988404e-19,-0.0816205962463254,0,0.0696012004744495,0,0,0,0,0,0,0
XRP,0,0.0881559531763161,0.0234398877069359,0,0,0,0,0.0195598995179559,0,0,0.0283626085896684,0,0,0.0172343155417507,0.165665819251541,0,0,0,0,0
LTC,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.668780169666068,0,0,0,0,0.123364739248015,0,0,0,0,0
DASH,0,0,0.0359611993869593,0,0,0,0.0325134003628276,0.0989589149552975,0,0,0.0300137121855577,0.172538085177648,0.0352761117760494,0.0745128490431152,-4.33680868994202e-19,0,0,0,0,0
XEM,0,0,0.0283780903646387,0,0,0,0,0.106770354595831,0,0,0.00297995015529325,0.062467921202208,0.0507742147251172,0.0815100967788156,0.0603114348398186,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.131898316255951,0,0.0442666072825854,0,0.138056540699247,0.212469241588279,0.236135713744711,4.33680868994202e-19,0,0,0,0,0,0
XMR,0,0,0.0287016941171894,0,0,0,0,0.0655936528716259,0,0,0.0238232291653958,0.140188113544298,0.0713471455783213,0,0.284708123922391,0,0,0,0,0
ETC,0,0,0,0,0.44878055072315,0,0,0.0872694173480846,0,0,0,0,0,0.0270579489390472,0.0405925168890023,0,0,0,0,0
NEO,0,0,0,0,0.120186415118878,0,0.223834307357933,0.0566961333511338,0,0,0,0,0.264983645378709,0,0,0,0,0,0,0
ZEC,0,0.197559542845483,0.0218151343012099,0,0,0,0.0709017085909435,0.0791250811318584,0.0123944500091692,0,0,0,0.106153081217063,0,0.18197479775148,0,0,0,0,0
EOS,0,0,0,0,0.0916913961333157,0,0,0.0830634059715822,0,0,0.0791553230476308,0.135702434116662,0,0.0608420850531462,0.190122154053628,0,0,0,0,0
BAT,0,0,0,0,0,0,0.0646958126980045,0.148965274787039,0,0.043984871402095,0.00781303320957448,0.11396516247645,0.0629721645574806,0,0.141525253427099,0,0,0,0,0
XLM,0,0.144181650212651,0,0.0531712432152712,0,0,0.000840323492816326,0,0.317990949889043,0.294805329370045,0,0,0.0131986079644533,0.0578127033378542,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.00649376607153586,0,0,-0.00332869033287356,0.0193902684540394,0,0,0.00797038117498102,0,0,-0.0396415772143307,0,0,0,0,-0.0552634202305468
CVIX.Index,0,0,0,0.0251804075669697,-0.0143654353875456,0,0.0246188991518442,0.0261140628340577,2.06795153138257e-25,0,0,-0.121312374275201,0,0.02407934969895,0,0,0,0,0,0.0488729917588012
DXY.Curncy,0,0,-1.0842021724855e-19,0,0,-0.0157044529860101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,-0.00337643311756932,0,0,-0.000850290092961014,0,0.000928402869813074,0,0,0,0,0,0,0,0,-0.0382115447053869
VIX.Index,0,0,0,0,0,-0.277143294104185,0.0445602977182485,0.168742128779291,0,0,-0.0143676299131897,0,-0.0366634823042439,0.0346932287119951,0,0,0,0,0,0
