,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,XMR,DASH,MIOTA,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.185978682181446,0,0,0.068293498643551,0,0.0642602522727426,0.171605201561972,0,0,0.0814535462135138,0,0,0,0,0,0,0
ETH,0,0,0,0.176241905146852,0,0,0,0,0,0.0518863254963723,0,0,0,0.108712116388122,0.131070759355078,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375167350846538,0.19324317899709,0,0,0,0,0
BCH,0,0,0.0282628812449826,0,0.00415521196283351,0,0.0904669814275457,0,0.0195070426586815,0,0.358898086147145,0,0.0335669434672193,-4.33680868994202e-19,0.10500385591712,0,0,0,0,0
LTC,0,0,0,0.145653988548258,0,0,0,0,0.106306165626743,0.0981006642416608,0,0,0.048666984541034,0.0544141732918712,0.147581603107197,0,0,0,0,0
ADA,0,0,0,0,0,0,0.00887393384645698,0,0.0452245993558284,0.141050065094144,0,0,0,0.160856639388629,0.0696954068172002,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0.0163836179619088,0,0.0525415487062041,0,0.297367167398801,0,0,0.192378265805219,0,0,0,0,0
XLM,0,0,0.333045489836107,0,0,0.0808959022439772,0,0,0,0.0737844473867635,0,0,0.107240066536014,0.103900528599326,0.0976164781504219,0,0,0,0,0
EOS,0,0,0,0,0.00412126479701613,0.0682894287715543,0,0,0,0.0964539133606578,0,0,0.110266026808217,0.0721191865240044,0.269724027465214,0,0,0,0,0
XMR,0,0,0.0120814919044075,0.047793110437912,0,0,0.0933996740760092,0,0.00367078761367719,0,0.212446464263037,0.296371271140903,0,0.0145249034686105,0.027214530109437,0,0,0,0,0
DASH,0,0,0,0.0393510577756327,0,0,0,0,0,0.134814782935305,0,0,0.0673794848350162,0.189603591495042,0.13098375809718,0,0,0,0,0
MIOTA,0,0,0.0541660888203897,0.147849272742095,0,0,0.133414276450342,0,0,0.0917623640941212,0.0718978008021835,0,0,0.199745778900916,0.131273299323357,0,0,0,0,0
XEM,0,0,0,0,0,0.18856422143582,0.195957554323006,0,0.141926258738045,0,0,0.0211785111659578,0,0.13275566915723,0,0,0,0,0,0
TRX,0,0,0.223525568560528,0.0981385352907234,0,0,0,0.0695273527371525,0.214020659453587,0,0,0,0.115153933616995,0,0.0326271426164081,0,0,0,0,0
ETC,0,0,0.00709644538037335,0.118363750253719,0,0,0.147620566833133,0,0.283595367820427,0,0,0,2.16840434497101e-19,0.188980444656408,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0334350186637539
CVIX.Index,0,0,0,0,0.0382147803216284,0,0,0,0,0,0,0,0.0295711808730885,-0.0580726604957517,0,0,0,0,0,0.0319478724134274
DXY.Curncy,0,0,0.012224810366907,0,-0.00945168363020679,0,-0.00158842589489493,-0.0104315056383016,0,0,0,0,-0.00471883473784998,-0.00771699271755474,0.0087953039423439,0,0,0,0,0.0115331650967327
SPX.Index,0,0,0,0,0,0,0.0031649920317189,0,0,0,0,0,0,-0.0105726281836664,0,0,0,0,0,-0.0619745735181289
VIX.Index,0,0,0,-0.46008850329356,0,0,0.0654427132267625,0,-0.0515434623328852,0.169980729598,0,0,0.0711364839464941,0.221754225657106,0,0,0,0,-3.57917766566958,0
