,BTC,ETH,XRP,BCH,EOS,ADA,LTC,XLM,MIOTA,TRX,NEO,DASH,XMR,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0399648858624352,0,0,0,0.00806015961595599,0,0.125997261967506,0.182834844269636,0.0599700834871332,0,0,0.0642485310219791,0.01843587222966,0,0,0,0,0,0
ETH,0,0,0.0977858410057975,0,0,0.0437509749895176,0.0965246489265175,0.055288169833285,0.115139111881935,0,0,0,0.140296582514992,0.0621643251647016,0,0,0,0,0,0
XRP,0,0.138363658180481,0,0,0,0.0655989727038251,0,0.181075555047059,0.157884667735863,0,0.0556148986417106,0,0.0786906006810219,0.0672211379409647,0.0418550599272843,0,0,0,0,0
BCH,0,0,0,0,0.0464347026209659,0,0,0,0.330772371573652,0,0,0.269891446104469,8.67361737988404e-19,0,0,0,0,0,0,0
EOS,0,0,0.0235508010301587,0.180603536419989,0,0.0695173059569187,0,0,-0.0998625691187776,0,0.254551603766485,0,0,0.0179991245019178,0.148645349037613,0,0,0,0,-0.0940590506528631
ADA,0,0.0485783377240617,0.377983316562589,0,0.0395819057740918,0,0,-6.93889390390723e-18,0,0,0.170010846729389,0,0.108811549032747,0.183770952721532,0,0,0,0,0,0
LTC,0,0,0,0.183639498472639,0,0.0604573584692422,0,0.101640593896866,0.168485426580235,0,0.0924329320350911,0,0,0,0,0,0,0,0,0
XLM,0,0,0.216428420729414,0.113390404139537,0.027279215452366,0.14786684304938,0,0,0,0,0.170352884423484,0,0,0.129915987071159,0,0,0,0,0,0
MIOTA,0,0,0,0.276605326340815,0,0.0883431854213478,0,0,0,0.0539603091283022,0.0564684184242853,0.105048745993043,0.112674271286445,0.037941552517151,0.0804443084056512,0,0,0,0,0
TRX,0,0,0,0.511135814948259,0.0944235855178827,0.0520679913395492,0,0,0,0,0,0.104030768883441,0,0.0659109214825575,0,0,0,0,0,0
NEO,0,0,0,0,0.0713242465961409,0.0240901287105443,0,0.23818272314994,0.147338260137711,0,0,0,0.129191072805732,0.0417450200239366,0.150478176580532,0,0,0,0,0
DASH,0,0,0,0.143466001584457,-3.46944695195361e-18,0,0,0.249014518143802,0.15203571857458,0.0887286412613007,0.0189652718174775,0,0,0,0,0,0,0,0,0
XMR,0,0,0.211204713443044,0.0731266381878471,0,0,0.287316333037767,0.0378663087241374,0.000350270355951268,0,0,0.21965276132985,0,0,0,0,0,0,0,0
XEM,0,0.189550181334706,0,0,0,0.104856015843173,0,0.328216485223377,0.0930522235470804,0.110401842101291,0.0514071453903673,0,0,0,-8.67361737988404e-19,0,0,0,0,0
ETC,0,0,0.0525914326635303,0,0.140405830277281,0.0631174745706128,0,0.0999982727159839,0.179182901275367,0.0479149783460951,0.101542458845473,0,0,0.0266007768250218,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0.0158454632174551,0,-0.0118871397756301,0,0,-0.012983117833063,0,0,0,0,0,0,-0.0664273160220706
CVIX.Index,0,0,0,0,-0.0154691640681792,0,0,0,0.0236097076215147,-0.0155669096932928,0,0,0,0,0,0,0,0,0,0.0222988020585246
DXY.Curncy,0,0.00306617218260846,0,0,0,0.01024461975285,0,-0.0309865943180386,0,-0.00769390057732164,0,0.00536545394601289,0,0,0.021998021814171,0,0,0,0,-0.00387282226165525
SPX.Index,0,0,0,0,0,0,0,0,-0.0033634713513379,0,0,0,0,-0.000175082205578865,0,0,0,0,0,-0.103566685619545
VIX.Index,0,0,0,0,-0.0453278367311382,0,0,0,0,-0.061955271118164,0.200957252460706,0,0,0.000949298671615016,0,0,0,0,-4.91773968260043,0
