,BTC,ETH,XRP,LTC,DASH,ETC,XEM,XMR,XLM,ZEC,DOGE,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0292598395180605,0,0,0.0423063904753207,0.0652521585269484,0.0661151939754497,0.112209133723465,0.0132078992501828,-0.0521019880123072,0,0,0.0553004352529741,0,0,0,0,0
ETH,0,0,0,0,0,0.036197433809161,0,0.507169629877309,0.0270439413523442,-0.0501192710944988,0,0,0.023343231351862,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0.155872916474592,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0.0519579808211768,-0.0462997808047684,0.110395845428124,0.129326364047555,0,0,0,0,0,0,0,0,0
DASH,-0.045105125571764,0,-0.114508523501642,0.0917210802135101,0,-0.138065561262797,0.100110963033816,0,0,0.126916313253265,0,0.0858014358269651,0.111010005417274,0,0,0,0,0
ETC,0,0.31216788536011,0,0.0971825610643429,0.0428563669670032,0,0,0,-0.0465458546005393,0,0,0,0,0,0,0,0,0
XEM,0,0,0.0344244522853445,0,0,0,0,0.111260580362774,0,0.109203310054428,-0.232432120745492,0.120738835605604,0.30150989170095,0,0,0,0,-0.00306673641811652
XMR,0,0.375384995690517,-0.0199999771841579,0,0.0606553952764553,0,0.0140221359859395,0,0,0.081189072758909,0,0,0,0,0,0,0,0
XLM,0,0.076439089687764,0.396498529928312,0.11435882357091,0,0,0,0,0,0,0.186975478217559,0,0.0406099935820646,0,0,0,0,0
ZEC,0,0,0,0,0.170699512256878,0,0.0792020654535939,0.122927446350659,0,0,0.172058882580181,0,0,0,0,0,0,-0.0231581466478788
DOGE,0,0,0.0943060882246977,0.139129133470291,0,0,0,0,0.219022955845063,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0.0167889811838494,0.0856274574828424,0,0,0,0.0429483750758108,0.192261660787081,0,0,0.0234341705749975,0,0,0,0,0
DGB,0.270320043369028,0,-0.172144212063427,-0.0979614152137705,0.0778870638456324,0,8.67361737988404e-19,0,0.422302735498193,0,0,0.0201103633976185,0,0,0,0,0,0
BV010082.Index,0,0,0,0,-0.00760321401855694,-0.0263870222710239,0,0,0,0,0,0,0.018423094995301,0,0,0,0,-0.0866346912246423
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,-0.00923932792417552,0,-0.00173690593357976,0,-0.00037033626978421,0,0,0,0,0,0,0,0,0.00820429435286468
SPX.Index,0,0,0.000357252397239469,0.00295414041901813,-0.00207431172510789,0,0,0.00700548331549306,0.000691711960798312,0,0,-0.00214771491158669,0,0,0,0,0,-0.0285960718237646
VIX.Index,0,0,0,0,-0.0739445763345007,0,0,0,0,0,0,0,0,0,0,0,0,0
