,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,EOS,BNB,TAGZ5,XTZ,XLM,LINK,ADA,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0589851083214911,0,0.00241809996573211,0.117999271487684,0,0,0.156192508480272,0.00771543287482793,0.149979461632543,0,0.00720307094896866,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,-3.35145360604083,0,0,0,1.49964219952509,2.43220134405898,0,0,0,0,0,0,0,0,-2.77555756156289e-17
ETH,0,0.00195140859216028,0,0,0.12587284482016,0.124544341197693,0,0,0.170722117084392,0.0198636318625756,0.195889222239065,0,0,0.0374089107406603,0,0,0,0,0,0
XRP,0,0,0.302348118402378,0,0,0.0133913588850166,0,0,0.0738211249267066,0,0.0597502707262854,0,0,0.113400190107342,0,0,0,0,0,0
BCH,0,-0.00330705934907552,0.225313462182217,0,0,0.349426110038125,0,0,0,0.00876828552605878,0.0444356897949526,0,0,0.122386975825258,0,0,0,0,0,0
BSV,0,-0.00412165692596449,0.292372214102037,0,0.390347742246866,0,0,0,0.0678468268730502,0,0.0294037737787054,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0.149646964057033,0,0,0,0,0.212220115056026,0,0,0.223108561577692,0,0,0,0,0,0
EOS,0,-0.00178778561191804,0,0,0.252407880211597,0.146847187647233,0,0,0,0.00146294757100882,0.148598921359803,0,0,0.0416747087802171,0,0,0,0,0,0
BNB,0,-0.00549415087961106,0.316622078309414,0,0.0765892501696404,0.0668342546643416,0,0,0,0,0.145133512480657,0,0,0.166719868059298,0,0,0,0,0,0
TAGZ5,0,0.000278681493669949,0.24746041979926,0,0.091181532476939,0.0925984298311103,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0457704424532921
XTZ,0,-0.00191209205969449,0.522773108776943,0,0,0,0,0,0.0983810206293953,0,0,0,0.278660828607645,0,0,0,0,0,0,0
XLM,0,0,0.175083348903593,0,0.0383423455236427,0.0715692838877331,0,0,0.198655670044498,0.00699661638727048,0.0956034664313738,0,0,0.0286636997788545,0,0,0,0,0,0
LINK,0,-0.00296956041051315,0,0,0,0.237605618391851,0,0,0,0,0.505241441454539,0,0,0,0,0,0,0,0,0
ADA,0,0,0.108256897588479,0,0,0.0129716202271515,0,0,0.21067843820154,0,0.372646638677786,0,0.00739270343052812,0,0,0,0,0,0,0
XMR,0,-0.00284342391067754,0.140157031123305,0,0,0.150994580080003,0,0,0.0531824181555806,0,0.0939474058045428,0,0,0.245317259474131,0,0,0,0,0,0
BV010082.Index,0.145680087354428,0.00408446962108944,0,0,0,0,0,0,-0.362208037359098,0.06403716868753,0,0.151904716581706,0,0,0,0,-0.115189313221227,0,0,-0.100029433522139
CVIX.Index,0.0203878223119381,-0.00894325112718023,0,-0.615607352016052,-0.496990143826613,0,1.20779345621745,0,0,-0.0320477420175068,0,0,0.143116937778132,0,-0.300939386538006,0,0,0,-1.06122834381541,0
DXY.Curncy,0.0113917288050397,0.000662839584518751,0,-0.0422293249899476,0,0,0,0.00549646513228475,0,-0.00220890900716585,0,0.0195732727950591,0,0,0,0.026592385485203,-0.00677495826325924,0,0,-0.00973052025804945
SPX.Index,0,0.0030645170057007,0,0,0,0,0,0,0,-0.010434085508515,0,0,0,0,0,0,-0.0186489996830975,0,0,-0.258448736190732
VIX.Index,0,0.0250837461856168,0,0,0,-0.158052955449192,0,0,0,-0.0293438091435817,0,0.0763070416061089,0,0,0,0,0,0,-2.19203765405469,0
