,BTC,XRP,LTC,XLM,DOGE,DASH,XMR,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.125497410045667,0.0320257831754646,0,0.375604071818607,0.104007391739896,0,0,0,0,0,0
XRP,0.381545902279105,0,0.0439793982083735,0.27631502757781,0,0,0,0,0,0,0,0,0.0866079877528555
LTC,0.696836717024195,0,0,-0.00494956713674494,0,0,0.0317689241204793,0.0703926656802738,0,0,0,0,0.0136905959931721
XLM,0.308426292466108,0.463950001213594,0,0,0.189120177169759,-1.0842021724855e-19,-0.184887736835077,0.0776691062798145,0,0,0,0,-0.187366292451014
DOGE,0.028528356363567,0,0.182118061644729,0,0,0.332161060279651,0.0378564668084219,0.0159889796873672,0,0,0,0,0
DASH,0.702162265514533,0,0.114903135867907,0,0,0,0.0132606916222713,0.0393094514029433,0,0,0,0,0
XMR,0.837600215554471,0,0.036756044608977,-0.059241344769672,0.254667022012283,0,0,0,0,0.262703205492551,0,0,0
DGB,0.672981414850994,-0.178718067980379,0,0.188620973846456,0,0.13617749095825,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0.0200847673832726,-0.0798759841123232,0,0.0146415327677423,0,0,-0.0391382012511516,0,0,-0.0853943034292127
CVIX.Index,0,-0.151396011311915,0.0691581756430994,0.118836168492837,-0.0206476843101038,0,0.0256694004812809,-0.00695566069682497,0,0,0.576663279295497,0,0.0554223148013938
DXY.Curncy,0,0,0,-0.00523338882665823,0,0,0.00145425624846911,0,0,0.010050546217831,0,0,-0.0144099772551446
SPX.Index,0,0,0,0,0,0,0,-0.00627344035526691,0,0,0,0,-0.0703568189521438
VIX.Index,0,0.012441556973741,0.0957270397300101,-0.165922924233326,0,0.073432281685271,-0.176297289471827,0,0,0,0,-5.00334953507844,0
