,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,MIOTA,TRX,ETC,DASH,NEO,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.169514656849501,0,0,0,0,0.228015265929725,0,0,0.0290920846195128,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.201708549979741,0,0,0,0,0.0790245420532373,0,0.194168071818023,0,0.0908915658701853,0,0,0,0,0,0
XRP,0,0,0,0,0.21914114696719,0,0,0,0,0.273113335493191,0,0.0643672349631314,0,0.0344766634899981,0,0,0,0,0,0
BCH,0,0,0,0,0.257718999957571,0,0,0.236697368604355,0.12544898294015,0.0585217815224026,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0992081200674313,0,0,0,0.196534192175593,0.0378751362020398,0.186242951411434,0.0342634849155256,0.0188997052140295,0,0.0886766619226038,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.12324226879493,0.115201041573529,0.211625429976597,0.0585030335935296,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.520240038683306,0.0359004927665952,0,0,0,0,0.0729311909495089,0,0.073853701203042,0,0,0,0,0,0,0,0
ADA,0,0,0,0.0983028119548793,0.179430696634096,0.187820057876523,0,0,0,0.00428075450291342,0.165389980036538,0,0,0.138890230809541,0,0,0,0,0,0
XMR,0,0,0,0.447556543905788,0,0.0469388378766162,0,0,0,0.0437445881599703,0,0,0,0.110374100992811,0,0,0,0,0,0
MIOTA,0,0,0.149814439497597,0,0,0,0,0,0,0,0.182761130899474,0.100094021795511,0,0.576152129373475,0,0,0,0,0,0
TRX,0,0,0,0,0.267224217218716,0,0,0.0485000225093593,0.0342014515776272,0.148000704532793,0,0,0,0.107535275340666,0,0,0,0,0,0
ETC,0,0.0876928988546488,0,0,0.207269273445457,0.0471246104925163,0.049997138742534,0,0,0.347957080079902,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0754414792586215,0,0,0.224633848370856,0,0.0806547271750461,0,0,0,0.124970730188077,0,0,0,0,0,0
NEO,0,0.256262280670411,0,0,0.0446182298334539,0,0,0.0802304659054828,0,0.337164831272368,0.265149210773987,0,0,0,0,0,0,0,0,0
BNB,0,0.212414604861038,0.234006371641931,0,0,0,0,0.130711793307033,0,0.015673221989117,0,0,0,0.0246258055828925,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,1.09287578986539e-16,0,0,0,0,0,0,0,0,0,0,0,-0.0565382168514205
CVIX.Index,0,0,0.0142080658282207,0,0,0.0390381482425457,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0855431615265369
DXY.Curncy,0,0,0,0,0,0.010141921392014,0,0,0,-0.00714429142388148,0,0.0122046092766653,0,0,-0.00773993162583117,0,0.0811247875899465,0,0,-0.00423810628957248
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0564650547394837
VIX.Index,0.82070242428013,0,0,0,-0.1604344916919,-0.287163300513462,0,0,-0.416627789960941,0.182567742464655,0,-0.0699352876371588,-0.157050955069641,0,0.0681095179274628,-0.0554689408765752,0.650169349871237,0,-2.44631898040741,0
