,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,TRX,DASH,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.166544186363842,0,0.0688541697929469,0,0,0,0.0482604671674267,0.159131376082946,0.058774402241255,0,0.0532654563072499,0,0,0,0,0,0
ETH,0,0,0,0.156493372807524,0,0,0.0857714671514734,0,0,0,0.0339570619129396,0.0725386664681527,0,0,0.121103843786507,0,0,0,0,0
XRP,0,0,0,0.0630681886215484,0,0.118261617826736,0.0194711709626495,0,1.73472347597681e-18,0,0.0867095188040217,0.121339987643967,0,0.0590782393669762,0.106931921488176,0,0,0,0,0
BCH,0,0,0,0,0.0635129380179894,0.105564808201774,0,0.0635308331079089,0,0.194313575029268,0,0.0204793240732063,0,0.0924824267948769,0,0,0,0,0,0
LTC,0.2150835554018,0.124379158978428,0,0.193863799920314,0,0,0.0201276685511842,-6.93889390390723e-18,0,0,0,0,0,0.0455257718126053,0.116161304717916,0,0,0,0,0
EOS,0,0,0,0,0,0,0.0788815804267073,0,0,0.0499798530959204,0.10457536894717,0,0,0.112126959587414,0.285551035730035,0,0,0,0,0
ADA,0,0,0,0,0,0.130490006142371,0,0.0170029053556187,0.0477575246802826,0,0.0780369734849475,0.0482077017212028,0,0.156689696929898,0,0,0,0,0,0
XLM,0,0,0.393761054501793,0,0,0,0.0447126882258133,0,0,0,0,0.158725779414566,0,0.0866303971424567,0.0497372617771432,0,0,0,0,0
NEO,0,0,0,0,0,0,0.0592739092504002,0,0,0.251537669449829,0.125280297333681,0,0,0.0280449555645468,0.215678559514718,0,0,0,0,0
MIOTA,0,0,0,0,0,0.0799742539136076,0,0.142997360816481,0.165676448954704,0,0.120921282148737,0.182497890575366,0,0,0.065678019718162,0,0,0,0,0
XMR,0,0,0.0261072462486676,0,0.201762094479431,0.0669057188077641,0,0,0.119442828615787,0,0,0.184891249089862,0,0,0,0,0,0,0,0
TRX,0,0,0,0.202066536392054,0,0,0,0,0,0.34474001868337,0.0375165690358433,0,0.0783823302093298,0.150989289959183,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.10886979186707,0,0.010546656217371,0,0.127577676543532,0.162160217500338,0,0.0425107082336117,0.0996162426442835,0,0,0,0,0
XEM,0,0,0,0,0,0,0.220980282361502,0.266412359283205,0,0,0,0.293249455952291,0,0,0.0277654561292024,0,0,0,0,0
ETC,0,0,0.0199684103490037,0,0,0.218169843853798,0,0,0.172434582184017,0.137484192180092,0,0.121328646984526,0,0.0701485758193964,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,-0.0208418453937668,0,0,0,0,0,0,0,0
CVIX.Index,0,0,0.0214411304196068,0,0.0123233948301459,-0.0329268568770781,0.0439902441773937,0,0,0.0248450152257129,-0.05550397708665,0,0,0,0,0,0,0,0,0.0320065157481004
DXY.Curncy,0,0,0.0118091043662131,0,-0.0070415294786225,0,0,-0.00918150032843153,0,0,-0.00827499708910753,-0.0121562886322983,0.00651359221452228,-0.00310692502925374,0.00821202702021558,0,0,0,0,0.0119497312765919
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,-0.0140293390522004,0,0,0,0,0,0,0,-0.0643176400088662
VIX.Index,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0755021928432444,0,0,0.0891784086264129,0,0.066800921692002,0,0,0,0,-3.82893447811598,0
