,BTC,XRP,LTC,XLM,DASH,DOGE,XMR,XEM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.015068645518533,0.103897326685527,0.0391836039869367,0.0827315694950339,0.0718559825082964,0.0739879797352455,0.0146282476261287,0,0,0,0,0,0
XRP,0.226361775712707,0,0.10577493024499,0.139685965215937,0.0770271170693878,0.0487813870785257,0,0,0,0,0.369558082009176,0,0,0.00746379339120285
LTC,0.433592937294051,0.028991175701757,0,-0.026952325014073,0.0220285164616638,0.0626445082300844,0.0371490712663416,0.0183103204364132,0,0,0,0,0,0.0734704054358085
XLM,0,0.168981925124277,0,0,0,0.128100725201917,0,-0.0951193597958757,0,0,0,0,0,-0.032336295779951
DASH,0,0,0,0.239672721096547,0,0,0,0.101049650778025,0.0782244709067545,0,0,0,0,0
DOGE,0.514889973504366,0,0.143142334006576,0.102532444400921,0,0,0.0655380341743057,0.0482695476066405,-0.0265614949701422,0,0,0,0,0
XMR,0,0,0.203559122131595,0,-0.208441692957002,0,0,-0.335164347017892,0,0,0,0,0,-0.141583104354567
XEM,0,0,0,0,0,0.45419968345672,0,0,0.0859319947123672,0,0,0,0,0
DGB,0,0,0.149478901605208,0,0,0.125619405204764,0,-0.0389594913895086,0,0,0,0,0,0
BV010082.Index,0,-0.0202818444002459,0,0.0289981740477494,0,0,-0.0147634632008801,-0.0315691729903872,0.00663802448337709,0,0.0378348181429515,0,0,0.0294921986957859
CVIX.Index,0,0,-0.0543385606994427,0,0,0,0,-0.00203329523596517,0,0,0,0,0,0.081513946246733
DXY.Curncy,0,0,0,0.000603461258542118,0.00355303618892896,0,0,-0.00659133742926137,-0.0268545285188894,0,0.128731992604955,0,0,-0.00848852607893053
SPX.Index,0,0,0,0.00957942106489586,0,0.00791787803860531,0,0,0,0,0.00160178872610379,0,0,-0.0865463665847922
VIX.Index,0,-0.0699022468125556,-0.0861776960045502,-0.0454230662398288,0,0,-0.14457188346982,-0.0061747405599957,-0.0642618038282147,0,0,0,-1.37302429970961,0
