,BTC,ETH,XRP,LTC,ETC,XEM,MIOTA,DASH,XMR,ZEC,XLM,DOGE,NEO,DGB,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0940075944702523,0,0.0386582129235078,0,0,0.113153476945956,0,0,0,0.0290632878894642,0.0270587134267794,0,0,0,0,0,0
ETH,0,0,0,0,0.146053805460443,0,0,0.0279790406175004,0.0716216380949937,0,-0.0359477039966851,0.00700651913282205,0.00609546908583456,0,0,0,0,0,0,0
XRP,0,-0.116534928603956,0,0,-0.179352259152771,0,0.075741340795688,0.274843736448872,-0.0139483975715383,0,0.391915676879942,0,0.0465479085555966,-0.0145499172235173,0,0,0,0,0,-0.0690523459581006
LTC,0,-0.03690498263841,0,0,0,0.0550093329903976,0,0,0.162743816242187,0,0,0.00815625436140759,0.159592905750731,0,0,0,0,0,0,0
ETC,0,0.265064262132789,-0.0921742442137501,0.0563707354421603,0,0.153970203913766,0,0.153984620619467,0,0,0,0,0.0550234062954968,-0.0178011447041851,0,0,0,0,0,0
XEM,0,0,0.0388663392513145,0.0682053403818465,0,0,0,0,0.0646657409514658,0,0,0.241461692383915,0.0302205576982236,-0.0368373815092152,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.0612016480563686,0,0,0,0.310039169870915,0,0.0472100897534093,0,0.0742957705594807,0,0,0,0,0,0,0
XMR,0,0,0,0.00397669554749502,0,0.0723405926679197,0,0.274875277655759,0,0,0.0702560613419853,0.00606143093679143,0,0,0,0,0,0,0,0
ZEC,0,0.184810789687722,0.0408987320756299,0,0,0.00764387213862729,0,0.0194786744199924,0.0660411307855402,0,0.00265200082087271,0.154079467056482,0.0175835749690989,0,0,0,0,0,0,0
XLM,0,0,0.627100057887886,0,0.0179493111207317,0,0,0,0.220782643156973,0,0,0.0591861174499311,0.0537861218050828,0.019056096829866,0,0,0,0,0,0
DOGE,0,0,0,0.157271327369117,0,0.25667947935981,0,0.0705226999913639,0,0,0.085049860019338,0,0.060918284486777,0.00635786471429657,0,0,0,0,0,0
NEO,0,0.306817194922444,0,0.48779342551124,0.133536405063685,-0.0202137919352057,0,0,0,0.260106327481001,0,0,0,0.0812401929953668,0,0,0,0,0,0
DGB,0,0,0.135347927999497,0,-0.108356704619943,-0.162443936953346,0,0,0.193644683102594,-0.208961971726296,0.214686956048366,0.349093293724341,0.0583764152518672,0,0.181247275533132,0,0,0,0,-0.0367053958945539
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.00409330317257992,-0.00339086816880692,0,0,0,0.00499670184479236,0.00578539749127486,0,0.00738261913227851,0.000629636175352937,0,0,0,0,0,-0.0573792617776895
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.00319855697193403,0,-0.00422736825422047,0.00667460670659355,-0.0112782917298891,0,0,0,0,0.00267421462240845,0,0.00185694622614487,-0.00417693050884259,0.00151647134144813,0,-0.000947596969050863,0,0,0.00375858311669448
SPX.Index,0,0,0,0,0,-0.00309030268583118,0,0,0,0,0,0,0,0.00350482847745648,0,0,0,0,0,-0.0269438491584004
VIX.Index,0,0,0.0730218844850519,-0.0698133620828118,0,0,0,0,0,0,0,0.0912981269941555,0.0233258736687815,-0.0356559777744932,0.0617350966000115,0,0,0,0,0
