,BTC,ETH,XRP,LTC,EOS,BCH,BNB,XLM,ADA,TRX,BSV,XMR,DASH,MIOTA,MKR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0285127220438715,0,0.0744750395299586,0.0507710345120802,0.13331204397034,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.173391715495837,0.141344491828204,0.252021480472013,0,0,0,0,0,0,0.00322563292607872,0,0,0,0,0,0,0
XRP,0,0,0,0.0760664632181231,0.0692552670036476,0.138272547794178,0,0.0328911287261324,0.00697192763291713,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0.1717327793176,0.431375068808874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.386043137417493,0,0.149481469922349,0,0,0,0,0,0,0,0,0.0172815112878439,0,0,0,0,0
BCH,0,0,0,0.231994503594849,0.138564273491553,0,0,0,0.119001858167585,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0,0.455794046106292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLM,0,0.124850473906892,0.113856297012179,0.0916725920918961,0.0765647796164196,0.152980980532783,0,0,0,0,0,0,0.0292110244593194,0,0,0,0,0,0,0
ADA,0,0,0,0.268128009635551,0.0603140920220105,0.296213057630145,0,0,0,0,0,0,0,0.0622021474899987,0,0,0,0,0,0
TRX,0,0,0,0,0.0692420333517746,0.174222284049095,0,0.0438884076265765,0.119030420724955,0,0.0589261541924752,0,0,0,0,0,0,0,0,0
BSV,0,0.1571989617395,0,0.0611961751868753,0,0.33127481785808,0,0,0.00356099969281635,0,0,0,0.0423438981632565,0,0.0168711217935447,0,0,0,0,0
XMR,0,0,0,0.108398496806273,0.130575895129877,0.176677265413166,0.00979848659512991,0.0739706432027251,0,0,0.0481787689872069,0,0,0,0,0,0,0,0,0
DASH,0,0.0549248655213703,0,0.132549544520832,0.105926055653909,0.0357393791310917,0.065354638845233,0.0235886816155977,0.101208451308193,0,0,0.0712157301277745,0,0,0,0,0,0,0,0
MIOTA,0,0.205790468757435,0,0.0924510232426947,0.00533919051710947,0.0945140662674789,0,0.0187016929453436,0.0614954850147748,0,0,0,0,0,0,0,0,0,0,0
MKR,0,0.0335291030444003,-0.348528559846522,0,0.330339453122492,-0.0250437095714029,0.115471028085459,0,0,0,0.540089939284721,0,0,0,0,0,0.126964586112954,0,0,0.0287718975053761
BV010082.Index,0,0,0.125922456316962,0,0,0,0.0439071536236575,0,0,0,0,0.116343884220386,-0.0149824708787222,-0.305398449466206,0.0344373360773942,0,0,0,0,-0.131103469220463
CVIX.Index,0,0,0,0,-0.037027838904542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0,0,0,0,-0.00191768957950112,0.00522899028077645,0,0,0,0.00576553875810445,0,0.00289087174634077,-0.00837586096178279,0,0.0130574253820888,0.0282933860163819,0,0,0.0042434565730531
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0880533496978014
VIX.Index,0,0,0,0,-0.257334797936823,0.186818483307315,0.0416045525092567,0,-0.111450074349971,0,0.100773819863622,0.525545140030713,-0.321575529686086,-0.1236060903747,0,-0.129836531871366,0.0606481823721139,0,-5.22934742782444,0
