,BTC,ETH,XRP,LTC,DASH,ETC,XMR,XEM,ZEC,DOGE,XLM,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,-0.0325075931955747,0.100171658565871,0.119547206313641,0.107923499908431,0.04194937315937,-0.0948085903318519,0,0.122258611367801,0.0800354078915135,0,0,0,0,0,0
ETH,0,0,-0.0267883575162105,0,0.152955006456221,0,0.367705662518591,0,0,0,0.115759946688055,0,0,0,0,0,0,0
XRP,0,0.0493217970030359,0,0,0,0,0,0,0,0,0.396188445258943,-0.0545165241435035,0,0,0,0,0,0
LTC,0,0,0,0,0,0.0443804184807343,0.0799485951504482,-0.0550300505710553,0.0251620785552037,0.121964510476215,0.105022110205546,-0.034522250063265,0,0,0,0,0,0
DASH,0,0,-0.137810196231983,0,0,0,0,0.059347656320658,0.0626207507767642,0,0,0,0,0,0,0,0,0
ETC,0,0.320283226947031,0,0.0143021941662125,0.0719278465882463,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0,0.313041771236668,-0.020713356167366,0,0,0,0,0.115537931457953,0.0422588113433195,0,0,0,0,0,0,0,0,0
XEM,0,-0.0661205909681168,0,0,0,0,0.179621033679492,0,0.139611589537099,-0.1755482878459,0,0.249705012016392,0,0,0,0,0,-0.0395188063226512
ZEC,0,0,0,0,0.241591297958095,0,0,0.00445021375946439,0,0.155746749353812,0,0,0.0839009267716543,0,0,0,0,0
DOGE,0,0.1057268345912,0.119555207390586,0.135553419144854,0,6.93889390390723e-18,0,0,0.13910411022861,0,0.178931125167041,0.0642776167872475,0,0,0,0,0,0
XLM,0,0,0.394337485984906,0.177611320293175,-0.0153516451546442,0,0,0.0431155687093607,-0.0785040234324763,0.200249075652063,0,0.282490665987663,0.0759678287508241,0,0,0,0,-0.214187511775247
DGB,0.319097102661394,-1.0842021724855e-19,-0.134902652434455,-0.0578031195218306,0.0600647858824965,0,0,0.0587301124149796,0,0,0.241119429562392,0,0,0,0,0,0,-0.054812476730107
NEO,0,0,-0.0478034798470932,0,0,0,0,0,0,0.159793490191987,0.0347045666835334,0,0,0,0,0,0,0
BV010082.Index,0,0.0231391634977255,0,0,0,-0.0562421475858118,0,0,0,0,0,0.0275175217965026,0,0,0,0,0,-0.0432309126249478
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0304854782705854,-0.000630291836390841,0,0,-0.00346770960457673,0,0,0,-0.0066250224931806,0,0,0,-0.0133780673838638,0.0679667362743399,0.007053546170582,0,0,0
SPX.Index,0.00904379192511029,0,0.00051120188127342,0.00505716013711277,-0.00157526913764115,-0.00270695836649961,0.00661706572831035,2.71050543121376e-20,0,0,0,0,-0.00350430451710236,0,0,0,0,-0.0248311600871517
VIX.Index,0,0,0,0,0,-0.0573029521753138,-0.109188356441195,-0.0388519108341083,-0.0682742912761156,0.0883916780436182,-0.0788724264412492,-0.023581124080716,0,-0.116099698167863,0.348275004994084,0,0,0
