,BTC,ETH,LTC,XRP,XMR,ETC,DASH,XEM,DOGE,XLM,ZEC,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.296364824184306,0,-0.0276221708244376,0.00387734311295396,-0.0349572607446546,0,0,0,8.470329472543e-22,0,0,0,0,0,0,0
ETH,0,0,0,0.210952077872576,0,0,0,0,0,0,-0.0378514666199919,0,0,0,0,0,0,0
LTC,0.291097610781985,0,0,0,0,0,0,0,0,0,0.00219661853270475,-0.0299174710993518,0,0,0,0,0,0
XRP,0,0.0304178345704247,0,0,0,0,0,0,0,0.0704668101063919,-0.0279802222290065,0,0.117483273059127,0,0,0,0,-0.0882157525458117
XMR,0,0,0,0,0,0,0.421590654242009,0.228004907657582,0,0,-0.027057363013074,0,0,0,0,0,0,0
ETC,0,0,-0.22290464832781,0,0,0,0,0.0312188317761464,0,-0.043778879694114,0,0,0.253775907265062,0,0,0,0,0
DASH,0,0,0,0,0.123107655809121,0.0351409945694175,0,0.0154883883066998,0,0.0905725168877363,-0.034490346217674,-0.0426237501569337,-0.0664554529210228,0,0,0,0,0
XEM,0,0,0,0,0.0461860486933173,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGE,0,0,0,0,-0.0371347177215941,0,0,0.0256393483723177,0,-0.0135842882008805,-0.0079261901444674,0.00442074015489143,0,0,0,0,0,0
XLM,0,0,-0.0785557169538999,0,0.121085370437642,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.579779564900468,1.06039262030715,-2.66355227701699,0.318151626266375,0.708546442508577,-1.93641903473595,-0.336460985682117,0,0.342588977732055,0,0.0957645208976666,0,0,-0.54500238032077,0,0,-0.16744678541455
NEO,0,0.29975528413519,-0.377688242492319,0,-0.078706743519273,-0.21086400560938,0,0,0.28889784725116,-0.11302070406236,-0.0462501824008155,0,0,0,0,0,0,0
DGB,0,0.126743831804928,0,0,0.0991720039149043,0.225492752589269,-0.127646556072077,6.93889390390723e-18,0,0,-0.0108593462121463,0.0279795737649802,0,0,0,0,0,-0.00352418673599192
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0187541269216794
CVIX.Index,0,0,0,0,0.0409583691617827,0,0,0,0,-0.0316991361700918,-0.00652988065679644,0,0,0,0,0,0,0.0900560889900849
DXY.Curncy,0,0,0,0,-0.00295155767183207,0.010007540693106,0,0.0139959738824372,0,0,0,0.00289396160598986,0,0,0,0,0,-0.024032470435671
SPX.Index,0,0,0,0,0.00235793059304695,0,0,0,0,0,-0.000299109468726252,0.00994621944490371,0,0,0,0,0,-0.0441367176355622
VIX.Index,0,-0.248172937882347,0,0,0.0825536909933802,0.103866011343727,0.130813470933663,0,0.163861106920779,-0.0983908056323468,-0.014797917186566,0.0129219464125383,0.0821560185522035,0,0.333258285941524,0,-1.10575308080438,0
