,BTC,ETH,XRP,BCH,LTC,DASH,XEM,NEO,MIOTA,XMR,ETC,ADA,ZEC,XLM,EOS,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.148806761990626,0,0.0530243420007753,0.0352292403787431,0.187824176700395,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0.201313285232835,0,0.0607939978783528,0.0104479557861275,0.117925148225928,0,0,0,0.0139413770156556,0.111586118220124,0,0,0,0,0,0
XRP,0,0,0,0.0215638101799828,0.16832998630449,0,0.0105136964040842,0.0373896447416376,0.0166777797464251,0,0,0,0,0.234620287907917,0,0,0,0,0,0
BCH,0,0,0,0,0.259811075729012,0,0.0310035806659918,-1.73472347597681e-18,0.0784218626735918,0,0.140590857098516,0,0,0.171970363730437,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0.0630034195027872,0,0.709272553539629,0,0,0.0261917015249101,0,0,0,0,0,0
DASH,0,0,0,0.104387592994761,0,0,0.135122559607015,0.0268999637054309,0.117591735967007,0,0,0,0,0.131101774821177,0,0,0,0,0,0
XEM,0,0.155612841564975,0,0.0265497449556839,0,0,0,0.0235896188695794,0.0707025162841148,0,0,0,0.0632504695245078,0.100218080102685,0.0132434484159052,0,0,0,0,0
NEO,0,0,0,0,0.0102808713194857,0,0.154312721447257,0,0.0678872501922713,0,0,0,0,0.357501544628889,0.172499720278984,0,0,0,0,-0.044645067102613
MIOTA,0,0.17275300076373,0,0,0,0,0,0.191473227780325,0,0.0321757293556494,0,0,0.183693301364204,0,0.201737510114481,0,0,0,0,0
XMR,0,0,0.133327882120988,0.0112524455705388,0,0,0,0,0.0645200623973987,0,0.0370643988926257,0,0.137774032740494,0.0725670802698926,0,0,0,0,0,0
ETC,0,0,0,0,0.465734399889799,0,0,0,0.0804401452672819,0,0,0,0.0438470864794588,0.0654083633766053,0,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0,0,0.00888665546074308,0,0,0,0,0.0242493437122316,0,0.234937935511566,0,0,0.121724776139391,0.208620083396835,0,0,0,0,0
XLM,0,0,0.100944908161912,0.0497232742864648,0,0,0.0655442222297943,0.025696384293582,0,0.186793680103951,0.321747828697711,0,0.14363694840591,0,0,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.109767271961923,0.076569476627577,4.33680868994202e-19,0.118585113163732,0,0.129916057278351,0.12190137171112,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0240763043219682,0,0,0,0,-0.00491430544631062,0,0,0,0,0,0.0406515829456167,0,0,0,0,-0.0213887221123458
CVIX.Index,0,0,0.0505892172562441,0,0,0,0,0.00274937848538605,0.0325278761232698,-0.0171765772260634,0,0.0434208365409297,-0.028433186535584,-0.00579882120538774,-0.0340352258493835,0,0,0,0,0.0357660328295585
DXY.Curncy,0,-0.00763400598144964,0,-0.00368084023681651,0,-0.0197834553356408,0,0,0,0.00099559401632949,-0.000162477454687818,0,-3.3881317890172e-21,0,0.012569863297605,0,0,0,0,0
SPX.Index,0,0,0,0,0,-0.00421749466120697,0,0.000534875351700754,0,-0.000204308988523453,0,0,0,0.000872002289678416,0,0,0,0,0,-0.0380590127817573
VIX.Index,0,0.12043571658538,0,0,0,-0.271960452940119,0,0,0.148437648573772,0,0,0,0,0,-0.0782054489905679,0,0,0,0,0
