,BTC,ETH,BCH,XRP,DASH,LTC,XEM,MIOTA,XMR,ETC,NEO,ZEC,EOS,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.142329606291696,0.0109693800391636,0.0976814612226434,0,0,0.0216448138100241,0,0,0.0911045656455097,0.0263230140758236,0,0,0,0,0
ETH,0,0,0.0350589718887164,0,0,0.105306528319964,0.0065296022842994,0.151108514478505,0,0,0.0154793457190736,0.0640338210394939,0,0.0816161596536724,0.108582766267836,0,0,0,0,0
BCH,0,0,0,0,0.170853918887244,0.288152600010201,0.468278148699524,0.0972570527950295,0,0,-0.112885908996587,0,0.0449737073369948,0,-0.188498098856098,0,0,0,0,0
XRP,0,0,0.0168667589426591,0,0,0,0,0.0377508786254012,0,0,0.0161899273534119,0,0,0.0533690601896155,0.147337921322459,0,0,0,0,0
DASH,0,0,0.0222771421139177,0,0,0,0.0491979011801384,0.0454730872530988,0,0,0,0.159873951713984,0,0.131202009246836,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0.00568164765390758,0,0.685388372612088,0,0,0.047465130864255,0,0.0633533450891279,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0.075079049231154,0,0.0061170447927166,0,0.0791579163774912,0.0333804416053008,0.127947977794976,0.0517394943320644,0,0,0,0,0
MIOTA,0,0.0736114554818823,0,0,0,0,0.0863482046901378,0,0,0,0.0966722801040115,0.243053529368244,0.303829454303678,1.73472347597681e-18,0,0,0,0,0,0
XMR,0,0,0.0287456069702531,0,0,0,0,0.0610843732350141,0,0,0.0245537095921882,0.132594896170398,0.0702086609745843,0,0.293534575656816,0,0,0,0,0
ETC,0,0,0.000823315082844277,0,0,0.442024579640923,0,0.0803170485707241,0,0,0,0,0,0.0335691923361565,0.0280041240754094,0,0,0,0,0
NEO,0,0,0,0,0,0,0.259865104826462,0.0459790575527842,0,0.0750973548879312,0,0,0.313789302564511,0,0,0,0,0,0,0
ZEC,0,0.211640295136021,0.0254285705628544,0,0,0,0.0771714833958216,0.0911297113690904,0.0138980867230571,0,0,0,0.0796316332521888,0,0.19051257857708,0,0,0,0,0
EOS,0,0,0,0,0,0.0906868278924131,0,0.0778677028234371,0,0,0.0769262173338479,0.142056894835766,0,0.0683993158738107,0.179788703563385,0,0,0,0,0
BAT,0,0,0,0,0.0134035598984913,0,0.0861552966511108,0.13637376378751,0,0,0.0264066977258329,0.160235529038006,0.0114190099069953,0,0.181147272954738,0,0,0,0,0
XLM,0,0.0811181899085416,0,0.118437397642931,0,0,0,0,0.239570456318444,0.329540731687775,0,0.0749320839603015,0.026715866259602,0.0479448360328509,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,-0.00631259014986517,0.0185206494015335,-4.33680868994202e-19,0,0,0,0.0142385692966675,-0.0330255642594418,0,0,0,0,-0.0526065031665286
CVIX.Index,0,0,0,0,0,0,0,0.0191100914603225,0,0,-0.00224695180498001,-0.0672207653858936,0,0.0151108227942975,0,0,0,0,0,0.0393128810376613
DXY.Curncy,0,0,0,0,-0.0164313163310461,0,0,0,0,0,0.00450316684875195,0,0,-0.00685260973286753,0,0,0,0,0,0
SPX.Index,0,0,0,0,-0.00370621164989506,0,0,0,-0.00264980055218707,0.00105536422962416,0.00114699974326296,0,0,0,0,0,0,0,0,-0.0377762615758841
VIX.Index,0,0.0551694498446242,4.33680868994202e-19,0,-0.271635601271769,0,0.0673972936323953,0.182383208028395,0,-0.0324535103077841,-0.0483457357262169,0,-0.0813217869734153,0.0347936175852348,0,0,0,0,0,0
