,BTC,ETH,XRP,LTC,XMR,ETC,DASH,XEM,DOGE,XLM,ZEC,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.287708396857802,-0.0177193055818382,0,-0.0516218299660061,0,0,2.16840434497101e-19,0.00348773114584952,0,0,0,0,0,0,0.0128831470308295
ETH,0,0,0.400063524672892,-0.0828736201326403,0.0425185412924323,0,0,0.0022953595612813,0,0.117795732046621,-0.045907426498788,0,0,-0.278743164053659,0,0,0,-0.0552177131050327
XRP,0,0.0304178345704247,0,0,0,0,0,0,0,0.0704668101063919,-0.0279802222290065,0,0.117483273059127,0,0,0,0,-0.0882157525458117
LTC,0.338351873331397,0,0,0,-0.0107799398811121,0,0,0,0,0,0.00185391652694057,-0.0335801950766483,0,0,0,0,0,0
XMR,-0.840587710944475,0.00425481475163761,0,0,0,0,0.281227514815769,0.35448297929226,0,0,-0.00965994432965923,-0.104345006726388,0.277969831515287,0,0,0,0,0.0704140455588413
ETC,0,0,0,-0.209968108398409,0,0,0,0.0262069398935316,0,0,0,0,0.242978079327803,0,0,0,0,0
DASH,0,0.0211753387366844,0,0,0.0960794538923442,0.0443379933675232,0,0.0312815655356991,0,0.0766322453344235,-0.0181647536134363,-0.0542007242408645,-0.0696015383365928,0,0,0,0,0
XEM,0,0,0,0,0.0461860486933173,0,0,0,0,0,0,0,0,0,0,0,0,0
DOGE,0,0,0,0.0578716314531823,-0.0360556466136918,0,0,0.0297600733435,0,-0.00889918503009067,-0.00800335233602405,0.0047844704628558,0,0,0,0,0,0.0168488060634454
XLM,0,0,0,-0.0733700641459418,0.115281549981823,0,0,0,0,0,0,0,0,0,0,0,0,0
ZEC,0,0.579263442269976,-2.18387998942946,0.471940165021097,-0.057771438579766,0.563984930483464,-0.81313547937673,-0.228832711496089,0,0,0,0.20393068156373,2.77555756156289e-17,0,-0.600986597890676,0,0,0
NEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DGB,0,0,0,0,0.0648368576104115,0.0970967587173686,0,0,0,0,-0.00196557450783766,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0187541269216794
CVIX.Index,0,0,0,0,0.0493489326494149,0,0,0,0,-0.0273668181943549,-0.00539942936448236,0,0,0,0,0,0,0.105407530222679
DXY.Curncy,0,0,0,0,0,0,0,0,0,0,0,0.0019672884868766,0,0,0,0,0,-0.0151744973716729
SPX.Index,0,0,0,0,0,0,0,0,0,0,-0.000404145831308453,0.00740426683555844,0,0,0,0,0,-0.0436435458431525
VIX.Index,0,-0.127617594488677,0,0,0,0.0633561942263089,0.0202257954871389,0,0.220393817548468,-0.15472678365968,-0.0144635908796657,-0.000396770763490183,0.0240391631895231,0,0.230994126219514,0,-2.75740808748581,0
