,BTC,ETH,XRP,BCH,XLM,EOS,LTC,ADA,XMR,TRX,DASH,MIOTA,BNB,NEO,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0715072448032086,0,0,0,0.184105214895422,0,0,0,0.0164848173853792,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.0777687454752437,0.0303584798089937,0,0,0.0681456076301231,0.0874151572538907,0.14088110065971,0.148877593366625,0.186474159800926,0.0242528286500569,0,0,0,0,0,0,0,0
XRP,0,0.181326504983771,0,0.0025123755119323,0.0142617943078433,-1.73472347597681e-18,0,0,0,0,0,0.383501273552505,0,0,0.0819787381774623,0,0,0,0,0
BCH,0,0.35240468594163,0.0769836414368432,0,0,0,0,0,0,0.259813157106708,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0.168353873449619,0,0,0,0,0.409266537627329,0,0.12280632676279,0,0,0,0,0,0,0,0,0,0
EOS,0,0,0.0641641894513475,0.109231591431025,0,0,0,0.181834882821026,0,0.0941240412466212,0,0,0,0,0,0,0,0,0,0
LTC,0,0.203910493061074,0.0474828220802523,0.104581988885995,0,0,0,0,0,0.0901498134806357,0,0.135639203441187,0,0,0,0,0,0,0,0
ADA,0,0.188363351689619,0.0742474921625966,0.0294988445918107,0.059609401753463,0,0,0,0,0.189023530854865,0,0.0922725668778058,0,0.071042091495476,0,0,0,0,0,0
XMR,0,0.166752953972037,0.0843078673991051,0.0719697656347975,0,0,0,0,0,-4.33680868994202e-19,0,0.0761797672762079,0,0,0,0,0,0,0,0
TRX,0,0.120449748605148,0.0191320159891249,0.0232926931385059,0,0.138049487214364,0,0.369902809890569,0,0,0,0,0,0,0,0,0,0,0,-0.00339356754842628
DASH,0,0.30213056019994,0,0,0,0,0,0.119183619535334,0,0.0127695103969717,0,0.124952496840852,0,0,0,0,0,0,0,0
MIOTA,0,0,0.144441354946708,0,0,0,0,0.0696519502233061,0,0.13478665903995,0,0,0,0.0592529603145532,0.162459980458484,0,0,0,0,0
BNB,0,0.232375889449424,0,0.0357407744656818,0,0.0191953437729677,0,0.0042686449428217,0,0.0863562141921427,0,0,0,0,0,0,0,0,0,0
NEO,0,0.0853560618891227,0,0.0632326611998383,0,0,0,0.323227873150247,0,0.00179405873524875,0,0.235768264061948,0,0,0,0,0,0,0,-0.0330145799073072
XEM,0,0.108056634607679,0.0298830972700715,0.174417383650556,0,0,0,0,0,0.268713179259434,0,0,0,0.0721272131282392,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,-0.0466231342922034,0.0436857251086525,0,0,0,0,0,0,0,0,0,0,-0.0321053087766541
CVIX.Index,0,-0.0488595058401253,0.0254666381620596,0.0275099029742404,0.0229886295233457,-0.0443603099385929,-0.127486899515735,0,-0.0333340945613422,0,0,0.188527836184109,0,0,0,0,0,0,0,0.0437529222606949
DXY.Curncy,0,-0.009478820277707,-0.00425335910534403,0,-0.0167451057006253,0,0,0,-0.0108766359664405,0,0,0.024547883603859,0,0,0,0,0.00391670583348961,0,0,-0.00588520066773326
SPX.Index,0,0,-0.0110002437204461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0930924645204283
VIX.Index,0,0,-0.200160702388077,0.139077042213016,-0.0838594848888263,0,0,0,0,0,0,0,0,0,0.156545186447621,0,0.329374358929733,0,-5.592960201075,0
