,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,DASH,MIOTA,TRX,ETC,NEO,XTZ,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0224118688190034,0,0.104541751646713,0,0,0.0776261667282419,0,0.0844192433287505,0,0,0.107314597584325,0,0,0.0176016000128072,0,0,0,0,0
ETH,0,0,0,0,0.278992589984362,0,0,0.0184148135114334,0,0,0.109838865068727,0.054970930816989,0.0790487271510639,0.0637303634631944,0,0,0,0,0,0
XRP,0,0,0,0,0.334650761596156,0,0,0,0,0,0.207438648983651,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.188828012455053,0,0,0.254426338768288,0,0.0775794307876341,0.0621291144371228,0,0,0,0,0,0,0,0,0
EOS,0,0.0749322356834302,0.0327997691299513,0,0,0,0,0,0,0.0360315289291586,0.186639585556759,0.0661869187733522,0,0.272774446892016,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.118266715885569,0.0636427059241554,0,0.0533407858278615,0,0,0.251534800569453,0,0,0,0,0,0
LTC,0,0.148814585861174,0,0.254152199899953,0.107575157893403,0,0,0,0,0.0373133877908832,0.149280293243918,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.231047921970994,0.00147132644944966,0.0168936056845089,0,0,0.0694675976965476,0,0,0.338538967399131,0,0.119202013718274,0,0,0,0,0,0
XMR,0,0.204550061972183,0,0.0745084553255547,0.103974046919144,0,0,0.106958224534502,0,0.135608012939103,0.059364730745235,0,0,0.0718140872620344,0,0,0,0,0,0
DASH,0,0.0490569964348173,0,0,0.0989304850243157,0,0,0,0,0,0.156191842293998,0,0,0.277544254398717,0,0,0,0,0,0
MIOTA,0,0,0.128713565045366,0,0,0,0,0,0,0.0977822364892117,0,0.222069317381781,0,0.497292780582306,0,0,0,0,0,0
TRX,0,0,0,0,0.0791110957808728,0,0,0,0,0,0.162561736326143,0,0,0.306520677952828,0,0,0,0,0,0
ETC,0,0.122004009906715,0,0,0.285580890027827,0.0253149507858242,0,0,0,0,0.187130010885232,0,0,0,0.0721005312410081,0,0,0,0,0
NEO,0,0,0,0,0.0233875053540667,0,0,0,0.13882591671745,0.0982754087074608,0.342226307196955,0.24428898033146,0,0,0,0,0,0,0,0
XTZ,0,0.149517889345794,0,0,0,0,0,0.0647726771667311,0.0627042105270677,0,0,0.282486847961492,0.0308363824542152,0.02220628710655,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0520708398082692
CVIX.Index,0,-0.160388774284305,-0.00550212861108366,0.0581476335542891,0,0,0,0.021956650122682,0,0,0,0,0.0489895247625985,0.0503785873311409,0,0,0,0,0,0.100948266280874
DXY.Curncy,0,-0.0231957348685426,-0.0123806692694194,0.01875906431218,0,-0.00319010868801301,0,0,0,0.00963387067208931,-0.00359233391962453,0,0.0137585849038557,0,0,0,0.0829113058547304,0,0,-0.00938371892689815
SPX.Index,0,0,0,0,0.00413355977032438,-0.00575969999355645,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0500255892593903
VIX.Index,0,0.0563242499090845,0,0,0,-6.93889390390723e-18,0,0,-0.0283412811808012,0.0363135674502861,0.297673249785793,0,0.0764801931592654,-0.432079003500916,-0.0867414268189539,0,0.493745942140215,0,-3.65482124809814,0
