,BTC,ETH,XRP,BCH,LTC,DASH,XEM,XMR,MIOTA,ETC,NEO,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0549534726404819,0.032995769483285,0.0741881096926243,0,0.0664012482935842,0.13749279248378,0.0109742582650911,0,0.0442656415603414,0,0.0770572873249591,0,0,0,0,0
ETH,0,0,0.0835713651889385,0.0108973148506922,0,0,-4.33680868994202e-19,0,0.121422931985732,0.0747041460474086,0,0.11799093106469,0,0,0.147541437438233,0,0,0,0,0
XRP,0,0.144764828922898,0,0,0,0,0,0,0.0616352842265338,0,0,0,0,0.0673019788650827,0.0766092437280641,0,0,0,0,0
BCH,0,0,0,0,0.152659138881207,0.137797964931049,0.0559085289443855,0,0,0.279515063262913,-0.0603354627220765,0,6.93889390390723e-18,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0.714682182174019,0,0,0,0.0172599819707294,0,0,0,0,0,0
DASH,0.0439265729565902,0,0,0.019041615536356,0,0,0.0657413507540495,0,0.0233001266489477,0.109593274964393,0,0.245797362597957,0.0914712007250732,0,0.0966206916151867,0,0,0,0,0
XEM,0.00372341130224658,0,0,0.00794212051484961,0,0.143358778852351,0,0,0,0,4.33680868994202e-19,0,0,0.139934751265605,0.233523777692392,0,0,0,0,0
XMR,0,0,0.0226398120899476,0.00798139652345437,0,0.0772473536481691,0,0,0.051814947484205,0,0.00642775365727768,0,0.147835019258547,0.330528264441856,-8.67361737988404e-19,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.0831596626049088,0.0141777291399592,0,0,0.123627028908758,0.312219183161744,0.307137595052136,0,0,0,0,0,0,0
ETC,0,0.284016772754812,0,0,0.337115797759632,0,0,0.00508350507920414,0.0239064157272339,0,0,0,0,0,0.0160502561340262,0,0,0,0,0
NEO,0,0,0,0,0.067072023664843,0,0.206316550916562,0,0.0764813197496785,0,0,0,0.421322652111851,0,0,0,0,0,0,-0.0398884001301027
ZEC,0,0.110635611538446,0,0.0139951465567265,0,0.11201818911116,0,0.0303032196986636,0.0698327263262078,0.0667389954595758,0,0,0.122668832317779,0.143091215051685,0,0,0,0,0,0
EOS,0,0,0,0,0.0945053633288835,0,0,0,0.0663398169880156,0,0.0718626118667734,0.104235463816949,0,0.0984223771607223,0.102695318233932,0,0,0,0,0
XLM,0,0,0.17185953673117,0,0,0,0.041019031839986,0.324595447981539,0,0.292953395827079,0,0,0,0,0.0703674410214425,0,0,0,0,0
BAT,0,0.17020930429723,0,0,0,0,0.0726332500142376,0,0.0475838565208046,0,0.00263578511004182,0.0903417586561264,0.0632165070534638,0.20759460805504,0,0,0,0,0,0
BV010082.Index,0,0.0128262935768354,0,0,0,0,0,0.0122609410203885,0,-0.000953806928442192,0,0.00974239916411516,0,-0.0274409904688679,0,0,0,0,0,-0.0531350478980226
CVIX.Index,0,0,0.0328425051803599,0,0,0,0,0,0.00440099546912387,0,0,-0.0443809389236023,0,-0.0279863668169544,0.0244854884387368,0,0,0,0,0.0467253354988154
DXY.Curncy,0,0,0.0109920860387247,0,0.00531451673483087,-0.0107616468776579,0,0,0.00593079204007868,0,0,0,0.00583941997748095,-0.0205566893799953,0,0.0628839379482214,-0.0272582168624727,0,0,0
SPX.Index,0,0,0,0,0,-0.00238494335904708,0,-0.00185630418354387,0,0,0.000906340455326542,0,0,0,0,0,0,0,0,-0.0382376599939021
VIX.Index,0,0,0,0,0,-0.258296645358265,0.0445405286666164,0,0.140981800521678,0,-0.0144885688855771,0,0,0,0,0,0,0,0,0
