,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,XLM,LINK,ADA,XMR,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.0273174032922814,0,0,0.11349315292523,0,0.163720856213884,0,0.00814389216680977,0.177846409731,0,0,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06268885679409
ETH,0,8.93633000177961e-05,0,0,0.019715303149805,0.184860867079255,0,0.0984909551403379,0,0.0164894939993124,0.215969917519927,0,0,0.0630233535204735,0,0,0,0,0,0
XRP,0,0,0.205156488624858,0,0,0,0,0.0188120820779481,0,0,0.086874309460457,0,0,0.192954315502504,0,0,0,0,0,0
BCH,0,-0.00327462336418561,0.2217847065271,0,0,0.337741042146673,0,0,0,0.00838973593712587,0.0300292428841408,0,0,0.167658549945293,0,0,0,0,0,0
BSV,0,-0.00389275311722548,0.28268173266972,0,0.403620752750622,0,0,0.0803284417838703,0,0,0.01784492831486,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0,0.288927688333511,0,0.136458463693075,0.0962767741898544,0,0,0,0,0,0
BNB,0,-0.00313718970667536,0.32784326316021,0,0.142412745935433,0.0398625909907195,0,0,0,0,0.0943596629493942,0,0,0.175036426449093,0.045145969519344,0,0,0,0,0
EOS,0,-0.00317579840056602,0.101848168353888,0,0.158096665455824,0.141674367716717,0,0,0,0,0.136352061704618,0,0,0.155235173593729,0,0,0,0,0,0
TAGZ5,0,0.00642641169038424,0.199176055379878,0,0.0924368150130907,0.100778400367213,0,0,0,0,0.0178700533546995,0,0,0,0,0,0,0,0,0.0341333514819901
XTZ,0,0.00125698820554937,0.627811177918146,0,0,0,0,0,0,0,0,0,0.312566350911245,0,0,0,0,0,0,0
XLM,0,0,0.187603331047828,0,0.0315541327076544,0.0693262182217931,0,0.189216976665333,0,0.00682605359673756,0.0884563997318092,0,0,0.0409367709097026,0,0,0,0,0,0
LINK,0,-0.00357087950475142,0,0,0,0.223879145680251,0,0,0,0,0.468094005203982,0,0,0,0,0,0,0,0,0
ADA,0,0,0.0809732492199572,0,0,0,0,0.183613872034353,0,0,0.380145698946637,0,0.00541843956154608,0,0.0798720669465852,0,0,0,0,0
XMR,0,0.000253856393165583,0.0203384231637531,0,0,0.10460544261981,0,0.184474321259766,0.216635002816338,0,0.134410568030959,0,0,0.0976985033323726,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1351797116115,0,0,0
CVIX.Index,0.095542396541539,-0.0106941806122858,0,-0.706275385271945,-0.538908384469418,0,1.34560159334209,0,0,-0.0376163399509084,0,0,0.124680730779892,0,-0.373552490876913,0.0616825842760012,0,0,-1.14639954197286,-0.101921599987955
DXY.Curncy,0.0109925822299449,0.000856638632927822,0,-0.0316993238236624,0,0,0,0,0.012729740518304,-0.00228400441135501,0,0,0,0,0,0.0580599677749105,0,0,-0.0256932815245566,-0.0129518506076633
SPX.Index,0,0.00393890949857134,0,0,0,0,0,0,0,-0.0109049316581505,0,0,0,0,0,0,-0.0165980749464579,0,0,-0.26343659426125
VIX.Index,0,0.0314932442438597,0,0,0,0,0,0,0,-0.0340119101595716,0,0,0,0,-0.110147558640199,0,0,0,-2.05994359264491,0
