,BTC,ETH,BCH,XRP,DASH,LTC,XEM,MIOTA,XMR,ETC,NEO,ZEC,BAT,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.13635801119469,0.0110682434097671,0.100001467118907,0,0,0.021214834762918,0,0.0908639298773409,0,0.0281553132823266,0,0,0,0,0
ETH,0,0,0.0334193148751286,0,0,0.0914611980988064,0,0.160890401116454,0,0,0.0131080150629967,0.0587852080337464,0.0846483077484764,0,0.112361967810596,0,0,0,0,0
BCH,0,0,0,0,0.170867818485771,0.288210715867423,0.468269660517746,0.0972314818016755,0,0,-0.112876198507101,0,0,0.0449925732825397,-0.188527540967906,0,0,0,0,0
XRP,0,0.08432585333285,0.0192600422026574,0,0,0,0,0.0486048222098115,0,0,0.0168880694138424,0,0.0389723103542478,0,0.135432580617058,0,0,0,0,0
DASH,0,0,0.0297936262789241,0,0,0,0.029957126246409,0.0687829402574942,0,0,0,0.16767276104401,0.0838107668614776,0.0895852409498639,0,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0.012785365511425,0,0.684427416480537,0,0,0,0,0.0884247071961202,0,0,0,0,0
XEM,0,0.171387441633747,0,0,0.0732866672714722,0.0128979100156162,0,0.0516521456523741,0,0,0.010887515428351,0,0.0781980242238575,0.0199904534744789,0.0724631730284745,0,0,0,0,0
MIOTA,0,0.198395285899972,0,0,0,0,0.024447461832929,0,0,0,0.00969592964837524,0.202316805824091,0.0477320016123554,0.395216806386731,0,0,0,0,0,0
XMR,0,0,0.0298073174512415,0,0,0,0,0.0700800520112205,0,0,0.0254375561050938,0.0230509924793013,0,0.0381559346069175,0.354893234899636,0,0,0,0,0
ETC,0,0,0,0,0,0.440059247143936,0,0.0712337085953189,0,0,0,0,0.0415625832608423,0,0.0437638517642654,0,0,0,0,0
NEO,0,0,0,0,0,0,0.260117558938373,0.0410362508633642,0,0.072899340392869,0,0,-3.46944695195361e-18,0.304214777485813,0,0,0,0,0,0
ZEC,0,0.154483339282572,0.0272657331977242,0,0,0,0.0691550599939881,0.0901918558338731,0.0257055399868188,0,0,0,0,0.0994914681224331,0.191295633179554,0,0,0,0,0
BAT,0,0,0,0,0.0965818836590211,0,0,0.0230968720961271,0,0.0677780516317308,0.0695121743720677,0.0654657270635192,0,0.140287677786502,0.21994227354108,0,0,0,0,0
EOS,0,0,0,0,0,0.0752713356298594,0,0.0510330701708682,0,0,0.0559042426522285,0.0711508824926514,0.105215119053148,0,0.21641730025936,0,0,0,0,0
XLM,0,0,0,0.0485046860348858,0,0,0.007586239629453,0,0.317727995707048,0.338844984189554,0,0,0.12270069251635,0.0291115188313452,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,-0.00167436643052751,0.00919368407308559,0,0,0.0136382788888165,0,0,-0.0324106985282252,0,0,0,0,-0.0633447696997195
CVIX.Index,0,0,0,0,0,0,0,0.0181451889863639,0,0,0,-0.0598490503202146,0.0087496953497324,0,0,0,0,0,0,0.0343116230934831
DXY.Curncy,0,0,0,0,-0.0158144730715007,0.00241771374634207,-0.00361326054756652,0,0,0,0.00417191644599371,0,-0.00528285956746525,0,-0.00255715540066996,0.0259712012105687,0,0,0,0
SPX.Index,0,0,-1.35525271560688e-20,0,-0.00325701403854939,0,0,0,-0.00128221510390529,0,0.00110460147025459,0,0,0,0,0,0,0,0,-0.0380111873860608
VIX.Index,0,0,0,0,-0.274092788455919,0,0.0416559447487874,0.17110802925553,0,0,-0.0097832932063641,0,0.0108901908115348,-0.017119673221046,0,0,0,0,0,0
