,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,NEO,ETC,ZEC,EOS,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0.0734107269406609,0,1.73472347597681e-18,0,0,0.0487095544219771,0,0.055506235034113,0,0,0,0,0
ETH,0,0,0,0.0856929653149949,0,0,0.00914109953417658,0.015316106699803,0,0,0.148338759495596,0.150454018941851,0.0526258610526862,0,0.153553955646988,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,-0.147113415918647,0,0,0,0,0,0,0,0,0,0
XRP,0,0.227907896540933,0,0,0,0,0,0.0167081730094301,0,0,0,0,0.0337986023844919,0.0624317982615532,0.0624883980273712,0,0,0,0,0
LTC,0,0.0636598904368042,0,0,0,0,0,0.0433438935559137,0,0,0.188423861673541,0,0.0832768762391009,-6.93889390390723e-18,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.0557385504408222,0.0287171539338939,0,0.0298202928353725,0,0.123958814480286,0.0550235865230289,0.0914772052621348,0.0832172960963283,0,0,0,0,0
XEM,0,0,0,0,0,0.152073101132361,0,0.0201467670718562,0,0.149153344529844,0,0,0.11242090813187,0.132655217434887,0.0527489526642257,0,0,0,0,0.072009842244618
MIOTA,0,0,0,0,0,0.00480894741717797,0.133739668542594,0,0,0.124714391096038,0,0.473729944916274,0,0,0.0231439499418461,0,0,0,0,0
XMR,0,0,0,0,0,0.072968074256274,0,0.03061728773697,0,0.010119249229704,0,0.125234128499592,0.0409007965081472,0.274539946333938,0,0,0,0,0,0
NEO,0,0.0264540158837291,0,0,0,0,0.262394093841743,0.206761452743794,0,0,0,0,0.0508651987931297,0,0,0,0,0,0,-0.0791476291188474
ETC,0,0.148896764272709,0,0,0,0,0,0,0.0940914667437796,0,0,0,0.0218918746721833,0.00719495984961922,0.0488315453793278,0,0,0,0,0
ZEC,0,0.20771699540474,0,0,0,0.0219244389527681,0,0.144601215728777,0.0548450202202244,0,0,0,0.0669278440358905,0.0745787930765457,0,0,0,0,0,0
EOS,0,0.0724376638249527,0,0,0,0,0,0.153758517481227,0,0.107762435980215,0,0.109739170575849,0,0.187161203428626,-1.73472347597681e-18,0,0,0,0,0
XLM,0,0.0138315618091922,0,0.174532154333809,0,0,0.0175925675126007,0,0.352911333786218,0,0,0,0.0814809068697992,0,0.112817444787003,0,0,0,0,0
BAT,0,0.176657305803476,0,0,0,0,0.0869051096761954,0,0,0,0,0.160744473427231,0,0.152127669017056,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.0292038537503899,0,0,0,0.0217368967203741,-0.0160880068412274,0,0.0233756071358855,0,-0.0342091331240841,0.0256799687058335,0,0,0,0,-0.0120846894446282
CVIX.Index,0,0,0,0,0,0,0,0.0107455023448407,0,0,0,-0.0244945509542626,0.00779154352120494,-0.0206499793407213,0.0216882708148337,0,0,0,0,0.0442382643837166
DXY.Curncy,0.00836084395460673,0,0,0,0.0184130807365642,0,0,0,0,0,0,0,0,-0.00145876916033561,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,-0.000881846998484992,0,0,-0.00399675139794628,0.000731034539750008,0,0,0,0,0,0,0,0,0,-0.0413269708427233
VIX.Index,0,0.260244197776693,-0.0375506560050389,0,0,-0.258329243233559,0.0576173049991268,0,0,-0.0635942156165888,0,0,0.0246685068725043,-0.121972856498787,0.0514468198709224,0,0,0,0,0
