,BTC,ETH,XRP,BCH,LTC,ADA,NEO,XLM,EOS,DASH,MIOTA,XMR,XEM,ETC,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.251851854177092,0,0,0.0630301938877027,0,0.0564317136414624,0,0,0.0424558921321613,0.0570000296897582,0,0.0251388076020273,0,0,0,0,0
ETH,0,0,0,0.0604453630394857,0,0,0.115813912956817,0,0,0,0,0,0.155586566549558,0.12915777000123,0.0661707660872687,0,0,0,0,0
XRP,0,0,0,0,0,0.212169039823453,0,0.125794268548179,0,0,0,0,0.160579281964056,0.0842532607496834,0.12241784323847,0,0,0,0,0
BCH,0,0,0.00424878918145909,0,0.158321647313531,0,0.0968978843182709,0,0,0,0,0.127357558846342,0,0.237703502592308,-4.33680868994202e-19,0,0,0,0,0
LTC,0,0,0,0.20217315762714,0,0,0,0,0.112244283334,0,0,0,0,0.153858029289774,0.0257917064955865,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0.124888071527095,0.109534155026149,0,0.056188329496658,0,0.139897666139646,0,0.0719076454740075,0,0,0,0,0
NEO,0,0.0774634189126775,0,0.104987997339066,0,0.101852219018396,0,0.108570616526671,0,0,0,0,0.16581243626755,0.163220779431371,0,0,0,0,0,0
XLM,0,0,0.097267130393774,0,0,0.32004007198456,0.0700746395398162,0,0.0696096954360888,0,0.0651437479689311,0,0.0755696453119304,0.0255399810644847,0,0,0,0,0,0
EOS,0,0,0,0.0899990804520685,0,0.0315806612040256,0,0,0,0,0,0.118772475474394,0.107355415781778,0.212265444277383,0.0792896608039066,0,0,0,0,0
DASH,0,0,0,0.072604752872538,0.0610423864543296,0,0,0,0.056932803007683,0,0.0612827555696251,0.157552096773865,0,0.115537290677949,0.103788268584654,0,0,0,0,0
MIOTA,0,0,0,0.0897416707941674,0,0,0,0,0.145483057943367,0,0,0,0.140064378786856,0.192825597966133,0.037754081467178,0,0,0,0,0
XMR,0,0,0,0.149532356928999,0,0,0.0815131832799355,0.00794852947690855,0,0.020970378510969,0.13654387664741,0,0.0729113407055141,0.20700086246411,0.0402316093689572,0,0,0,0,0
XEM,0,0,0.0276343531991441,0,0,0,0,0.155584891780762,0.0175231147449586,0,0.119208625414481,0.0938152421271371,0,0.118447005502606,0,0,0,0,0,0
ETC,0,0,0,0.0765820268095122,0,0,0.0239838420481994,0,0.103474960040913,0,0.0639517221561754,0.251923582237942,0,0,0.084039723413467,0,0,0,0,0
TRX,0,0,0.374339260579097,0.30752917259931,0,0,0,0,0.0687790687990853,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0327151759999842
CVIX.Index,0,0,0.0726462472631771,-0.0219724402657196,0,0,0,0,0,0,0,-0.0491860730963321,0.0128036953723165,0,-0.0259065865762297,0,0,0,0,0.0453788355797669
DXY.Curncy,0,0,0,0,-0.0127213232011271,-0.0109578442773898,0,0,0,0,0,0.00744117216324869,0,0.004660173597558,-0.00221328880214553,0,0,0,0,0.0100103795667144
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544651208713661
VIX.Index,0,0,-0.0282461900961592,0,0.0313916731574155,0,-4.33680868994202e-19,0,0,0,0,0,-0.0475399098864004,0.0498608422991718,-0.0284544078404422,-1.18536557167234,0,0,0,0
