,BTC,ETH,XRP,BCH,LTC,EOS,ADA,XLM,NEO,MIOTA,XMR,DASH,TRX,XEM,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.108349506606181,0,0.111107169269637,0,0,0,0.0977929892408336,0.13600667718538,0.0918309322862267,0.01975267236521,0.0406222299707681,0,0,0,0,0,0
ETH,0,0,0,0.18678293243332,0,0.0945541619244369,0,0,0,0,0.0754344182627924,0,0.0848716124147372,0,0.0144446166192978,0,0,0,0,0
XRP,0,0,0,0.0187945151650349,0,0.119129591372959,0.0511958045757235,0,0.0334788995425028,0,0,0,0.205120660928949,0.0633050273724721,0.0543837501713494,0,0,0,0,0
BCH,0,0,0,0,0.184517450683184,0.0169330709908032,0,0,0,0.181948777890796,0,0.351435370273786,0,0,0.0294585181342332,0,0,0,0,0
LTC,0,0,0,0.0673621021684802,0,0.0692000470145921,0.00421199229412266,0,0,0,0.204444809031268,0,0,0.0360345968478297,0.213690533456218,0,0,0,0,0
EOS,0,0,0,0.00655565624058983,0,0,0.0913767137587358,0,0,0.0392011481732873,0.0588054006288151,0,0,0.0629226783189698,0.256885853532526,0,0,0,0,0
ADA,0,0,0,0,0,4.33680868994202e-19,0,0.18668232891144,0.0416882134038003,0,0.202291556980203,0,0,0.151900937837529,0,0,0,0,0,0
XLM,0,0,0.22798876566621,0,0,0,0.236411157205828,0,0,0,0,0.102279226440353,0.114899466801034,0.0556673880116877,0.0659478941189565,0,0,0,0,0
NEO,0,0,0,0,0,0.00235371274220796,0,0.0376490364855081,0,0.245119171968234,0.0845711925118379,0,0.00667393140089591,0,0.188278542698675,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0,0,0.0549863877271206,0,0.294201959016396,0,0.167242547314777,0.0562470187556327,0.186461022588309,0,0,0,0,0
XMR,0,0,0,0,0,0,0,0,0.140283998444348,0.123501661882502,0,0.481305316590246,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.111165500958532,0.0145872331900125,0.0114052456764892,0,0.125473987689803,0,0.140445491960708,0.06717151212798,0.0770136261897582,0,0,0,0,0
TRX,0,0,0,0,0,0.183186998906913,0,0,0,0.39116643567213,0,0.0998084033195012,0,0.129233134585158,0,0,0,0,0,0
XEM,0,0,0,0,0.106646895575473,0,0.243541586113506,0.193829066838996,0,0,0,0,0.273792600615262,0,3.46944695195361e-18,0,0,0,0,0
ETC,0,0,0.0187652742304084,0.133363310459522,0,0.197924620735883,0,0,0.19995740027615,0.0726751271825348,0,0,0.132136363086594,0.0428490702210059,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199346638389839
CVIX.Index,0,0,0,0,0.0324197441581825,-0.0136697253679416,0.0359900527104314,0.0142852016685769,0,0,-0.0501645585914728,0,0,0,0,0,0,0,0,0.0307970932636565
DXY.Curncy,0,0,0.0124833417302446,0,-0.00753130559569387,0,0,-0.00613631095866992,0,0,-0.0035031248358311,0,-0.0145207751931056,-0.00209876193220838,0.00831224626004429,0,0,0,0,0.0121180016170896
SPX.Index,0,0,0,0,0,0,0,0,0.00349422325502267,0,0,0,-0.016656510812078,0,0,0,0,0,0,-0.0630974300667431
VIX.Index,0,0,0,-0.195236322699965,0,0,0,0.122872492891774,0,0,0,0,0.223756201197615,0.0246027342074937,-0.0540627569554503,0,0,0,-1.80601889532304,0
