,BTC,ETH,XRP,ETC,LTC,DASH,XEM,XMR,DOGE,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.0601463915406281,0,0.00665701956462409,0.477744495657382,0,0.0361809101276893,0.118556395048997,0,0,0.0167910356525085,0,0,0,0,0
ETH,0.151313357869598,0,0,-0.133988574529426,0,0,0.0252151642613727,0,0,0,0.245174822616584,0,-0.425302222726584,0,0,0.0662166598374044
XRP,0,0,0,-0.0186842627324931,0,0,0,0,0,0,0,0,0,0,0,0
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LTC,0.540363949434382,0,0,-0.00268989513399282,0,0,0,0,0,0,0,0,0,0,0,-0.00723166619778923
DASH,0,0.038874159576377,0,-0.0013791446148063,0,0,-0.026202886678468,0.0835918395778688,0,0.0415683730081407,0.103119974718694,0,0,0,0,-0.0151264070553952
XEM,1.07172617010357,0,0,0,0,0,0,0.261780754994214,0,0.29686863178442,0.0928303820881854,0,0,0,0,0.10994582492545
XMR,0.564474303857583,0,0,-0.0107702723053278,0,0,-0.0153851752053731,0,0,0,0.0313122526628085,0,0,0,0,-0.0220272358665021
DOGE,0.381007921761436,0.0565497410228782,0,0.00150260335472483,0,0,0,0.0139627272236176,0,0.0134555987336856,0.0214672187219048,0,0,0,0,0
XLM,0,0,0,-0.0466859282977451,0.277314488950874,0,0.131382869824213,0,0,0,0,0,0,0,0,0.0867747687413491
DGB,0,0.30619558398202,-0.12365726403897,0.0316252469304926,0,0.174810170995602,0.0932186951918068,0,0.0900673776013002,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0.0183534975483965,0,0,0,0,0,0,0,0,0,0,0,-0.0323151045660269
CVIX.Index,0,-0.108637220552477,0.0867064572356543,-0.0146404035451275,0,0,0,0,0,-0.0567453495694108,0.0716691374339319,0,0,0,0,0.199931278901868
DXY.Curncy,0,2.71050543121376e-20,0,-0.000559412813450627,0,0,1.35525271560688e-20,-0.0101750826402008,-0.00805306924245602,0,-0.00203993401278895,0,0.0161071154209588,0,0,0
SPX.Index,0,0.00467763684467598,0,0,-0.00193226750489947,0,0,0,0,0.00532788721619455,-0.0161078749782435,0.0308050342665143,0,0,0,-0.0642308451283161
VIX.Index,0.111239679406096,0.0950890265814418,-0.0272517701195264,0.0871300872208943,-0.26593172515018,0.0598290260037943,-0.133238816964368,0,0,0.325405853811918,6.93889390390723e-18,0,0.645239328599221,0,-2.98526183099015,0
