,BTC,ETH,XRP,BCH,LTC,NEO,XLM,ADA,EOS,MIOTA,XMR,DASH,XEM,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.139873475353485,0,0.167094025692799,0,0,0.12454400408767,1.73472347597681e-18,0.135818887201822,0,0.07237404379549,0,0,0,0,0,0,0
ETH,0,0,0,0.187130952315157,0,0,0,0,0.0250190750462362,0,0.045904625377267,0,0,0.0983548753858333,0.124366029417137,0,0,0,0,0
XRP,0,0,0,0,0,0,0.00405048760506489,0.0801539443274659,0,0.0242982220161563,0,0,0.0153618220990313,0.351220170343029,0.165487116968506,0,0,0,0,0
BCH,0,0,0.0237167985084987,0,0.0336171401360283,0.0643578263097311,0,0,0,0.0685450663113321,0.00781562132879183,0.312644586502117,0.0527514333068752,0,0.0796960615872095,0,0,0,0,0
LTC,0,0,0.011311236086342,0.105456697500193,0,0.0336474596201671,0,0,0,0,0.121045791771276,0,0.0344786177652965,0.0421459553421505,0.239784714830419,0,0,0,0,0
NEO,0,0,0,0,0,0,0.0831906599694118,0.0435184765294561,0.109464343080407,0.0755648303560896,0.0738877169905936,0,0,8.67361737988404e-19,0.192833447766876,0,0,0,0,0
XLM,0,0,0.322088146541703,0,0,0,0,0.152305803106765,0,0,0,0,0.0727071745119593,0.121529901334543,0.0886988553684346,0,0,0,0,0
ADA,0,0,0,0,0,0,0,0,0.05026577718184,0,0.104262194353838,0,0.128219625673795,0.151222515825849,0.0431954572115976,0,0,0,0,0
EOS,0,0,0,0,0,0,0,0.0679143098555461,0,0.0268267719168503,0.0904493704051131,0,0.0957424449399453,0.0672696344022314,0.271903212988809,0,0,0,0,0
MIOTA,0,0,0.0762618277854604,0.189003255183585,0,0.0704365415061918,0,0,0.0375680362183093,0,0.0984743040725302,0.0200525057854239,0,0.205971406376816,0.104119430406045,0,0,0,0,0
XMR,0,0,1.73472347597681e-18,0,0,0.410978195567261,0,0,0,0.100457083104937,0,0.252804917290345,0,0,0,0,0,0,0,0
DASH,0,0,0,0.033479329585729,0,0,0.0357808728177685,0,0,0,0.128912435202375,0,0.0711881538633768,0.18765853256847,0.109477000832911,0,0,0,0,0
XEM,0,0,0,0,0,0.08831723902437,0.042624565530142,0.305711444606887,0.225894956130346,0.112974870943318,0.0324640090053598,0,0,0.0769993284590504,0,0,0,0,0,0
TRX,0,0,0.072768842683306,0.175926327746248,0,0,0,0,0,0.368897339497455,0,0,0.128586225070095,0,0.143174730294817,0,0,0,0,0
ETC,0,0,0.00879724538277367,0.120756606591645,0,0.143256845140527,0.00308318137164689,0,0.284119108230675,0,0,0,0,0.18856254752656,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033435018663754
CVIX.Index,0,0,0,0,0.0297269799863906,0,0,0.00178672044297423,0,0.024764807189424,0,0,0.0279278238015694,-0.0672829096516489,0,0,0,0,0,0.0383581767249501
DXY.Curncy,0,0,0,0,-0.00613266500606309,0,-0.00637276444165798,0,0,0,0,0,-0.00176473940886194,-0.0124448262731839,0.0150871867944293,0,0,0,0,0.0110821605302164
SPX.Index,0,0,0,0,0,0.00911954494797174,0,0,0,0,0,0,0,-0.0147994359637442,0,0,0,0,0,-0.061546932572316
VIX.Index,0,-0.197715151698716,0,-0.362657570444901,0,0,0,0,0,0,0.212186965328821,0,0.138794940774105,0.369380747734227,-0.178270952402831,-0.0958977558402072,0,0,-3.67624750912832,0
