,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,XLM,ZEC,DOGE,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0276778726642784,0,0,0,0,0,0,0,0,0.0836317597670469,0,0,0,0,0
ETH,0,0,-0.0115436065964692,0,0.0294382118168334,0,0,0,0,0,0,1.32348898008484e-23,0.079394148581432,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0,0.416253444055008,0,0,0,0,0,0,0,0,0
XEM,0,0,-0.0690849810145858,0,0,0,0,0.0418843932909842,0.0431123309700526,0.175826538581857,0,0,0.0412657194687963,0,0,0,0,0
ETC,0,0.120630673230828,-0.0031929879679209,0.0120351267923047,0,0.0344162268283037,0.107129641588915,0,0,0.0313256284125287,0,-0.0656347457787105,0.16142269383346,0,0,0,0,0.0674878845754374
LTC,0,0,0,0,0,0,0,0,0.00930540007445341,0,0.0993076306013961,0,0.156411327749612,0,0,0,0,0
DASH,0,0,-0.0972027557049731,0.0531013785555467,0,0,0,0,0.0532549255600885,0.266096383876517,0,0,0.0407838382251832,0,0,0,0,0
XMR,0,0.0572011124776662,-0.0201602330079427,0.087253375863623,-0.0594223848840878,0.041231986438998,0.226779193543113,0,0.0553990007287348,0,0,-0.00408731899256278,0.0456669443046478,0,0,0,0,0
XLM,0,0,0.388868593134104,0,0,0,0,0,0,0,0.221136625812492,0.0659408936440699,0,0,0,0,0,0
ZEC,0,0,0,0.0381030642965335,0,-0.0398976474684164,0.231494591641781,0,0,0,0.182695584404053,0.0234097458655284,0.0268768574901468,0,0,0,0,0
DOGE,0,0,0.0547271654180495,0,0,0.186323989973517,0,0,0.203810487133831,0.30707849461935,0,0,0.118354669132763,0,0,0,0,0.075432372908773
DGB,0,0,0,0,0,0,0,0,0.0775706923874102,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0,0.0313182380919605,0.114378762791628,0.0534970579180169,0.0416736160346078,0.201254379697248,0,0.0289601577687682,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0.00559413745688898,0,0,0,0.0112155258233058,0,0,0,0,-0.0757981638670616
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.0088432511808479,0.00077940889862408,-0.0127125055764966,0.00749595743972585,0,0,-0.00172577988502306,0.00210954890400413,0,-0.00255130105949686,-0.00545765681253131,0,0,0,0,0,0.00392350100534435
SPX.Index,0,0,0.000710199207559179,-0.00273115632972775,0,0,0,0,0.000555096962885735,0,-0.000906998488812926,0.00445778830172357,0,0,0,0,0,-0.0260719729036561
VIX.Index,0,-0.131845842497364,0.0143304254430264,0.00567229343613496,-0.00756908620185334,-0.133383566890922,0.218866233280606,-0.111280301610743,0,-0.0387435234307098,0.147764255292233,-0.0534989868545635,-0.00895054473929535,-0.458348089444137,0,0,0,0
