,BTC,ETH,XRP,BCH,XEM,LTC,MIOTA,NEO,DASH,ETC,XMR,EOS,ZEC,XLM,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0831577852878171,0.0175834600506102,0.00676472305746966,0.0394085358177542,0.0745691382754023,0,0,0.0362662613566205,0,0,0.0231925482072223,0,0,0,0,0
ETH,0,0,0,0,0.0189449081013287,0,0.0706665988845797,0,0.21131401761465,0.056995290458193,0.0172611319763279,0.00861095464366223,0,0,0.145321228604295,0,0,0,0,0
XRP,0,0.0533615668492464,0,0,0.0527490433700496,0,0.123178549508212,0.00334872600333569,0.000991789711051606,0.0543787789846083,0,0.0433394605397157,0,0.0426128279896614,0.0407637479312849,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XEM,0,0,0.0438847989094564,0,0,0,0.0326684814952558,0.0361325693363828,0,0,0.0365224993149564,0.125870688087841,0,0.122227883642709,0.110083001170012,0,0,0,0,0
LTC,0,0,0,0,0,0,0.020458079131022,0.0610609478363523,0,0.181325361496839,0.118197265654743,0.0860607573707323,0,0,0,0,0,0,0,0
MIOTA,0,0.24601011956944,0.23762167639801,0,0.207481869053336,0.0724660012579584,0,0.0502512211291334,0,0,0,-0.0221287803021461,0,0.179752537972838,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0,0.155611526882673,0,0.0944748011852103,0.0561009010931831,0.0413423928085827,0.137959835479915,0.144179758580559,0,0,0,0,0
DASH,0,0,0,0,0,0,0.00624326441863618,0.0820172906601077,0,0,0.179563032461127,0.0143245106872369,0,0.0900980802692259,0.00943092605287615,0,0,0,0,0
ETC,0,0.0530872777279327,0,0,0,0.105606865970888,0,0.00869350460184797,0.0167262673628074,0,0.152883940931232,0.0176398593184103,0,0,0.0125025669084559,0,0,0,0,0
XMR,0.220472393320284,0,0,0,0.0195630503604058,0.0171342866717369,0.00738718922717362,1.73472347597681e-18,0.25352948252209,0,0,0.0289292354630699,0,0.294300317886002,0.0232408643707714,0,0,0,0,0
EOS,0.0578136664051689,0.199355255401013,0,-0.0476354411455253,0.257544264816031,0,0.146120445080849,0.0492924233298397,0,0.0356540104482012,0,0,0.204259995263475,0,0,0,0,0,0,0
ZEC,0,0.147469615918359,0,0,0,0,0.0870404652830654,0.019245849327634,0,0,0.235102805049002,0.0549014326974036,0,0.0774459111227798,0,0,0,0,0,0
XLM,0,0,0,0,0.044911739334872,0,0.0406370593560952,0.0236525602876255,0.0347675471541492,0,0.486506167405888,0.0721458458778927,0.0463645082928312,0,0.0251356855616552,0,0,0,0,0
BAT,0,0.536469715706595,0,0,0.0767860313172733,0,0.0174230730000568,0,0,0,0,-0.0465645847516042,0,0.216727135000293,0,0,0,0,0,0
BV010082.Index,0,0,0,0.0139455393815049,0,0,0,-0.00904340528103441,0,-0.0192008454101029,0,0.00463883414160063,0.0286489850836296,0,0,0,0,0,0,0
CVIX.Index,0,0,0,0,0,-0.0193906079582356,0.0104149260442581,0.0097288601932343,0,0,0,0.00761114191049059,0,-0.0365655884761668,0,0,0,0,0,0
DXY.Curncy,0.0193750615766097,0,0,0,0,0,0,0,0,-0.00193728867942969,0,0.00197829047428974,0.00753374327366643,-0.0171088827304553,0,0,0,0,0,-0.00437598600428817
SPX.Index,0,0,0,0,0,0,0,0,0,-0.00295144331907077,0,0,0,-0.00111140782616738,0,0,0,0,0,-0.0386245590347329
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0.0278047267968371,0,-0.121859633741168,0.0816584453290382,0,0,0,0,0
