,BTC,XRP,ETH,LTC,XEM,DASH,ETC,XLM,XMR,DOGE,ZEC,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.00430645513624789,0,0,0,0,0,0,0,0.0401273011363052,0,0,0,0,0
XRP,0,0,0.045449830400678,0,0,0,0,0.385200334093772,0,0,0,0,-0.071713487557534,0,0,0,0,0
ETH,0,0.0112823654966768,0,0.000213868626467725,-0.0327344914561399,0,0.0907325422467243,-0.0714831401765295,0.270170773432429,0.0522792445729092,-0.145435646677193,0,0.035064093183545,0,0,0,0,0
LTC,0,-0.0566624068030707,0,0,-0.0544645237442423,0.0912339421324157,0.107873769028224,0.0428769601372111,0.099934060727108,0.224572910060768,0,0,0,0,0,0,0,0
XEM,0,0,0,-0.000789166735017169,0,0,0,0.0371360718289877,0,-0.216132269499264,0.0856982379765876,0.087350318924867,0.217784827862607,0,0,0,0,0
DASH,0,-0.106785910648757,0,0,-3.46944695195361e-18,0,0,0.0240656343303763,0,0,0.276837388298043,0,0.0763845460945853,0,0,0,0,0
ETC,0,-0.0342775682019435,0.393401190936235,0.143347124522954,0.0980965366611502,0,0,0,0,0,0.146582700571221,0,-0.0544921904282814,0,0,0,0,0.00825928488711968
XLM,0,0.387400049542933,0,0.0620503601511603,0,0,0.147621312012668,0,0,0.263574621464488,0,0,0.0784747124214278,0,0,0,0,0
XMR,0,-0.0519137612952359,0.255834925332326,0,0,0.0215429603054252,0,0.0543432379965418,0,0,0,0.0104105110091755,0,0,0,0,0,0
DOGE,0,0.134835693975686,0,0.183583095819779,0,0,0.0128868490088475,0.162272445408569,0,0,0.127107790327957,0.0102764750462295,0.139943078699002,0,0,0,0,0
ZEC,0,0,0,-0.0745043891880453,0.104313628652357,0.180849027026783,0,0,0.0933997157326105,0.189610323663869,0,0,0,0,0,0,0,0
NEO,-0.277071992223117,-0.0141036670617429,0,0,0,0,0,0.0311773414704354,0,0,0.408573695523574,0,0.0516956090730105,0,0,0,0,0
DGB,0,-0.0484238263489647,0,0,0.0373667106920351,0,0,0,0,0,0,0.102424513577051,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0106835193351621,0,0,-0.0176316627808032,0.00676464385894249,0,0,-0.0202897518983155,0,0.0135101880275019,0,0,0,0,-0.0848484830739392
CVIX.Index,0,0,-0.0426909048150513,0,0,0,0,0,0,0,0,0,0.00704126340047543,0,0,0,0,0
DXY.Curncy,0.00803965250382352,0.000847554481253614,0,0,0,-0.00215218511638018,0.00861530149225181,-3.67049076815926e-06,-0.00608259188884304,0,-0.00351941746555807,-0.000632477573820486,3.3881317890172e-21,0.0425028815704625,0.0160422003595858,0,0,0.0197950808599536
SPX.Index,0.00285803649634494,0,0,0,0,-0.00418651899117757,0,0.00125415980986308,0.00457421311302643,0,0,-0.000982136343063382,0.00183752484856282,0,0,0,0,-0.0291701795622684
VIX.Index,0,0,0,0,0,0,0,0,0,0.0504735358230646,0,0,0,0,0,0,0,0
