,BTC,ETH,BCH,XRP,MIOTA,LTC,XEM,DASH,NEO,ETC,XMR,ZEC,EOS,BAT,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,-0.00555720247866599,0,0.0795112138200784,0,0.0730219902776987,0.0812385180905807,0,0,0,0,0.0415438808976055,0.0331837169613229,0.04147557063108,0,0,0,0,0
ETH,0,0,0,0,0.0433283154200041,0,0.0555288413427612,0.043001039989917,0.0165960751773546,0,0,0.14867843070818,0.0219074356207939,0.12674169768233,0,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0.344135040519463,0,0,0.02968299643611,0,0,0,0,0,0,0,0.0340715843713214,0.059654742585137,0,0,0,0,0,0
MIOTA,0,0,0,0.0592631345360932,0,0,0.102000119290251,0,0.0512192639005211,0,0,0.352527813983111,-2.16840434497101e-19,0.0687442648393587,0.0846920526900387,0,0,0,0,0
LTC,0,0.108733133679627,0,0,0.0452944730090215,0,0,0,0.0117095754241783,0.171754155412894,0,0,0.085054379620259,0,0.0252671188281969,0,0,0,0,0.0586957194121845
XEM,0,0,0,0.0608707223601382,0.102485760379298,0,0,0,0.0426339013922213,0,0.0941717928468505,0,0.131230771326918,0.0959630516357645,-0.0138264062127023,0,0,0,0,0
DASH,0,0.196653368221376,0,0,0.0267007779369984,0,0,0,0.0370418631036805,0,0.139310893434903,0,0.0552066570527839,0,0,0,0,0,0,0
NEO,0,0.225701587115746,-0.0503221317678619,0,0,0,0.316730098186547,0,0,0,0.161034041053702,0.0154687924537963,0.0163319909278605,0,0,0,0,0,0,-0.105428607725764
ETC,0,0.309436794071005,0,0,0.0220358146065821,0,0,0,0,0,0,0,0.0183213676318335,0.0395335799327562,0,0,0,0,0,0
XMR,0,0.0643135503260631,0,0,0.0639451111982522,0,0.0790616729690718,0.0645985000103301,0.000933523644071104,0,0,0.180957736353711,0.0460235299045921,0,0,0,0,0,0,0
ZEC,0,0.213624098717099,0,0,0.107142034287657,0,0,0,0,0,0.168832875988971,0,0.0138054261311126,0.00976794607044526,0,0,0,0,0,0
EOS,0,0.096997283808159,0,0,0.142058152409986,0,0,0,0.0586520039506363,0,0,0.240223663843132,0,0.116323521632836,0,0,0,0,0,0
BAT,0,0.491194644287828,0,0.0637488865982947,0.144456737666792,0,0.133423904704722,0,0,0,0,0,-0.0416838052867404,0,-0.0566940263520165,0,0,0,0,0
BNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,-0.00740393105618257,0,0,0,0,0,-0.0065987564076354,-0.0088947559284402,0,0.0458948436440285,0,0,-0.0133733829092613,0,-0.0443178737664681,0,0,0
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0.0218367262802352,0,-0.000499933850743255,0,0,0,0,0,0,0,0,0,0,-0.00357984299542014,0,0,0,0,0,-0.000785972646615416
SPX.Index,0,0,0,0,0,0,0,0,0.000973366050631158,-0.00409421034398756,0,0,0,0,0.000425672704246168,0,0,0,0,-0.0463331031346707
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
