,BTC,ETH,XRP,LTC,DASH,XEM,ETC,MIOTA,XMR,EOS,NEO,ZEC,XLM,DOGE,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.063905861733794,0.152496683327769,0,0,0,0,0.21811007715479,0,-8.67361737988404e-19,0,0,0,0.0647392912310616,0,0,0,0,0
ETH,0,0,0,0,0.0595666018397231,0,0.223047764902865,0.0504798280055898,0.128995916579001,0.0190370986688945,0,0,0,0,0.0760187370941823,0,0,0,0,0
XRP,0,0,0,0,0.118151707138145,0.00176168039391301,0,0.00721303628927691,0,0.0268654989990289,0,0,0.494693744284783,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0.109202660583833,0.0490353301189804,0,0.0359917453529486,0,0.10755321807747,0,0,0.102929439277965,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.0451993392186185,0,0.211034467081752,0.061388495018506,0.0823204264697343,0,0,0,0.0923442835310379,0,0,0,0,0
XEM,0,0,0,0.161496542420844,0,0,0,0,0.145127964488713,0.0745856299218618,0.0160338439999968,0,0.187310603669819,0.0597585389360168,0,0,0,0,0,0
ETC,0,0.300345069240655,0,0.210930926890078,0,0,0,0,0,0.0123559312094807,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0.226091352116154,0.00305707899971599,0,0,0,0,0,0,0.0128141340781091,0.00605435957057108,0,0,0,0.110886412647839,0,0,0,0,0
XMR,0,0,0,0,0.195174436075996,0,0,0,0,0.0463276411444885,0,0,0.279924911590727,0,0.0332746769310566,0,0,0,0,0
EOS,0,0.229344432171833,0,0,0,0,0,0.224393219124405,0,0,0.00716637626287452,0.124428645326294,0.126282876563905,0,0.0460119660283138,0,0,0,0,0
NEO,0,0,0,0.229144433828162,0.0287540177694103,0,0,0,0,0.0313769033715463,0,0.27572098021536,0.0792247793644234,0,0,0,0,0,0,0
ZEC,0,0.201219145398006,0,0,0,0,0,0.0742115910177633,0.256868575797517,0.0198383019619208,0.0252889410852962,0,0.026669085296613,-3.46944695195361e-18,0,0,0,0,0,0
XLM,0,0,0.420507589606463,0,0,0.0434678178504678,0,0,0.479184140722812,0,0.0206335305012329,0,0,0,0.0522526876399511,0,0,0,0,0
DOGE,0,0.0540832623328622,0,0.0698087167231599,0.126922777865853,0.421322803254012,0.135861408421746,0,0,-0.00672351652144602,0,0,0,0,0.0831797805855699,0,0,0,0,0
DGB,0,0,0,0,0,0,0,0,0.237728692472594,0.0721820458414818,0.0594007627861307,0,0.362456023728471,0.163271907851081,0,0,0,0,0,0
BV010082.Index,0,0.0172620768002237,0.0130816668014196,0,0,0,-0.0161002027516533,0,0,0,0,0,0,0.0141772958653097,-0.00982687679252983,0,0,0,0,0
CVIX.Index,0,0.00241072329435635,0,-0.0353443859719661,0,0,0,-0.0106229149308955,0,0.0100277884594359,0.00913769755883012,0,-0.0135796410320968,0.0578033669943785,-0.00791139445558595,0,0,0,0,0
DXY.Curncy,0.0147819602512618,0.000848409572470872,0,0,0.00118840556252798,0,-0.00211098877146041,0,0.00710823992326336,0.00137047363521816,0,0.00508694023917618,-0.0117040806239995,0,-0.00488679644457811,0,0,0,0,0
SPX.Index,0,0,0,-0.00107063851031322,0,0,-0.00352259081016576,0,0,0,0,0,0,0,0,0,0,0,0,-0.037533441195763
VIX.Index,0,0.120469499463473,0,0,0.080082170413326,0,0,-0.0818163251261711,0,0,-0.0349278884983652,0,0,0,0,0,0,0,0,0
