,BTC,ETH,XRP,LTC,ETC,DASH,XEM,DOGE,XMR,XLM,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.581976087568128,0.00387479206651689,0,0.0164672856006163,0,0,0,0,0,0,0,0,0
ETH,0.0937720313104691,0,0,0,-0.0810031322092263,0,0.0287155044306561,0,0,0,0.236354623093167,0,-0.305784091716023,0,0,0.0637266179124841
XRP,0,0,0,0,-0.0169713544587901,0,-0.00753248552396627,0,0,0.0523177642265351,0,0,0.0529706096827248,0,0,0
LTC,0.572457311892397,0,0,0,-0.00243808151147002,0,0,0,0,0,0,0,0,0,0,-0.0064562940927558
ETC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASH,0,0.0438892716459359,0,0.0737909244223035,-0.00292877480558996,0,-0.0295039167522081,0,0.0310149142438065,0.0332721841772759,0.0485366798753528,0,0.079664968664539,0,0,-0.0169963566061023
XEM,0.901426721573593,0,0,0,-0.020358782822489,0,0,0,0,0,0,0,0,0,0,0.0496349292531524
DOGE,0.374228054992679,0.0235906015435655,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMR,0.494846871243426,-0.0565216223215341,0,0,-0.00188902450575992,0,0,0.0215972859918165,0,-0.0214937592998574,0,0,0,0,0,-0.0286976663317226
XLM,0,0,0,0.269089846555416,-0.0458713108479902,0,0.133306596510755,0,0,0,0,0,0,0,0,0.0828975011951758
DGB,0,0.253965870415171,-0.0464392416020913,0,0.0248494281868065,0.0797296641154111,0.0916384593434362,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.0224373793829761,0,0,-0.0911368556157706,0,0.0419213713643159,-0.0478404680167045,0,0,0,0,-0.0898384328335245
CVIX.Index,0,-0.0976791176160256,0.0983716020103203,0,-0.0196031899089046,0,0,0,-0.108775815011783,-0.0526365861868795,0,0,0,0,0,0.191830512906298
DXY.Curncy,0,0,0,0,-0.000419511268899687,0,0,-0.00988025948077743,-0.0117327776192979,0,-0.000127512684718804,0,0.0419497894925684,0,0,0
SPX.Index,0,0,0,0,-1.35525271560688e-20,0,0,0,0,0,0,0,0,0,0,-0.0609507904261923
VIX.Index,0,0.231255369137606,0,-0.169042455653632,0.110359377902277,0,-0.0780072317849572,0,0,0.255794624876621,0.0249282977649894,0,0.889699848928351,0,0,0
