,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,ETC,NEO,ZEC,EOS,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.135788633155682,0,0.0957829081557074,0.118809493788442,0.0128856790928045,0,0.0130861412273976,0,0,0.0663876641790401,0,0,0,0,0,0
ETH,0,0,0.029158547839568,0,0.108095041160529,0,0.0332125048876873,0.168266379388536,0,0,0,0.0583066885648602,0,0.106641904111535,0.0742834935787191,0,0,0,0,0
BCH,0,0,0,0,0.168150807127226,0.124181322337596,0.18633608405856,0,0,0.264359922735891,-0.078624069404344,0,0,0,0,0,0,0,0,0
XRP,0,0.0527003298904919,0.0126395538977341,0,0,0,0.0139390968851379,0.0592606284322715,0,0,0.00578176913603016,0,0,0.0597150214316976,0.11451321167885,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0,0,0.668241927865147,0,0,0,0,0.076830389541243,0,0,0,0,0
DASH,0,0,0.00766965677383762,0,0,0,0.0525528312661439,0.0434460171669006,0,0,0,0.0864433488377855,0,0.113841888972921,0,0,0,0,0,0
XEM,0,0,0,0,0,0.0102944449822475,0,0.112896782429048,0,0,0.0098828818341315,0.0745868004801419,0.0574828205973673,0.0958755042863015,0,0,0,0,0,0
MIOTA,0,0.294866399567859,0,0,0,0,0.0284866388388251,0,0,0,0,0.219819069153274,0.0650270868783556,0.143580548114871,0,0,0,0,0,0
XMR,0,0,0.0169263495483241,0,0,0,0,0.0277918853051638,0,0,0.0269362094686612,0.0437178153553698,0,0,0.398263392561056,0,0,0,0,0
ETC,0,0,0.00273121261296149,0,0.439824758525511,0,0,0.063902817946575,0,0,0,0.02434973652913,0,0.0471513772751748,0,0,0,0,0,0
NEO,0,0,0,0,0,0,0.251855650037854,0.0633042206526123,0,0,0,0,0.509456937603806,0,0,0,0,0,0,-0.0792868585132821
ZEC,0,0.150829185094094,0.0277452781704652,0,0,0,0.0691563903217628,0.0918954301628202,0.0271819831882633,0,0,0,0.0985801421646552,0,0.191289121313189,0,0,0,0,0
EOS,0,0,0,0,0.0676149162462722,0,0,0.0459022808584463,0,0,0.0513922914709396,0.0690552607894326,0,0.113247121714822,0.218633752351665,0,0,0,0,0
BAT,0,0,0,0,0,0.0109428027902651,0.0882946552860801,0.143445917847373,0,0,0.0259924281637504,0.158639926211202,0.00984315021065636,0,0.175519083772667,0,0,0,0,0
XLM,0,0,0,0.0500753521675095,0,0,0.0092354365247611,0,0.316998863926454,0.339336043903928,0,0,0.0309384448107625,0.118368326462614,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0369416567140402
CVIX.Index,0,0,0,0,0,0,0,0.0136458853499764,0,0,0,-0.0638325186166842,0,0.0068576245978298,0,0,0,0,0,0.0278654004411136
DXY.Curncy,0,0,0,0.00508149337198351,0.00279102357198776,-0.0181139064962398,0,0.0072618567036404,0,0,0.000313022856350191,0,0.00227214377019237,-0.00496603115485358,-0.00897861205421057,0.0824266574231471,-0.0181598201936808,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,-0.00400778854151376,0,0.000863216285579594,0,0,0,0,0,0,0,0,-0.0381662246771523
VIX.Index,0,0.0192891562905393,0,0,0,-0.238052575904825,0.0546726001161402,0.160512150513465,0,0,-0.0160893870031741,-0.0174718818576631,-0.0593026655789834,0.0322958336902951,0,0,0.235340481081489,0,0,0
