,BTC,XRP,ETH,LTC,XEM,DASH,ETC,XLM,XMR,ZEC,DOGE,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.40388371300231,0.119485458348249,0,0,-0.0524855876747794,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0.0775815986156393,-0.0259524813063929,0.146758669677126,-0.106977237747873,0.0161340920369832,0,0,0,0,0,0,0
LTC,0,-0.0370485973788488,0,0,-0.0876290270785266,0.24384262412237,0.177380865062959,0.00620959596631266,0.110959104279761,0,0.314696954536525,-0.00484674865858203,0,0,0.000598832256419909,0,0,0
XEM,0.0101046556326765,-0.0998679195407616,-0.193641511168422,-0.141464414208933,0,0,0.209830620089085,0.126564224813147,0.0563694974994973,0,0,-0.052454057767829,0.178062125152744,0,0,0,0,-0.390621456497393
DASH,0,-0.148876961713699,0,0,0.0521082660645691,0,0,0.0594633593812961,0,0.298764432665345,0,0.0152810468775599,0.0226285494898947,0,0,0,0,0
ETC,0,-0.032609505399688,0.405466158170471,0.135516169071287,0.0915587951771623,0,0,0.00288776677022655,0,0.175865129004634,0,0,0,0,0,0,0,0
XLM,0,0.386698886052175,1.73472347597681e-18,0.0639451764923821,0.00297877553568498,0,0.143234029331929,0,0,0,0.265761822518844,0.0753420206942433,0,0,0,0,0,0
XMR,0,-0.0403480795785377,0.293730233766738,0,0,0.0924279500238749,0,0.0550325016294706,0,0,0,-0.0149291602755723,0,0,0.0406010432172243,0,0,0
ZEC,0,0.00187227607299233,0,-0.0579728470421276,0.113950202935471,0.228362198060288,0,0,0,0,0.186058734062054,0.0227939926475308,0,0,0,0,0,0
DOGE,0,0.0643957403195897,0,0.213260941982114,0,0,0,0.185084033723757,0,0.0629770869910725,0,0,0.129612726474092,0,0,0,0,0
DGB,0,-0.0270370507109333,0,0,0.0340162390375877,0,0,0,0,0,0,0,0.146994986062083,0,0,0,0,0
NEO,-0.291507952283566,-0.0133708569561181,0,0,0,0.0739053702680074,0,0.0205709889477276,0,0.422675467723858,0.0122172046137714,0.0309651180421957,0,0,0,0,0,0
BV010082.Index,0.0132199346571206,-0.00656284155606008,0,-0.0125063198014321,0,-0.00251606598260046,-0.0458766843342194,0.00914518591328,0,0,0,0.00780484509510578,0,0,0,0,0,-0.110836859747209
CVIX.Index,0,0,-0.0463361614943878,0,0,0,0,0,0,0,0,0.0153160558204376,0,0,0,0,0,0
DXY.Curncy,0.00623737732217424,0.000818666870110765,0,0,0,-0.00385125176397701,0.0084712643777295,0,-0.00229223574417488,-0.00364887131292333,0,-0.00271851515592537,-0.00119195713942827,0.0501230513477014,0.0167750706939942,0,0,0.0186725791466864
SPX.Index,0,0.000468212547668818,0,0,0,0,0,0.000896021404103839,0,0,0,0.00294298342429251,-0.00155793814454332,0,0,0,0,-0.0236246932758573
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
