,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,ZEC,XLM,DOGE,DGB,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0.0540864342448185,0,0.0976802940514414,0,0,0,0.0123252440588894,0,0.0742579267612871,0,0,0,0,0
ETH,0,0,-0.0666743012963098,0,0.0738314221773026,0,0.122195023326796,0.0570338118152856,0.0380855107063131,-0.0318690278656186,0.0729662349816953,-8.67361737988404e-19,0,0.0277735657436973,0,0,0,0,0.115547685302096
XRP,0,0,0,0,-0.162499822272705,0,0.213653068650299,0.025879312792281,0,0.367091399798458,-0.0389152910596948,0,0.103663871920321,0.0643220055930782,0,0,0,0,0
XEM,0.285396296516143,0,0.1307235320155,0,-0.0724286809051492,0,0,0.0702136886417206,0,0,0.356179820219996,-0.0503700859389369,0,0.0808655840149545,0,0,0,0,0
ETC,0,0.178314775270297,-0.157356816132375,0.0733324868911043,0,0,0,0,0,0,0,0,0,0.242529430917722,0,0,0,0,0.0389429630147321
LTC,0,0,0,0,0,0,0,0,0,0,0.115118590588081,-0.00059775629276923,0,0.15521307444561,0,0,0,0,0
DASH,0,0.100010163807375,0,0,0,0.0593689236978535,0,0.174426482982317,0.190068538317521,0.0430350494196917,0,-0.0166294346430007,0,0,0,0,0,0,0
XMR,0,0.0406388657504012,0,0.0810481180568635,-0.0429743514316959,0.0430173692697182,0.26221453224874,0,0,0.0606512129597151,0,0,0,0,0,0,0,0,0
ZEC,0,0.183194465371262,0.0283682309812867,0,0,0,0,0.150501163566247,0,0,0.0994271047641839,0,0,0.0527087152295013,0,0,0,0,-0.0041664562916738
XLM,0,0,0.636951158401173,0,0.0182179225830692,0,0,0.22663771717703,0,0,0,0.00289023709507441,0,0,0,0,0,0,0
DOGE,0,0,0,0.227255311170258,0,0.285701140582838,0,0,0,0.095293752678811,0,0.00835506496267775,0,0.0979362518578763,0,0,0,0,0
DGB,0,0,0.156450831406573,-0.151614171609723,-0.0334230383040607,0,0,0.162312004464916,-0.203036434112207,0.229961959876776,0.36838010028671,0,0.170669260589362,0,0,0,0,0,-0.161925040687444
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0.0864015056835064,0,-0.031219415508991,0.222603627922772,0.0914235521608462,0,0.295699419129503,0.211463829962795,0.0405663030427103,0,0.0510395801934217,0,0,0,0,0,0,8.67361737988404e-19
BV010082.Index,0,0,0,-0.00625803342491914,0.00273781974296068,0,0,0,0,0.00745503285851784,0,0,0,0.0206192941035575,0,0,0,0,-0.0669038679329813
CVIX.Index,0,0,0,0.0211572789841588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.0116024294096375,0,-0.0104019907524103,0.000265062497654743,0,0,0,0,0.00231951184186305,0,-0.00666857582697578,0,0.000249875939058608,0,0,0,0,0
SPX.Index,0,0,0,-0.00306682352796296,0,0,0,0,0,0,0,0.00367269277549506,0,0,0,0,0,0,-0.0269869929699502
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
