,BTC,LTC,XRP,ETH,DASH,DOGE,XLM,XMR,DGB,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0.153656796895874,0,0,0,0,0,0.2179183171058,0.00134509676779448,-8.67361737988404e-19,0,0,0,0,0
LTC,0.283170529899496,0,0.0941988909523485,0.000957784799132731,0,0.117555021957586,0,0,0,0.014039774507923,0,0,0,0,-0.0348805945466293
XRP,0.461458996958558,0,0,0.08925745210665,0,0.268707670803639,0.0952564103072632,-0.0789254246097491,0,-8.67361737988404e-19,-0.080786419796593,-0.0890993284113069,0,0,-0.162699231031714
ETH,0,0,-0.0825185025460316,0,0,1.07239072242777,0.0565941081047968,-0.189793520665807,-0.0650659374112167,-0.160376478386141,0,0,0,0,-0.19424171038572
DASH,0,0.326311480255065,-0.0726984652284946,0,0,0.333611121024,0,0,0.0254207240336764,0.0134543363684634,0,0,0,0,-0.0397197224410056
DOGE,0,0.299666751396331,0.0991000558273932,0.0226870220129048,0,0,0,0,0,0.0121897622820611,0,0,0,0,0
XLM,0,0.23007705596433,0,0.0253500663155695,0,0,0,0.159397076964995,-0.0489875175249347,0.0580753513616596,0,0,0,0,0
XMR,0.54569118703877,0,0,-0.00624723550002073,0,0.079154709573427,0,0,0.00626829064075896,-0.0161015914153689,0,-0.103804348639135,0,0,0
DGB,0,0,0,0,0,0.581754905748695,0.323421495770607,0,0,0,0,0,0,0,0
XEM,0,0.186819297376858,0,-0.0265784071851172,0,0.837774748622216,0.484379339788144,0,0.0183644788259801,0,0.417644278581076,0,0,0,0.146002175863109
BV010082.Index,0,0,0,0,0,0,0,0,-0.00676739638243918,0,0,0,0,0,0
CVIX.Index,0,0,0,-0.0364670501430908,0,0,-0.0651196141599094,0,-0.00191582662684447,0,0,0,0,0,0.0778856261623328
DXY.Curncy,0,0,0,0.00325879524188641,-0.000427202068985689,0,-0.0054355158968743,0.0120813951978874,0,0.00890951721453487,0.0200683205871171,0.0200904964657289,0,0,0
SPX.Index,0,0,-0.00531090433513226,0,0,0,0,0,0,0,0.0150076914846159,0,0,0,-0.10049219797827
VIX.Index,0,8.67361737988404e-19,0,0,-0.0881654904535518,0,-0.0434620055622801,0,0,0,0,0,0,-3.45734419526947,0
