,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,NEO,ETC,ZEC,EOS,BAT,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0.073410726940661,0,0,0,0,0.0487095544219771,0.0555062350341129,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0.0257181189166566,0.0230389345716862,0.0300704619289226,0,0,0.0902101183826309,0.00862075845544425,0.168368201666764,0.0936352124631131,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0,0,-0.129652815519734,0,0,0,0,0,0,0,0,0,0
XRP,0,0.234770487997124,0,0,0,0,0,0.0178330216085064,3.46944695195361e-18,0,0,0,0.0325077608159245,0.0589015334338627,0.0675871313064639,0,0,0,0,0
LTC,0,0.141946830190509,0,0,0,0,0,0.00205342276361467,0,0,0.173250331551156,0,0.0767506412849626,0,0,0,0,0,0,0
DASH,0,0,0,0,0,0,0.0797018316043887,0.0699391091699926,0,0,0,0,0.0654962395443789,0.121662796191288,0.0676305674555256,0,0,0,0,0
XEM,0,0,0,0,0,0.104769797354156,0,0.0184554477094744,0,0.0366760863703371,0,0,0.122241277880562,0.171353522829037,0.120475360829782,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.056336136183176,0,0,0.205064433192133,0,0.465653695372271,0,0.0193978367936741,0,0,0,0,0,0
XMR,0,0.0181367592184242,0.0201607238840742,0.11355639857346,0,0.0598058410884669,0.0279686700807815,0.0895534508890097,0,0.00493882342076832,0,0,0.0477419384370527,0,0.260343392711676,0,0,0,0,0
NEO,0,0,0,0,0,0,0.226447036043501,0.208011247668886,0,0,0,0.0123452754622082,0.0555724646406864,0,0,0,0,0,0,0
ETC,0,0.294588527468042,0,0,0,0,0,0,0.0640068065779988,0,0,0,0.0117617470385757,0.0369975796031457,-5.42101086242752e-20,0,0,0,0,0
ZEC,0,0.198933621077702,0,0,0,0.0826152168660001,0,0.118626190958646,0.0518581946794398,0,0,0,0.0612344366901295,0,0.0853502450446263,0,0,0,0,0
EOS,0,0.0620869490265844,0,0,0,0,0,0.151760225155469,0,0.0966340535560164,0,0.103632361917026,0,0.0171553882025294,0.179768826153858,0,0,0,0,0
BAT,0,0.258818715805669,0,0,0,0,0.0833873394781129,0.0999670968211059,0,0,0,3.46944695195361e-18,0,0,0.189396382668243,0,0,0,0,0
XLM,0,0.0265786767427755,0,0.183782973753845,0,0,0.00723354499615498,0,0.349472160950281,0,0,0,0.0810308663211967,0.115972724048868,0,0,0,0,0,0
BV010082.Index,0,0,-0.00732999895533067,0,0.0279998215691405,0,0.00388953304087919,0,0.0085173206997574,-0.0228678726303515,0,0.0184984293200127,0,0.0189516406056531,-0.0159880853840721,0,0,0,0,-0.0174432391618836
CVIX.Index,0,0,0,0,0,0,0,0.0107464231283209,0,0,0,-0.0244898083993469,0.00779071111460085,0.0216834788868739,-0.0206480701723228,0,0,0,0,0.0442373373251187
DXY.Curncy,0,0,0,0.00591494577542711,0.0220008027644741,0,0,0.00808462056700521,0,-0.000398917904770998,-0.00798154512727819,0,0,0,-0.00839273441766478,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,-0.00496965153174848,0.000492275691065486,0,0,0,0,0,0,0,0,0,-0.0420712132487709
VIX.Index,0,0.233910068401003,-0.0185401643818997,0,0,-0.239534081555782,0.0690820376082469,0,0,-0.0673350562115083,0,0,0.0266810211504116,0.0382208555667539,-0.080362602531604,0,0,0,0,0
