,BTC,ETH,DASH,XRP,LTC,XMR,ETC,XEM,ZEC,DOGE,XLM,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.207644496740384,0,0.166102307990736,0.121047867183962,0,0.00173508116441838,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0.0746786061785595,0,0,0.121666238140655,0.217459750415173,0.00223321517967345,0.135480285493896,0,-0.031530645563009,0,0.0362179122811443,0,0,0,0,0
DASH,0.231389148646503,0.465138447326548,0,0,0,0.0883870823155283,0,0.0502086830066705,0,0,0.315286788342403,0,0,0,0,0,0,0.0131847179762142
XRP,0.0498919965545989,0.0930047196318538,0,0,0,0.0398555341933317,6.93889390390723e-18,0.0397247005255541,0,0.0868896937599346,0,0,0,0,0,0,0,0
LTC,0.464942939783458,0,0,0,0,0.0562753664794335,0.0601392780782719,0,0,0,0,0,0,0,0,0,0,0.0137206516371946
XMR,0.383860910985572,0.116529626737896,0.120839402452495,0,0.345451961959457,0,-0.0481218842805332,0,0,0,0.0357323230657514,0,-0.124505089641147,0,0,0,0,0
ETC,0.169489886264234,0.259537785850873,0.0910510728884,0,0,0,0,0,0,0,0.161525838318922,0.0631062683555092,0,0,0,0,0,0
XEM,0,0,0.312674930775885,0,0.0993716138036313,-0.138037633421168,0.0638603252930626,0,0.112696482732288,0,0,0.0771654534543577,-0.0378292525961046,0,-0.339207108826915,0,0,0.115284142745379
ZEC,0.0685281667261382,0,0.204135247462213,0,0.0435168476371447,0,0.180791922039177,0,0,0,0.017868437849464,0,0.0796667127825023,0,0,0,0,0
DOGE,0.140176778764781,0,0,0.0165228981033309,0,0,0.0564522832544771,0,0.162276334615342,0,0.0596780103871467,0,0.0173331677511189,0,0,0,0,1.73472347597681e-18
XLM,0,0,0,0,0.0484859356043797,0.0454551749805398,0.213509957328947,0,0,0,0,0.110283049273551,0.013651681406647,0,0,0,0,-0.0862060142053687
NEO,0.345448138476479,-0.226420741319832,-0.034100210837995,0,0,0,-0.120017757457799,0.026095327684231,0,0,0.194942500620471,0,0.211097545561957,0,0,0,0,-0.202735212621539
DGB,0.294770085106748,0.00457576020592851,0,0,0,0,0,0,0.105628403679524,0.250265194680251,-0.112518749001572,0.294616882292052,0,0,0,0,0,0.0487055125509646
BV010082.Index,0,0,0.0447005591301457,0,0,0.0212162156752888,-0.0714605763644768,0,0,0.145339406434308,-1.73472347597681e-18,0,-0.0176397968468478,0,0,0,0,-0.0148547217483239
CVIX.Index,0.0250401065360603,0.0669530833088752,0,0,0.074383640209704,0.0390887893680913,0,-0.0645381236012807,1.0842021724855e-19,0,0,0,0.0201739835899822,0,0,0,0,0.07759803639813
DXY.Curncy,0,0,0.0079404062640494,0,0.0244231890526395,-0.00132094886209183,0,-0.015891181448188,0,0,-0.00107246155947681,-0.0119765900618123,0,0.132934565921429,0.0333890510486283,0,0,-0.0145129788424781
SPX.Index,0,0,0.0038325680255412,0,0,0,-0.00202110792980576,0,0,0,0,0.00282487271707427,-0.00239262428914584,0.0165824810849081,0,0,0,-0.0500998132317352
VIX.Index,0,0,0,0,0,0,0,-0.0789615177954698,0,0,0,0,0,0,0,0,0,0
