,BTC,ETH,LTC,XRP,XMR,ETC,DASH,XEM,DOGE,XLM,ZEC,NEO,DGB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.267962082144758,0,0,0,-0.0555354067793798,0,0,0,0.00459157163327614,-8.67361737988404e-19,0,0,0,0,0,0.0199112692261168
ETH,0,0,-0.0631128362000884,0.294499360352578,0.0998209568713747,0,0,0,0,0.0591505663116319,-0.0102199265053742,0.107272933348197,0,-0.362157485912169,0,0,0,-0.0737735802022386
LTC,0.407650731505673,0.00554247366998222,0,0,0,0,0,0,0,0,0.00100948326221303,-0.0258829477869952,0,0,0,0,0,0
XRP,0,0.0286826628624467,0,0,0,0,0,0,0,0.0716467683787548,-0.02665342888099,0.0018803188244187,0.12921011307791,0,0,0,0,-0.0865725206482507
XMR,0,0,0,0,0,0,0.45281436169351,0.227008999131406,0,0,-0.0258703992345427,0,0,0,0,0,0,0
ETC,0,0,-0.319457901558324,0,0.12410942999884,0,0,0,0,-0.0376626928272101,0,-0.0376405706776752,0.355438214331119,0,0,0,0,0
DASH,0,0,0,0,0.0981515944657093,0.0922729973187659,0,0.0264048884136019,0,0.0582232165239856,-0.0215606671220092,-0.0555663612762029,-0.0627873718788113,0,0,0,0,0
XEM,0,0,0,0,0,0.0878407586055964,0,0,0,0,0.00934361765259598,-0.116380666965684,0,0,0,0,0,0
DOGE,0,-0.00291352049111431,0,0,-0.0738637464677113,0,0,0.0488188632533397,0,-0.0134903285671115,-0.00956688369959106,0,0,0,0.0226185470482959,0,0,0
XLM,-0.267555586684607,0.272778364553341,0,0,0,0.210786619390868,0,0,0,0,-0.0406531045947068,0.0462715083891762,0.172139213659347,0,0,0,0,-0.0514810967932797
ZEC,0,0,0,-0.979612722221141,0,0,0,-0.284082426676435,0,0,0,0,0,0,-0.591871262841674,0,0,0
NEO,0,0.293760509062701,-0.387198409001517,0,-0.0159612284643648,-0.164573723081704,0.11087083267346,0,0.378563194469675,-0.0997984906725314,-0.0431525687814184,0,0,0,0,0,0,0
DGB,0,0,0,0,0.112054598058383,0.0665865005903738,0,0,0,-0.0280366735586817,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0187541269216794
CVIX.Index,0,0,0,0,0.0362655398118537,5.42101086242752e-20,0,0,0,-0.0320431951066311,-0.0068652050676054,0,0,0,0,0,0,0.0902630257810211
DXY.Curncy,0,-2.71050543121376e-20,0,0,0,0.00786604146039927,0,0.0146299676872821,0,-0.0110007357321752,-0.000201112002923638,0.00813130438614184,0.00239793104829869,0,0,0,0,-0.0165340487844725
SPX.Index,0,0.00807294745136227,0,0,0.00218818419486109,0,0.00498184803926538,0,0,-0.00232430138347573,0.000699820357036116,0.00415554862140668,0,0,0,0,0,-0.0434313262715382
VIX.Index,0,-0.242178677067397,0,0,0.0641826048539266,0.0778436490562387,0,0.0895559631974243,0,-0.11156563861893,-0.0172315512443102,0.0648759476626004,0.0111122949798261,0,0.288209385643935,0,-1.47016317612397,0
