,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,XMR,TRX,MIOTA,ETC,DASH,NEO,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.358058106860565,0,0,0,0,0.110364256503423,0.0290337992187672,-8.67361737988404e-19,0.0204836953876483,0,-6.93889390390723e-18,0,0,0,0,0,0
ETH,0,0,0,0.284762014178275,0.145582949330442,0,0,0,0,0,0.12456589887816,0.0616510839472754,0,0.0882175914889476,0,0,0,0,0,0
XRP,0,0,0,0,0.194954278744048,0,0,0,0,0,0.281504572222019,0.0366635304220404,0,0.0219650493821394,0,0,0,0,0,0
BCH,0,0,0,0,0.291774908379403,0,0,0,0.076564150839129,0.326000200862994,0.015279250828754,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.342604001998143,0,0,0,0.0794688527763285,0.0189724297466183,0.0664246895897965,0.28844963000043,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.0528475975932543,0,0,0.248219759795062,0.181212084264805,0,0.175806284146975,0,0,0.0681102237590823,0,0,0,0,0,0
LTC,0,0,0,0.478713751604656,0.061406886488428,0,0,0,0.0240782954276375,0,0.0666785810345414,0.0637448525891989,0,0,0,0,0,0,0,0
ADA,0,0,0,0.112308914413524,0.0891801940189487,0.25579618909976,0,0,0.108458808181208,0.159932888864867,0,0.0537539636352398,0,0.071892013993476,0,0,0,0,0,0
XMR,0,0,0,0.255242886575513,0.147964333200037,0.0193087567394148,0,0.0438432311649007,0,0,3.46944695195361e-18,0,0,0.150322521733881,0,0,0,0,0,0
TRX,0,0,0,0,0.446899760436564,0,0,0.0566742479965647,0,0,0.154527955005668,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0.255467521509215,0,0.384187503999255,0,0,0,0,0.098271868933079,0,0,0,0.248932043350448,0,0,0,0,0,0
ETC,0,0,0,0,0.140446615064433,0,0,0,0,0,0.541798038351444,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0,0.064318938578706,0,0,0,0,0.0184243906990551,0.119677305360774,0.0556903817893982,0,0.0918364464396847,0,0,0,0,0,0
NEO,0,0,0,0,0.176703780834969,0,0,0.0285390479835794,1.0842021724855e-19,0.29624291812302,0.194619899078215,0,0,0,0,0,0,0,0,0
BNB,0,0.0982889221233097,0,0,0.199501678922405,0,0,0.0558110167111797,0,0,0,0.0821138487820611,0,0.0293893297858551,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0260929929669698
CVIX.Index,0,0,0,0,0,0,0,0.0126982822910091,0.0501751513810423,0.0585822281496217,0,0,-0.201034159699982,0.0343212558355408,0,-0.239687131991615,0,0,0,0.0283547503511589
DXY.Curncy,0,-0.0134457061385292,0,0,0,0,0,0,0,0,0,0.0080531852202031,0,0,0,0,0.0563567405332628,0,0,-0.00900922535328326
SPX.Index,0,0,0,0,0,0,0,0,0,0,-0.00440091890113067,0,0,0,0,0,0,0,0,-0.0577662203161761
VIX.Index,0.143445187747443,0,0,0,-0.122976304027125,-0.136092612883145,0,0,0,0.0257089899300887,0,0,0,1.73472347597681e-18,0,0,0.25250905060954,0,-5.1602329319298,0
