,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,NEO,DASH,XMR,BNB,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0896520219207632,0,0,0,0.120092344824766,0.0702321605812659,0,0.0807441811447735,0,0,0.0389653127643625,0,0,0,0,0,0
ETH,0,0,0,0.0842168160930736,0.00851789287015866,0,0,0.170624485813827,0.165196007071065,0.131547923103618,0,0,0,0,0,0,0,0,0,0
XRP,0,0.271804463813301,0,0.000964295767046449,8.67361737988404e-19,0.03789721414284,0.0716402500074845,0.193198910780284,8.67361737988404e-19,0.0636964470126936,0.0458940449585744,0,0,0,0,0,0,0,0,0
BCH,0,0.0789302237628693,-1.0842021724855e-19,0,0.0634659416462862,0,0,0.115458222341778,0.198980173676985,0,0.233242041581914,0,0,0,0.0135619585187624,0,0,0,0,0
EOS,0,0,0,0.165963823600567,0,0,0,0.567450249000654,0,0.129209534706027,0,0,0,0.0590242790646769,0,0,0,0,0,-0.0277941543253014
LTC,0,0,0.0475737015560305,0.258845847707581,0.0314793024423905,0,0.137097257717703,0.045522132116904,0.0250671198886531,0,0,0,0,0,0.00974297365773171,0,0,0,0,0
XLM,0,0,0,0.0600100455935569,0.187529504592201,0,0,0.272108516463051,0.0427089466851323,0.0856988029759078,0,0,0,0,0,0,0,0,0,0
ADA,0,0.00762673837381392,0,0.0223923335483261,0.22363136004682,0,0,0,0.114895687692649,0.158250196627656,0,0,0,0,0.0213695868544095,0,0,0,0,0
MIOTA,0,0,0,0,0,0,0.275719440429705,0.347332733611518,0,0,0.0762431828393669,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.0812368577867162,0.250370771264133,0,0.431484437214444,0,0,0,0.0144626373621506,0,0,0,0.0203418240291991,0,0,0,0,0
NEO,0,0,0.0501380828634771,0.160449928201642,0,0,0.136860259851898,0.203904424513626,0.0894940362419324,0.0456589961398937,0,0,0,0,0,0,0,0,0,0
DASH,0,0.133560785476194,0.0212183358933951,0.140756566361899,0,0,0,0,0.11386794043262,0,0.157125377728744,0,0,0,0,0,0,0,0,0
XMR,0,0,0.275991575435228,0.12283822761208,0,0,0,0.191568941423559,0.00907934390966703,0.00594050493545463,0,0,0,0,0,0,0,0,0,0
BNB,0,0.0869612845782683,0,0,0,0,0,0.179309134232583,0.160535564552729,0,0.0247338788934868,0,0,0,0.0445661010266196,0,0,0,0,0
ETC,0,0,0.173979455109975,0.201180212588074,0.00429380954248952,0,0.0933657030653296,0.128981073112938,0,0.0610354051287927,-6.93889390390723e-18,0,0,0.0653780249983695,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0713487397282074
CVIX.Index,0,0.167392601610153,0.0151492205321084,0,0,0,-0.0242675327511445,-0.158833152347893,0.081855884521351,0,0.0695342791142358,-0.198432362537403,0,0.0172022292001674,0,0,0,0,0,0.0331521775139458
DXY.Curncy,0,0,0,0,0.0121263919628941,0,1.0842021724855e-19,0.00250578980301739,0,-0.00172768229848748,-0.00641584941195301,0,0,0,0.00621428336778025,0,0.0311248411931555,0,0,0.0114170091287453
SPX.Index,0,0,0,0,-0.00314921876819728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0518279768553812
VIX.Index,0,0,0,-0.0716043443542403,-0.334074059936294,0,-0.338514945487458,0,0.146053393656055,0.193005089638786,0.454515843267406,0,0,0,0,-0.882316216420418,0,0,0,0
