,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,TRX,NEO,XMR,DASH,ETC,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.183631778426681,0.000377427003154531,0,0,0,0.0938588146389815,0,0.0151202073832456,0.121621970290028,0,0,0,0,0,0,0,0
ETH,0,0,0,0.000273545434354972,0.151508161102801,0,0,0,0.204126090671811,0.166134086675131,0,0,0,0.0555306086128294,0.0276691989075542,0,0,0,0,0
XRP,0,0,0,0.165204252791816,0.151974562158293,0,0,0,0.147956292084271,0.0706832487634512,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.394423485360529,0,0,0.0918996100558732,0.116345339164826,0.070874011767035,0.0183146620569994,0,0,0.0377722627018357,0,0,0,0,0,0
EOS,0,0,0,0.329372692535462,0,0,0,0.189896308565584,0.19864570825608,0.0615398317599898,3.46944695195361e-18,-6.93889390390723e-18,0,0,0,0,0,0,0,0
XLM,0,0,0,0,0.0963732238036828,0,0,0.0722688669583626,0.3547013350309,0.0169804229091055,0,0,0,0,0.0491864865530703,0,0,0,0,0
LTC,0,0,0,0.387963785686457,0.0505364007105681,0,0,0,0.100127066176011,0.0102485699446207,0,0.0133944969385202,0,0.0292542529791214,0,0,0,0,0,0
ADA,0,0,0,0.201812576420847,0.0732438547037634,0.118475838445907,0,0,0.00265486275836213,0.112061011639059,0,0.00998903924527163,0,0.0219656951036948,0.233814642290691,0,0,0,0,0
MIOTA,0,0,0,0,0.238705248455613,0,0,0.121892372704263,0,0,0.46672335240216,0,0,0,0,0,0,0,0,0
TRX,0,0.0738006907915933,0,0.202014748177093,0.212731747827161,0.178450436586726,0,0,0.0133672107102427,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.131760623188132,0,0,0,0.217509745038196,0,0,0.0903256200323227,0,0,0.354922224196722,0,0,0,0,0
XMR,0,0,0,0.213564160209621,0.160863351211518,0,0,0.0356205198158694,0.0124975035954244,0,0.127690440910035,0,0,0,0,0,0,0,0,0
DASH,0,0,0,0.00305604313648555,0.0896667497878496,0,0,0,0.0283478547842987,0,0,0,0,0.0817125896264213,0.224027174333748,0,0,0,0,0
ETC,0,0.188178292744937,0,0.253750906489466,0.0743850681185665,0,0,0,0.115425467872944,0,0,0,0,0,0.0325339988261725,0,0,0,0,0
XEM,0,0,0,0.0243162722137179,0.189712916952684,0.0398344817447389,0,0.102414971786121,0,0.0295771627760984,0.291600068363,0,0,0.0644458268185275,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0642841851869966
CVIX.Index,0,0.0670163000721066,0,0,-0.0245722229186162,0,0,0,0.0715015815689199,0,0,0,-0.157217296640945,-0.0381430478863267,0,0,0,0,0,0.0150925113845786
DXY.Curncy,0,0,0,0,0.00902432809075461,0,0,0,-0.0103023305187691,0.0015181227322734,0,0,-0.0134385748567845,0,0,0,0.0287489263467608,0,0,0
SPX.Index,0,0,0,0.00672411949156104,0,0,0,0,-0.00402924873507929,0,0,0,0,0,0,0,0,0,0,-0.0559339481787266
VIX.Index,0,0,0,-0.099384170679954,-0.35262246037981,-0.111814798067096,0,0,0,0.109813374331318,0.26496300131592,0,0,0.0296528520208372,0,-0.728291720096257,0.14556143986464,0,-2.0833368784144,0
