,BTC,ETH,XRP,BCH,BSV,LTC,EOS,BNB,INNBCL,XTZ,TAGZ5,LEO,XMR,XLM,LINK,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0399257116912218,0.00998580488599392,0.104778388653209,0.0605271466728038,0,-0.00196564953078855,0.0911570722293175,0,0,0,0,0.0165595370758807,0,0,0,0,0
ETH,0,0,0,0.242258087772594,0,0.289478713761022,0,0,0.00270916938731969,0.211304402390561,0,0,0,0,0,0,0,0,0,0
XRP,0,0.435564192218958,0,0.105463451487917,0,0.0600275125877471,0.0453165775386258,0,-0.000629814109075476,0.0339527969721359,0.0045827714881166,0,0,0.0367849469591415,0,0,0,0,0,0
BCH,0,0,0,0,0.145677555872548,0,0.291644054910329,0.0879979624995307,0,0,0,0,0.0389512296819918,0,0,0,0,0,0,0
BSV,0,0,0,0.640267440020759,0,0,0.265784468556397,0.0154059381674079,-0.00272027307649567,0,0,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0.332390800028097,0.0981924074966978,0,0.016222084794548,0,-0.00135159426596776,0.0857647706953568,0,0,0,0,0.0437022911592474,0,0,0,0,0
EOS,0,0.0838279418519327,0,0.243058529639508,0.170968152533698,0.159342066551871,0,0.0317123597260831,0,0.00600339898300463,0,0,0.0560528674726058,0,0,0,0,0,0,0
BNB,0,0,0,0.252447569403593,0,0,0.0625713761350516,0,-0.00115133718270793,0.295095973916633,0,0,0,0,0,0,0,0,0,0
INNBCL,0,15.308731548606,0,0,-2.97247198331606,-7.6189957463864,0,0,0,0,0,0,-9.26714317677887,0,1.38777878078145e-17,-3.45801723016689,-3.63928555184453,0,0,-3.10093487313531
XTZ,0,0.239088391467812,0,0,0.0834260295754716,0,0,0.201094275859753,-0.000764260670387816,0,0,0,0,0,0.372667574682888,0,0,0,0,0
TAGZ5,0,0.211913266345221,0,0.185667953637924,0,0,0,0,-0.00258938634512946,0.00374807663866933,0,0,0,0,0,0,0,0,0,0
LEO,0,0,0,0,0,-0.119653535063579,0,0,0.0010477663698685,0.031659473275695,-0.0605182039199617,0,0,0,0.0623284927144239,0,0,0,0,-0.00304648065917087
XMR,0,0.111252600892423,0,0.00275444935917953,0.0331688717936765,0,0.297850308366511,0,-0.000363845754793665,0.200410271141125,0,0,0,0,0,0,0,0,0,0
XLM,0,0.094047055449699,0,0.121197291933715,0,0,0.189307518160762,0.0320261086486981,0.00286561729822411,0.172755945733785,0,0,0,0,0,0,0,0,0,0
LINK,0,0,0,0.0285806427266456,0.031060641314165,0.20035610963446,0,0,-0.00526161897686033,0.411430717536505,0,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0.00365014209732269,0,0,0,0,0,0,0,-0.105133892370125,0,0,-0.126620345646237
CVIX.Index,0,0,0,0,0.0897245709872114,0,0,0,0,0,-0.211009437734966,0,0,0,0.0648164329387338,0,0,0,-0.31563502434324,0.132242156695862
DXY.Curncy,0,0,0,0,0,0,0,0,5.80889164997333e-06,-0.00121665886466682,0,0,0,0,0,0.0203105524523926,-0.0145218698316803,0,0,-0.00806822547809294
SPX.Index,0,0,0,0,0,0,0,0,-0.00068385575289315,0,0,0,0,0,0,0,-0.0230842586443406,0,0,-0.147248750494794
VIX.Index,0,0,0,-0.0687417869360397,0,0,0,0,-0.00184444863209387,0,0.135765841669325,0,0,0,0,0,0.0327333749470281,0,-2.77766979404587,0
