,BTC,ETH,XRP,BCH,ADA,LTC,XLM,NEO,EOS,XEM,MIOTA,DASH,XMR,TRX,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0479180384591607,0.110034152874083,0.0789900776963627,0,0,0.0185620018301426,0,0,0,0,0.193031272835619,0,0,0,0,0
ETH,0,0,0,0,0,0.130642642196447,0,0.12452709992371,0,0.107630192870829,0,0,0,0.0469768779704353,0.143620301185361,0,0,0,0,0
XRP,0,0,0,0,0,0,0.103762202691645,0,0.0537906596151134,0.176763480266707,0,0,0,0.125475488134773,0.166627987567394,0,0,0,0,0
BCH,0,0,0,0,0,0,0,0.139037959898869,0.115674385290061,0,0,0.116865621966349,0.348317953910116,1.0842021724855e-19,-2.77555756156289e-17,0,0,0,0,0
ADA,0,0,0.0610684153517394,0,0,0,0.161702936982922,0,0.0814291488477868,0.177154010462446,0.0410063547705014,0,0,0.0359853169093683,0,0,0,0,0,0
LTC,0.207788781858316,0,0,0,0,0,0,0,0.06479237863923,0,0.0593323949864595,0,0,0.00502340340926387,0.21888111652764,0,0,0,0,0
XLM,0,0,0.115049643577241,0,0.303824000384738,0,0,0.102448655657987,0,0.0959953231757551,0.0756992301541514,0,0,0,0.0113536524193165,0,0,0,0,0
NEO,0,0.0631193855986992,0,0.114601060676998,0.0162635511647299,0,0.0828137323909689,0,0,0.16081046994748,0,0,0.148094996516969,0,0.184860908623146,0,0,0,0,0
EOS,0,0,0.0161909997874594,0.0264503701890305,0,0.106241126284751,0,0,0,0.142554542733202,0,0,0,0.110819162069984,0.207048239836017,0,0,0,0,0
XEM,0,0,0.0970882675722926,0.0530797684171848,0.132740452851537,0.0642455206532614,0.221306941624169,0.101963721018965,0,0,0.0265369152018807,0,0,0.0235916081173754,0,0,0,0,0,0
MIOTA,0,0,0,0,0,0.272112314609151,0,0,0,0.222184813188851,0,0,0,-0.0485778376359335,0.396047263034899,0,0,0,0,0
DASH,0,0,0,0.0420132047863431,0,0,0,0,0.121479127442553,0.000504845275650896,0.0684151422424462,0,0,0,0.231930586467209,0,0,0,0,0
XMR,0,0,0,0.16146837634827,0,0,0.00190623073300696,0.163889411976656,0,0,0,0.277843121945863,0,0.0341107664503805,0.178617187201686,0,0,0,0,0
TRX,0,0,0.130233815168509,0.0201232963605951,0,0,0,0,0.200151885380881,0.047307676470053,0,0.415508253002022,0,0,0,0,0,0,0,0
ETC,0,0,0.0566468143434611,0.266530608653842,0,0,0,0.079411971558991,0,0.0499990958279362,0,0.0548231913778696,0.0691543245318726,0.0133701552887119,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0327151759999842
CVIX.Index,0,0,0.0111916222475052,-0.0291951072322914,0.00905715957739195,-0.00214809068112456,0,0.00880083840374388,0,0.0178678215516543,0,0,0,-0.025905983302499,0,0,0,0,0,0.0370255902065538
DXY.Curncy,0,0,0,-0.00220852972972873,-0.00815823876271454,0.00409557205130893,0,0,0,0,0,0,0,0.0025325918658687,0,0,0,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0544651247944577
VIX.Index,0,0,-0.0343355953917451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
