,BTC,ETH,XRP,XEM,ETC,LTC,DASH,XMR,DGB,XLM,ZEC,DOGE,BAT,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0305353623993087,0,0.0458353093080892,0,0.121104436317581,0.0186399544107961,0,0,0,0,0.0468887124422718,0,0,0,0,0
ETH,0,0,-0.0617217581216953,0,0.0400055073166742,0,0,0.0322572351180734,0,-0.0196395047132503,0,0.0734186650247435,0,0.0494860257485172,0,0,0,0,0
XRP,0,0,0,0,-0.0469893222008087,0,0,0,0,0.413457257566955,0,0,0,0,0,0,0,0,0
XEM,0.302309836424306,0,0.119331278210084,0,0,0,0,0.06163550641064,-0.0510094116584768,3.46944695195361e-18,0,0.316241498308351,0,0.0270720297182453,0,0,0,0,0
ETC,0,0.260121213634922,-0.18530640459058,0.0736135452913795,0,0,0,0,-0.0366905685972213,0,0,0,0,0.237730428487082,0,0,0,0,0.0529172493136022
LTC,0,0,0,0,0,0,0,0,0,0,0,0.118955074501552,0,0.153467333211034,0,0,0,0,0
DASH,0,0.0630578454512447,0.0241995553946621,0,0.0483866085981028,0,0,0.249976146323868,-0.0235777900298656,0.0471944161523469,0.164191779197128,0,0,0,0,0,0,0,0
XMR,0,0.0591035186921452,0,0.075516741983299,-0.0399142750768013,0.0619518274836386,0.238473008362147,0,-0.00554600939019122,0.0569472863082119,0,0,0,0,0,0,0,0,0
DGB,0,0,0.0795067947123386,0,0,0,0,0.272291816963645,0,0.179117615046171,0,0,0,0,0,0,0,0,0
XLM,0,0,0.605644016269163,0,0,0,0,0.220608335395087,0.0177541267423392,0,0,0.0606629093425913,0,0.0406302710871192,0,0,0,0,0
ZEC,0,0.291502844440633,0.0429171815457155,0.0818544268434371,0,0,0,0.0707983373577551,0,0.0270114787093434,0,0.0529408311222298,0,0.0334957614925107,0,0,0,0,-0.0924893297930572
DOGE,0,0.0357444832114374,0,0.249240132745843,0,0.319587900145141,0,0,0.0672187367802465,0.0253255013034803,0.210155232999688,0,0,0.0839791796405646,0,0,0,0,0
BAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEO,0,0,0,0,0.102559445304723,0,0.175589216161289,0.226739202050814,0.045181167953946,0,0.149956555647046,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.00298581926855185,0,0,0,0,0.00377743229126315,0,0,0,0.020136432658343,0,0,0,0,-0.0564504371042612
CVIX.Index,0,0,0,0.0209230840836684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.00900494739690165,0.00195737594066802,-0.0119136639919801,0.00472330903241141,0,0,-0.00101388105314599,-0.00626150275512166,0.00118732915299009,0,0,0,0,0,0,0,0,0.00208000412194323
SPX.Index,0,0,0,-0.00291821379846689,0,0,0,0,0.00407379120282295,0.000152960821291084,0,0,0,0,0,0,0,0,-0.0288283010501026
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
