,BTC,ETH,XRP,BCH,EOS,LTC,XLM,ADA,MIOTA,TRX,XMR,NEO,DASH,BNB,ETC,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.217180028975379,0,0,0,0,0.0745217634467188,0.0548547979127606,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0.0561018747873453,0.0198489819588464,0,0,0.154977594144528,0.188472953309229,0.146474358728653,0,0,0,0.00784691523586177,0.0205820740446399,0,0,0,0,0
XRP,0,0.0734751309701695,0,0.125132997830381,0.0201335286847777,0,0.0539360654544833,0.196672335945297,0.0544831170027357,0.0896878658149207,0,0,0,0,0,0,0,0,0,0
BCH,0,0,0,0,0.27230123289847,0,0,0.0133744352270155,0.20615325373851,0.0416130757498192,0,0.0671825534371769,0,0,0.0999522843713812,0,0,0,0,0
EOS,0,0,0,0.296195391444024,0,0,0,0.393479234384692,0,0.125507607712687,0,0,0,0.113527317497598,0,0,0,0,0,0
LTC,0,0,0,0.387129802930394,0.0785610501932282,0,0,0,0.0143935222380477,0.0061359271072478,0,0,0,0,0,0,0,0,0,0
XLM,0,0,0,0.109186702622475,0.183192006178986,0,0,0.161362003955299,0.0585493629808764,0.0856040074156114,0,0,0,0,0,0,0,0,0,0
ADA,0,0,0,0.262006388168461,0.118798714915492,0,0,0,0.0924924234653291,0.11790727871232,0,0,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0,0.05657274101609,0,0.351805841807675,0.294321070588243,0,0,0,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.114386183526843,0.252312530492403,0,0.210061911544176,0,0,0,0.0930746614868519,0,0,0,0,0,0,0,0,0
XMR,0,0,0,0.0856963426898309,0.0991917884797976,0,0,0.0780293685379132,0.0969968308189718,0.145596692244576,0,0,0.139798998470547,0,0,0,0,0,0,0
NEO,0,0.032968692157686,0,0.079678428458817,0.134757509651657,0,0.200052079636483,0.0723417732660741,0.0804641820751906,0.072849254805285,0,0,0.103631375493027,0,0,0,0,0,0,0
DASH,0,0,0,0.315177412752965,0,0,0.0902809715300781,0,0.0035524136050433,0,0,0.0738451554877762,0,0,0,0,0,0,0,0
BNB,0,0.0523924896602564,0,0,0.0233713248024829,0,0,0.218212744135081,0.149610924375909,0,0,0,0,0,0.0435591279169661,0,0,0,0,0
ETC,0,0,0,0.205734825289661,0,0,0,0.216549571646321,0.0476650472850834,0.100189447558969,0,0.00728729987910193,0,0.03875698302807,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0.00364166079176549,0,0,0,0,-0.0211842662486756,0,0,0,0,0,-0.107747072627859
CVIX.Index,0,0.0232999787724687,0.166569079528084,0.0201283444576795,0,0,-0.10695427397941,-0.134384669925018,0.0468346041572457,0,0,0.0800753207382548,-0.103116592083686,0,0,0,0,0,0,0.0216365273798834
DXY.Curncy,0,-0.0110406950357817,0,0.00823024741535233,0.0117703194188183,0,0,0.00404746563789223,0,0,0,-0.00703260909836837,-0.00954206867319934,0,0.0105732355653535,-0.0328353233538956,0.0338902617753192,0,0,0
SPX.Index,0,0,0,0.00270041840422725,0,0,0,0,-0.00851536439568576,0,0,0,0,0,0,0,0,0,0,-0.0557608750935121
VIX.Index,0,0,0,-0.0614731107602113,-0.159976212480308,0,-0.212927959003716,0,0,0.204392565890937,0,0.109906972857893,0,-0.0467650661520826,0.00659943267767869,-0.995974843072802,0,0,-1.45430991335627,0
