,BTC,ETH,XRP,XEM,LTC,ETC,DASH,XLM,XMR,DOGE,ZEC,DGB,NEO,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XRP,0,0,0,0,0,0,0,0.414925436753762,0,0,0,0,0,0,0,0,0,0
XEM,0,-0.128900774544959,-0.0662775375696008,0,0,0,0,0.0391897233789409,0.45391420810381,0.0280772053987117,0,0,0.0999012772708853,0,0,0,0,-0.122803153812011
LTC,0,0,0,0,0,0,0,0,0,0,0,-0.0582797973993347,0,0,0,0,0,0
ETC,-0.126101490001986,0.227994715249294,-0.0489554909311046,0.0709335441103735,0.14531039263244,0,0,0.0122305442089154,0,0,0.215935924904294,-0.0299536120758686,0,0,0,0,0,0.104199719971503
DASH,0,0,-0.132204061423093,0.0813419895969434,0,0,0,0.0563668766601435,0.0815930953893901,0,0.263360147158841,0.016554869047315,0,0,0,0,0,0
XLM,0,0,0.385538714861985,0,0,0.0739484478960377,0,0,0,0.243486061987008,0,0.0679754031262891,0,0,0,0,0,0
XMR,0,0,-0.0489223521005577,0.0203133719174402,0,0,0.125920967570303,0.064790016926452,0,0,0,-0.0173870972715912,0.110401463702515,0,0,0,0,0
DOGE,0,0.0686991723599019,0.0493794324014671,0,0.210750045090975,0,0,0.191979995455458,0.102077165858503,0,0.281667218342888,0,0.118426639731625,0,0,0,0,0.38436055539454
ZEC,0,0,0.0364796802688699,0.0474190513135375,-0.08772615540636,0,0.253758636769108,-0.0382149328538489,0,0.148135529583218,0,0,0.165848074810233,0,0,0,0,-0.0156028197898
DGB,0,0,0,0,-0.090095286032744,0,0,0.0641986066070086,0,0,0,0,0.163939844559307,0,0,0,0,0
NEO,0,0,0,0,0,0,0,0.00759494249141271,0,0,0.251030619527489,0.0198822293416006,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0.00649584029389784,0,0,0,0.00850171486074564,0,0,0,0,0,-0.0688983009453599
CVIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DXY.Curncy,0,0.00484156286608573,0,-0.0127514260033294,0,0.0117069640758863,-0.00148244635856642,0.00486849195023217,0,-0.00385234654900436,-0.0106125207529934,-0.00329451405752135,-0.00223355640720544,0,-0.00297506521992264,0,0,0.00681554675714111
SPX.Index,0,0,0.000426599919094523,-0.00247269702771829,0,0,0,0.000631576067420193,0,0,0,0.00411045927502081,0,0,0,0,0,-0.0264503450593676
VIX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
