,BTC,ETH,BCH,XRP,LTC,DASH,XEM,MIOTA,XMR,ETC,NEO,ZEC,BAT,EOS,XLM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.119421001842579,0,0.0631430839416236,0.145789153908219,0.0117926481590768,0,0.0163647591608143,0,0.0603167211825178,0,0,0,0,0,0,0
ETH,0,0,0.0390810980017409,0,0.0941740977507304,0,0.0414943256195284,0.150406895874961,0,0,0.0128822455494588,0.0671507319866005,0.0768902192281259,0,0.0944963832420102,0,0,0,0,0
BCH,-0.162309137451441,0,0,0,0.173939352799835,0,0.517497195762037,0,0,0.203989216195961,-0.100336983409625,0,0,0.129186514089747,-0.180084596485402,0,0,0,0,0
XRP,0,0.0759538837743241,0.0191525279689478,0,0,0,0.00713186153057678,0.0597738420043818,0,0,0.0126162461986744,0,0.0475854180019792,0,0.128722713392427,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0.0352372544264503,0,0.509128379600172,0,0,0,0,0.112641608808298,0,0,0,0,0
DASH,0,0,0.0222771421139178,0,0,0,0.0491979011801383,0.0454730872530988,0,0,0,0.159873951713984,0.131202009246836,0,4.33680868994202e-19,0,0,0,0,0
XEM,0,0,0,0,0,0,0,0.117364286157789,0,0,0.0100678884582791,0.0859718868035487,0.120950942628606,0.0350847119817787,0,0,0,0,0,0
MIOTA,0,0.152701372374254,0,0,0,0,0.0130811343929301,0,0,0,0.0071121908221818,0.257383191777552,0.0446415850655123,0.400967832439749,0,0,0,0,0,0
XMR,0,0,0.0258399547990312,0,0,0,0,0.0609814408267519,0,0,0.0180873726954358,0.125666852623549,0,0.13137605517152,0.273645787711386,0,0,0,0,0
ETC,0,0,0,0,0.442696533588866,0,0.00293221041839831,0.0607353403993853,0,0,0,0.0440997591705239,0.0450503828360615,0,1.73472347597681e-18,0,0,0,0,0
NEO,0,0,0,0,0,0,0.2644802980353,0.0784047762275265,0,2.16840434497101e-19,0,0,0,0.377279554537515,0.0343751041130915,0,0,0,0,-0.00382739157416174
ZEC,0,0.139918340444731,0.0251259657771777,0,0,0,0.0645450360303964,0.0956190073941731,0.0193602754029551,0,0,0,0.00379216775659188,0.0958451103201536,0.21244323429767,0,0,0,0,0
BAT,0,0,0,0,0,0.0493084493030548,0,0,0,0,0.207086549574842,0.128065839169497,0,0.1555631142624,0.2226145426532,0,0,0,0,0
EOS,0,0,0,0,0.0476860869811106,0,0,0.0585692854215261,0,0,0.0530175295971018,0.0734682589185048,0.109343332614113,0,0.214503276418255,0,0,0,0,0
XLM,0,0,0,0.050150217478803,0,0,0.00947595858878816,0,0.317676015377254,0.339312126106749,0,0,0.122067298846164,0.0235339845619117,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0369416567140402
CVIX.Index,0,0,0,0,0,0,0,0.0180938537288792,0,0,0,-0.0599894573276132,0.00917662223769385,0,0,0,0,0,0,0.0343710637931193
DXY.Curncy,0,0,0.000983786132508927,0,0.00550962403384026,-0.0128427591786677,-0.00290510227563762,0,0,0,0.0066674561122148,0,-0.00953479763832592,0,0,0.0542092146206132,0,0,0,1.0842021724855e-19
SPX.Index,0,0,0,0,0,0,0,0,-0.0040078668136831,0,0.000863087926593895,0,0,0,0,0,0,0,0,-0.0381664788256598
VIX.Index,0,0.00423388829860084,0,0,0,-0.209768895391937,0.0359981085977263,0.153976418035346,0,0,-0.0111688643835322,0,0.0125559722047406,-0.0658216697819369,0,0,0,0,0,0
