,BTC,ETH,BCH,XRP,LTC,XEM,DASH,XMR,MIOTA,ETC,NEO,ZEC,XLM,EOS,BAT,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0,0.0720959898309133,0,0.0315499556139497,0.0156906770885362,0.0698324788473648,0,0.0197140481330062,0,0,0,0.0906793698739755,0,0,0,0,0
ETH,0,0,0,0.0691568868203065,0,0.00546567245733012,0,0.0266401831438401,0.0808305639794461,0.0433602765531128,0,0.101581560240994,0,0.0805839433843278,0.121829644179489,0,0,0,0,0
BCH,0,0,0,0,0,0.160266328932653,0.0889673279664536,0,0,0,-0.109757605587672,0,0,0,0,0,0,0,0,0
XRP,0,0.210075217283347,0,0,0,0.0295682681324104,0,0.00142268370961362,0.10916462300579,0,0,0,0.0793787435003077,0,0.0304178370818624,0,0,0,0,0
LTC,0,0,0,0,0,0,0,0.036918851016912,0.158423862678685,0.23596027850675,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0
XEM,0,0,0,0,0,0,0.0948581443917362,0,0.0331824562955746,0,0.0230900858220587,0.0028671808185957,0.116721342903432,0,0.259134033697713,0,0,0,0,0
DASH,0,0,0.0245986618715658,0,0,0.0222278725827385,0,0,0.131710580161281,0,0,0.0505206858687635,0.0135136110450421,0.0957841537609973,0.0916574787051516,0,0,0,0,0
XMR,0,0,0.0198623533903164,0.141094453272598,0,0,0.0507436548530257,0,0.0531840125230229,0,0.00960645767524453,0.0911528359623842,0.197982253693909,0.122037294110872,0,0,0,0,0,0
MIOTA,0,0.0676476553000721,0,0,0,0.0638143551060157,0,0,0,0,0.220120658136941,0.480891352487169,0,0,0,0,0,0,0,0
ETC,0,0.0440874349222436,0,0,0,0,0,0.0522378754744143,0,0,0,0,0,0.14262573856599,0.054440449472077,0,0,0,0,0
NEO,0,0,0,0,0,0.171662368691085,0,0,0.13165056383091,0,0,0,0,0.305653409095372,0,0,0,0,0,0
ZEC,0,0.143295412877288,0,0,0,0,0.178878427408559,0.0438383527205584,0.0652495225064564,0,0,0,0.131689257256886,0.119653705411286,0.000523497017803945,0,0,0,0,0
XLM,0,0,0,0.197580221070331,0,0,0,0.347659446024179,0,0,0,0,0,0.0972106292715662,0.13643839914176,0,0,0,0,0
EOS,0,0.0429451533376922,0,0,0,0,0,0,0.147739765750492,0,0.112580120185561,0.116795787547199,0.199794264974369,0,0,0,0,0,0,0
BAT,0,0.050788760201311,0,0,0,0.104079840351818,0,0,0.0779004593425328,0,0.00828756927789074,0.211922203671375,0.114153023282201,-8.67361737988404e-19,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0.0297817862345363,0.0110154310727455,0,0.0147009942915036,0,-0.0174174540446635,-0.0199311531033538,0.023931820376332,-0.0322317363882453,0,0.0198175676150825,0,0,0,0,-0.0279635513232492
CVIX.Index,0,0,0,0,-0.00634298607660786,0,0,-0.0345184489144245,0,0,0,0,-0.0131883833440194,0.0416875737913158,0.0181545299108657,0,0,0,0,0.0420982808063459
DXY.Curncy,0,0,-0.00251988806615524,0.00696441755386083,0.00849868131383961,0,2.71050543121376e-20,0,0.00471331344750788,0,0,0,-0.0174116851631618,0,-0.000841688219212934,0,0,0,0,0
SPX.Index,0.00156608177524631,0,0.000411021069762672,0,0.000229176110224155,0,0,-0.00618790451660568,0,0,0.000601044781244913,0,0,0,0.0010772361721203,0,0,0,0,-0.045276126884896
VIX.Index,0,0.171063777613937,-0.0229001733391022,-0.0704091239820684,-0.0835671655020425,0.0151668869812951,-0.201018463303808,0,0.128245136155783,0,-0.0447469717910702,0,-0.123063835568312,0,0.0582794969797837,0,0.652310129720356,0,0,0
