,BTC,XRP,ETH,BCH,EOS,XLM,LTC,BSV,TRX,ADA,MIOTA,BNB,XMR,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0457129615996047,0,0.129025925285499,0,0.0268851723616507,0,0,0,0.040111245296238,0.234339617243,0,0,0,0,0,0,0
XRP,0,0,0.0253253590359398,0.0712051985612885,0.146147835296289,0.143745179216491,0,0,0,0.0600748740341634,0,-3.46944695195361e-18,0.0640094966114446,0.010112409544095,0,0,0,0,0,0
ETH,0,0,0,0.129948936754396,0.0802594420690481,0,0.0624672497896045,0,0,0,0,0.0541829325360447,0.289620538098299,0.0957771989939622,0,0,0,0,0,0
BCH,0,0,0,0,0.203908109453175,0,0,0,0,0.453371898414785,0.223740598737931,0,0,0,0,0,0,0,0,0
EOS,0,0,0,0.0609915895490062,0,0.406162315504739,0.205602806402842,0.0175005285323624,0,0.16354021573731,0,0,0,0.00107237110992114,0,0,0,0,0,0
XLM,0,0,0,0.208634167266869,0.198245606403266,0,0,0,0,0,0.0292175020977158,0.0824314026988691,0,0.0467684638699082,0,0,0,0,0,0
LTC,0,0,0.144924206563144,0.046427235579838,0.098331672158968,0,0,0.00691929564528966,0,0.0333478047203778,0.114658992464119,0,0.0597868028986526,0.10463441162623,0,0,0,0,0,0
BSV,0,0,0,0.342576278440146,0,0,0,0,0,0,0.111639311032085,0.0997683809359837,0,0,0,0,0,0,0,0
TRX,0,0,0,0.149921751119784,0,0.046716587565638,0,0,0,0.272878796632057,0,0,0.0845344676166547,0,0,0,0,0,0,0
ADA,0,0,0.13074316280949,0.129865219271852,0.181040799898587,0.101621678046214,0,0,0.0361816321302283,0,0.121842706378758,0,0.106672985518035,0,0,0,0,0,0,0
MIOTA,0,0,0,0.185158140712967,0.233192974754064,0,0,0.037443359124776,0,0,0,0,0.315471543453697,0,0,0,0,0,0,0
BNB,0,0,0.0939575282650075,0.0363747594326361,0.0875435413399699,0.0653041303249167,0.160724777724581,0.0133161143693175,0,0.13662060041333,0,0,0,0,0,0,0,0,0,0
XMR,0,0,0.0958734099324839,0.062295964964003,0,0,0,0,0,0.208806231106143,0,0,0,0.284398348396667,0,0,0,0,0,0
DASH,0,0,0.256820135725683,0,0.154888011956389,0,0,0.0176021358104556,0,0,0,0,0.382390315133674,0,0,0,0,0,0,0
XEM,0,0,0,0.131390726684261,0,0,0,0,0.0700635723617915,0.0958595163643462,0.0237646468310315,0,0.224706680894573,0,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0290737953209809,0,0,0.0269678524948135,0,-0.0988198017727199,0,0.0245914322435494,0.0606261365086076,0,0,0.0254084602978924,0,0,0,0,-0.0930866769458144
CVIX.Index,0,0,0.0433224216770851,0.0250784005622116,0,0,0,0.0089077864052786,0,0,0.0285245547541131,-0.0991509747002598,-0.0335406177564474,0.0121700469451976,0,0,0,0,0,0.0948179872969029
DXY.Curncy,0,0,0.0164859068870537,0,0,0,0,0.00458438684378625,-0.0332989291533014,0,-0.00238537929060249,0,0,0.00296701444257596,0.00874176156911517,0.0506194232153715,0,0,0,0
SPX.Index,0,0,0,-0.00319319355919686,0,0,0,0,0,0,0,0,0,-0.0104831097679813,0.0180653582344374,0,0,0,0,-0.129018604799177
VIX.Index,0,0.0858152540923014,0,0,0.183783144390841,0,0,0.0338309174933239,0.209796951473662,0,0,0,-0.48213869569728,0,0,0,0.487005977878817,0,-3.03021084351198,0
