,BTC,XRP,ETH,BCH,EOS,XLM,LTC,BSV,TRX,ADA,MIOTA,XMR,BNB,DASH,XEM,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.0353850158403201,0,0.0946275660759591,0,0.0219934245413681,0,0,0.016356169984396,0.2976374253456,0.105224395958691,0,0,0,0,0,0,0
XRP,0,0,0,0.104067268387969,0.149614520211474,0.158927355096781,0,0,0,0,0,0,0,0.038595809566532,0,0,0,0,0,0
ETH,0,0,0,0.118677279773821,0.0841744341250954,0,0,0,0,0,0,0.21943852462704,0.0357763410499023,0.187004154308653,0,0,0,0,0,0
BCH,0,0,0,0,0.287081363929722,0,0,0.0733558039392166,0,0.337627366687641,0.20066207959134,0,0,0,0.0583383782749713,0,0,0,0,0
EOS,0,0,0,0.0724479019140932,0,0.185042542927763,0.156556782213312,0.00585369546355634,0,0.154468499214863,0,0,0,0.0978238569983864,0,0,0,0,0,0
XLM,0,0,0,0.209714224967874,0.199192052331968,0,0,0,0,0,0.0284411240606163,0,0.0807150888969157,0.0454391816267395,0,0,0,0,0,0
LTC,0,0,0.130205869664458,0.0528410488397666,0.0938058752940034,0,0,0.00460577700620067,0,0.0370938394527951,0.112453439407767,0.0748690583012548,0,0.0951622094205854,0,0,0,0,0,0
BSV,0,0,0,0.414797698074382,0,0,0,0,0,0,0.0902467502067467,0,0,0,0,0,0,0,0,0
TRX,0,0,0,0.106167812871212,0,0,0,0,0,0.384847577814558,0.0735137538928461,0.021456865264678,0.0203496684119545,0,0,0,0,0,0,0
ADA,0,0,0.0045817845636924,0.207681609383522,0.185045294734961,0,0,0,0.0936657200218364,0,0,0.209599959288991,0,0,0,0,0,0,0,0
MIOTA,0,0,0,0.194754997354606,0,0.154926775756989,0,0.044636606334574,0,0,0,0.272797675173953,0,0,0,0,0,0,0,0
XMR,0,0,0.144277481996991,0.0577991019581974,0,0,0,0,0,0.214505770227419,0,0,0,0.271912486823517,0,0,0,0,0,0
BNB,0,0,0.182872865810052,0.0219060315180337,0.0755309643472296,0.0450382533811296,0,0.00722265336471726,0,0.255513977886849,0,0,0,0,0,0,0,0,0,0
DASH,0,0,0.256820135725682,0,0.154888011956389,0,0,0.0176021358104556,0,0,0,0.382390315133675,0,0,0,0,0,0,0,0
XEM,0,0.0273564543702432,0,0.118619915497561,0,0.0961728034313084,0,0,0.130672497032633,0,0.0545048707772244,0.181062975215834,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,-0.0236345952083595,0,0,0.0243725792816798,0,-0.116265835923128,0,0.0248837159839349,0,0.0605416748333582,0,0.0243466151188888,0,0,0,0,-0.0974919558708981
CVIX.Index,0,0,0,0.0179659131597404,0,0,0,0.00774045279400742,0,0,0.024176555085075,0,-0.065809934999583,0,0,0,0,0,0,0.0759965602115445
DXY.Curncy,0,0,0,0,0.0020554179679408,0,0,0.00416499371713048,-0.0265678039754362,0,-0.00114857039104697,0,0,0.00773732800194625,0.00966767828759394,0.0617940448677393,0,0,0,0.00617784628712055
SPX.Index,0,0,0,-0.00348260004428598,0,0,0,0,0,0,0,0,0,-0.0130806966792481,0.0215088291860482,0,0,0,0,-0.129240819165492
VIX.Index,0,0.200263837016251,0,-1.73472347597681e-18,0,0,0,0.0354878572584366,0,0,0.0367299993944682,-0.224384857107834,0,0,0,0,0.225600985614529,0,-3.1754364839161,0
