,BTC,ETH,XRP,BCH,EOS,XLM,LTC,ADA,MIOTA,XMR,DASH,TRX,NEO,ETC,BNB,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0,0.171884191089165,0,0,0,0,4.33680868994202e-19,0.0998774502210314,0,0.0635396270529109,0,0,0,0,0,0,0,0
ETH,0,0,0,0,0,0,0,0.0113785760397231,0.0118237007139731,0,0.0682280774820982,0,0.201048790625172,0.163193342145701,0,0,0,0,0,0
XRP,0,0,0,0.0602030738045465,0.224880884582909,0,0,0,0.197918082546425,0,0,0,0.076023181903725,0.0491560946267391,0,0,0,0,0,0
BCH,0,0,0.0801115959013741,0,0.14183434804524,0,0,0.256514459441153,0.0783794527507825,0.0105394265761598,0,0.0137116173825387,0.0602668328726227,0,0,0,0,0,0,0
EOS,0,0,0.16637999383987,0,0,0,0,0.0443734589644238,0.0522092880378291,0,0.0845436052656058,0.211666476620148,0.136877034355775,0,0,0,0,0,0,0
XLM,0,0,0,0,0,0,0,0.263414971279813,0.0546824951411237,0.100551550418485,0,-3.46944695195361e-18,0.204273666301056,0,0,0,0,0,0,0
LTC,0,0,0,0.346937127573488,0,0,0,0.052026241065079,0.198686089281505,0,0.0370951967387779,0,0,0.0386115293048437,0,0,0,0,0,0
ADA,0,0,0,0.161522328346732,0,0.236343421351582,0,0,0.0341404249776597,0,0.126525279007698,0.268462398765499,0.0145351808678702,0,0,0,0,0,0,0
MIOTA,0,0,0.292536791536936,0,0,0,0,0,0,0,0,0.240061860931024,0.434601528213273,0,0.0872964569327233,0,0,0,0,0
XMR,0,0,0,0.28736971029983,0.0509413063949317,0.00975273045453638,0,0.0856382600746051,0.0714026334705156,0,0,0,0.118986397215886,0,0,0,0,0,0,0
DASH,0,0,0,0,0.00889459937979492,0,0,0.240554974139628,0.0305687109259273,0,0,0,0.308193455664008,0,0,0,0,0,0,0
TRX,0,0,0,0,0,0,0,0.0952235672068583,0.164911011595991,0,0,0,0.295529594019639,0,0,0,0,0,0,0
NEO,0,0,0,0,0.0554540289342264,0,0,0,0.355865020681127,0.120944943489987,0,0.25981595785298,0,0,0,0,0,0,0,0
ETC,0,0.254080348770284,0,0,0,0.0406830234533929,0.147074404981721,0.0197366557213777,0.24645366636286,0,0,0,0,0,0,0,0,0,0,0
BNB,0,0,0.145950012658161,0,0,0,0,0.206158143513451,0.0969788191834226,0,0.125276650180246,0,0,0,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0565382168514207
CVIX.Index,0,0,0.0137398790848044,0,0,0,0,0.0512776145573146,0,0,0,0,0,0.0139671224365232,0.022586730461906,0,0,0,0,0.0936639278851218
DXY.Curncy,0,0,0,0,0,0.00861832585922744,0,0.00790259413422557,-0.0140354271518077,0.00595726903763285,0,0,0,0,0,0,0.0825267065469392,0,0,0
SPX.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0607983921308751
VIX.Index,0.588173255718602,0,-0.230535576313146,0,0,-0.109960680828323,0,0,0.305315242812215,0,-0.191979570020321,-0.385379478955857,0,0,0.190261832618448,0,0,0,-0.95786905073437,0
