,BTC,INNBCL,ETH,XRP,BCH,BSV,LTC,BNB,EOS,TAGZ5,XTZ,XLM,LINK,ADA,TRX,BV010082.Index,CVIX.Index,DXY.Curncy,SPX.Index,VIX.Index
BTC,0,0,0.00410537161454414,0,0.0398109949547297,0.130663998415294,0,0.168933531508701,0,0.00712491995604869,0.174165307162979,0,0,0,0,0,0,0,0,0
INNBCL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.704101842008659
ETH,0,0.00195140859216028,0,0,0.12587284482016,0.124544341197693,0,0.170722117084392,0,0.0198636318625756,0.195889222239066,0,0,0.03740891074066,0,0,0,0,0,0
XRP,0,1.0842021724855e-19,0.124397302542894,0,0,0.0476304199437991,0,0.0598809786260164,0,0,0.105494701897443,0,0,0.174039283586291,0,0,0,0,0,0
BCH,0,-0.00389830926683246,0.309842285646966,0,0,0.346481779099155,0,0,0,0.0101727217466717,0.0648454515132176,0,0,0,0,0,0,0,0,0
BSV,0,-0.00341415456293902,0.265906110016564,0,0.378944039611186,0,0,0.162391554322448,0,0,0.00138052489307691,0,0,0,0,0,0,0,0,0
LTC,0,0,0,0,0,0.109256296983971,0,0,0,0,0.17666710645451,0,0.0652129358128426,0.25259702161304,0,0,0,0,0,0
BNB,0,-0.00382998559543946,0.343665419546939,0,0.118933022507723,0.0538301113411051,0,0,0,0,0.0995332284809045,0,0,0.190122206226127,0,0,0,0,0,0
EOS,0,0,0.0962375901842204,0,0.159068249518906,0.118892540998743,0,0,0,0,0.131803074715043,0,0,0.175481948517704,0,0,0,0,0,0
TAGZ5,0,0.00642511426423328,0.198993410056813,0,0.0925290700958312,0.100806426102933,0,0,0,0,0.0179328335722263,0,0,0,0,0,0,0,0,0.0341746554563338
XTZ,0,0.000991302721794192,0.501480979288737,0,0,0,0,0,0,0,0,0,0.442719183271992,0,0,0,0,0,0,0
XLM,0,0.000529064299688522,0.118697804711108,0,0,0.100784585180284,0,0.182146394912908,0,0.00824809801771705,0.0998438895384732,0,0,0.0815268438679678,0,0,0,0,0,0
LINK,0,-0.00324970780085387,0,0,0,0.21631327383929,0,0,0,0,0.454637263244158,0,0,0,0,0,0,0,0,0
ADA,0,0,0.106771263519278,0,0,0,0,0.216706194994978,0,0,0.375607643693703,0,0.0207782614309112,0,0,0,0,0,0,0
TRX,0,-0.00116517274329344,0,0,0.0702657678713282,0,0,0,0,0,0.23763667311997,0.080116098130087,0,0.277857095855527,0,0,0,0,0,0
BV010082.Index,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136474620918039,0,0,-0.0373502106928605
CVIX.Index,0.139124697252478,-0.00946972235662211,0,-0.553744977023404,-0.202538103395453,0,0.747671856640727,-0.171598374016597,0,-0.0475606834765645,0,0,0,0,0,0.34317088512054,0,0,-0.987731218989612,0
DXY.Curncy,0.0201643673389346,0.000736926015116188,0,-0.0676265560701683,0,0,0,0,0.017905956050128,-0.00230098184891459,0,0.022016912330539,-0.00591389407684077,0,0.00736921233542819,0.0356683394465424,1.0842021724855e-19,0,-0.0260206841873383,-0.0186104458121793
SPX.Index,0,0.00540344900696686,0,0,0,0,0,0,0,-0.0149605820083329,0,0,0,0,0,0,-0.0152062100793497,0,0,-0.287915719434986
VIX.Index,-0.1155999829129,0.0288367520787821,0,0,0,0,0,0,0,-0.0331811623870198,0,0,0,0,0,0,0.159536423923705,0,-1.87338563093705,0
